"System_Dt","Policy_No","Coverage_No","Coverage_Type_ID","Coverage_Type","Coverage_Curr_ID","Coverage_Curr","Coverage_Amt","Commencement_Dt","Premium_Term","Premium_End_Dt","Coverage_Frequency_ID","Coverage_Frequency","IAP","IAP_Remaining","Indemnity","Coverage_Status_ID","Coverage_Status","Coverage_Payment_Method_ID","Coverage_Payment_Method","Benefit_Description_ID","Benefit_Description","Benefit_Start_Dt","Benefit_End_Dt","Benefit_Amount","Benefit_Amount_Text","Benefit_Amount_Suffix","Benefit_Indexation_Rate","Life_Basis_ID","Life_Basis","Life_Assured_No"
"2023-10-31","PM10012420","1","7","Single Premium Investment","8","GBP","13233.00","2019-07-10","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10012614","0","7","Single Premium Investment","8","GBP","187239.00","2019-09-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10012724","0","7","Single Premium Investment","8","GBP","703203.00","2019-08-14","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013091","0","7","Single Premium Investment","8","GBP","237628.00","2019-11-19","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013091","1","7","Single Premium Investment","8","GBP","29164.00","2020-02-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013243","0","7","Single Premium Investment","8","GBP","199461.00","2020-03-09","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013266","0","7","Single Premium Investment","8","GBP","463028.00","2019-11-15","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013288","0","7","Single Premium Investment","8","GBP","162553.00","2019-11-28","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013288","1","7","Single Premium Investment","8","GBP","64180.00","2019-12-16","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013372","0","7","Single Premium Investment","8","GBP","660607.00","2020-09-03","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013441","0","7","Single Premium Investment","8","GBP","254085.00","2020-10-07","","","5","Single Payment","","","0.000000000000000000","15","Surrendered","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013457","0","7","Single Premium Investment","8","GBP","829142.00","2019-12-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013480","1","7","Single Premium Investment","8","GBP","94628.00","2021-02-10","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013480","0","7","Single Premium Investment","8","GBP","341924.00","2020-02-03","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013816","0","7","Single Premium Investment","8","GBP","205689.00","2020-03-31","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10013816","1","7","Single Premium Investment","8","GBP","61834.00","2020-06-29","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014047","0","7","Single Premium Investment","8","GBP","95935.00","2020-05-04","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014047","1","7","Single Premium Investment","8","GBP","27952.00","2020-07-14","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014282","0","7","Single Premium Investment","8","GBP","536140.00","2020-07-03","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014307","0","7","Single Premium Investment","8","GBP","161897.00","2021-03-23","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014337","0","7","Single Premium Investment","8","GBP","660707.00","2020-06-26","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014607","0","7","Single Premium Investment","8","GBP","247163.00","2021-03-09","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014686","0","7","Single Premium Investment","8","GBP","315057.00","2020-10-29","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014686","1","7","Single Premium Investment","8","GBP","149013.00","2022-04-18","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014838","0","7","Single Premium Investment","8","GBP","141250.00","2020-09-30","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014838","1","7","Single Premium Investment","8","GBP","87817.00","2020-11-04","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10014838","2","7","Single Premium Investment","8","GBP","21883.00","2021-04-21","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015056","0","7","Single Premium Investment","8","GBP","182687.00","2020-11-02","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015157","0","7","Single Premium Investment","8","GBP","739390.00","2020-12-04","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015331","0","7","Single Premium Investment","8","GBP","1036808.00","2021-01-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015342","0","7","Single Premium Investment","8","GBP","101654.00","2021-01-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015346","0","7","Single Premium Investment","16","USD","5050638.00","2020-04-29","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015353","0","7","Single Premium Investment","8","GBP","180272.00","2020-12-10","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015502","0","7","Single Premium Investment","8","GBP","158362.00","2021-01-14","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015638","0","7","Single Premium Investment","8","GBP","353772.00","2021-03-12","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015638","1","7","Single Premium Investment","8","GBP","102062.00","2021-05-28","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015674","1","7","Single Premium Investment","8","GBP","9527.00","2021-02-17","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015674","0","7","Single Premium Investment","8","GBP","206077.00","2021-02-03","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10015951","0","7","Single Premium Investment","8","GBP","766996.00","2021-04-08","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10016925","0","7","Single Premium Investment","8","GBP","309455.00","2022-01-04","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10016937","0","7","Single Premium Investment","8","GBP","154612.00","2021-08-01","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10016937","1","7","Single Premium Investment","8","GBP","243837.00","2021-09-07","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10017009","0","7","Single Premium Investment","8","GBP","154323.00","2021-08-12","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10017397","0","7","Single Premium Investment","8","GBP","1144587.00","2021-12-31","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10017776","0","7","Single Premium Investment","8","GBP","134943.00","2022-05-16","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10017776","1","7","Single Premium Investment","8","GBP","37788.00","2022-08-10","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10017938","0","7","Single Premium Investment","16","USD","357071.00","2022-02-25","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10018070","0","7","Single Premium Investment","8","GBP","203954.00","2022-05-06","","","5","Single Payment","","","0.000000000000000000","13","Reinstated","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10018122","0","7","Single Premium Investment","8","GBP","151137.00","2022-03-04","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10018503","0","7","Single Premium Investment","8","GBP","171239.00","2023-05-11","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10018567","1","7","Single Premium Investment","8","GBP","252219.00","2023-07-20","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","PM10018567","0","7","Single Premium Investment","8","GBP","242882.00","2022-09-29","","","5","Single Payment","","","0.000000000000000000","1","Active","6","Single Premium","","","","","0.00","","","","1","Capital Redemption",""
"2023-10-31","QN10012521","1","7","Single Premium Investment","16","USD","15000.00","2015-03-25","15","2030-02-25","5","Single Payment","18","6","0.000000000000000000","10","Paid Up","6","Single Premium","","","","","0.00","","","","5","Life Assurance - Single",""
"2023-10-31","QN10012521","0","5","Regular Premium Investment","16","USD","5000.00","2015-03-25","15","2030-02-25","2","Monthly","18","0","0.000000000000000000","10","Paid Up","7","Standing Order/Cheque","","","","","0.00","","","","5","Life Assurance - Single",""
"2023-10-31","QN10017940","0","5","Regular Premium Investment","16","USD","220.00","2015-12-08","20","2035-11-08","2","Monthly","20","0","0.000000000000000000","13","Reinstated","3","Credit Card","","","","","0.00","","","","5","Life Assurance - Single",""
"2023-10-31","QN10017940","1","7","Single Premium Investment","16","USD","6750.00","2015-12-08","20","2035-11-08","5","Single Payment","20","8","0.000000000000000000","13","Reinstated","6","Single Premium","","","","","0.00","","","","5","Life Assurance - Single",""
"2023-10-31","QN10017940","2","5","Regular Premium Investment","16","USD","280.00","2017-12-08","18","2035-11-08","2","Monthly","18","0","0.000000000000000000","13","Reinstated","3","Credit Card","","","","","0.00","","","","5","Life Assurance - Single",""
"2023-10-31","QN10021412","0","5","Regular Premium Investment","16","USD","5000.00","2016-06-30","20","2036-05-30","2","Monthly","20","0","0.000000000000000000","10","Paid Up","7","Standing Order/Cheque","","","","","0.00","","","","5","Life Assurance - Single",""
"2023-10-31","QN10021412","1","7","Single Premium Investment","16","USD","22500.00","2016-06-30","20","2036-05-30","5","Single Payment","20","8","0.000000000000000000","10","Paid Up","6","Single Premium","","","","","0.00","","","","5","Life Assurance - Single",""
