"Run Number","Policy Number","Policy Reference","Transaction Reference","Transaction Type Code","Transaction Type Description","Allocation Date","Transaction Amount","Transaction Currency"
452037,2144817,"",20230601204507876000,220,"Renewal Premium",20230602,-15.000,"USD"
452037,2144817,"",20230709203709841000,220,"Renewal Premium",20230710,500.000,"USD"
452037,2144817,"",20230806203615364000,220,"Renewal Premium",20230807,500.000,"USD"
452037,2144817,"",20230906203757282000,220,"Renewal Premium",20230907,500.000,"USD"
452037,2144817,"",20231005203728568000,220,"Renewal Premium",20231006,500.000,"USD"
452037,2144884,"",20230201204908287000,220,"Renewal Premium",20221021,1000.000,"USD"
452037,2144884,"",20230201204908299000,220,"Renewal Premium",20221111,1000.000,"USD"
452037,2144884,"",20230201204908310000,220,"Renewal Premium",20221213,1000.000,"USD"
452037,2144884,"",20230201204908321000,220,"Renewal Premium",20230116,1000.000,"USD"
452037,2144884,"",20230215203824124000,220,"Renewal Premium",20230216,1000.000,"USD"
452037,2144884,"",20230315203900654000,220,"Renewal Premium",20230316,1000.000,"USD"
452037,2144884,"",20230413204200400000,220,"Renewal Premium",20230414,1000.000,"USD"
452037,2144884,"",20230515203619515000,220,"Renewal Premium",20230516,1000.000,"USD"
452037,2144884,"",20230615203651704000,220,"Renewal Premium",20230616,1000.000,"USD"
452037,2144884,"",20230807203647344000,301,"Full Surrender",20230808,-9936.090,"USD"
452037,2144884,"",20230807203647345000,300,"Surrender Penalty",20230808,-9944.020,"USD"
452037,2145945,"",20221106203915881000,220,"Renewal Premium",20221107,655.000,"USD"
452037,2145945,"",20221113203807201000,220,"Renewal Premium",20221114,655.000,"USD"
452037,2145945,"",20221113203807222000,220,"Renewal Premium",20221114,655.000,"USD"
452037,2145945,"",20221208203829018000,220,"Renewal Premium",20221209,655.000,"USD"
452037,2145945,"",20230105203916380000,220,"Renewal Premium",20230106,655.000,"USD"
452037,2145945,"",20230206203933465000,220,"Renewal Premium",20230207,655.000,"USD"
452037,2145945,"",20230307204001744000,220,"Renewal Premium",20230308,655.000,"USD"
452037,2145945,"",20230410203735002000,220,"Renewal Premium",20230411,655.000,"USD"
452037,2145945,"",20230504203651891000,220,"Renewal Premium",20230505,655.000,"USD"
452037,2145945,"",20230606203827529000,220,"Renewal Premium",20230607,655.000,"USD"
452037,2145945,"",20230709203709957000,220,"Renewal Premium",20230710,655.000,"USD"
452037,2145945,"",20230806203615379000,220,"Renewal Premium",20230807,655.000,"USD"
452037,2145945,"",20230906203757323000,220,"Renewal Premium",20230907,655.000,"USD"
452037,2145945,"",20231005203728616000,220,"Renewal Premium",20231006,655.000,"USD"
452037,2148642,"",20221106203916947000,220,"Renewal Premium",20221107,351.000,"EUR"
452037,2148642,"",20221208203829163000,220,"Renewal Premium",20221209,351.000,"EUR"
452037,2148642,"",20230105203917041000,220,"Renewal Premium",20230106,351.000,"EUR"
452037,2148642,"",20230206203933602000,220,"Renewal Premium",20230207,351.000,"EUR"
452037,2148642,"",20230307204002080000,220,"Renewal Premium",20230308,351.000,"EUR"
452037,2148642,"",20230410203735121000,220,"Renewal Premium",20230411,351.000,"EUR"
452037,2148642,"",20230504203652017000,220,"Renewal Premium",20230505,351.000,"EUR"
452037,2148642,"",20230606203827667000,220,"Renewal Premium",20230607,351.000,"EUR"
452037,2148642,"",20230709203710177000,220,"Renewal Premium",20230710,351.000,"EUR"
452037,2148642,"",20230806203615460000,220,"Renewal Premium",20230807,351.000,"EUR"
452037,2148642,"",20230906203757460000,220,"Renewal Premium",20230907,351.000,"EUR"
452037,2148642,"",20231005203728877000,220,"Renewal Premium",20231006,351.000,"EUR"
452037,2160610,"R1J31QID",20230615203653910000,200,"Initial Premium",20230616,850.000,"USD"
452037,2160610,"R1J31QID",20230710203712896000,220,"Renewal Premium",20230711,850.000,"USD"
452037,2160610,"R1J31QID",20230807203648427000,220,"Renewal Premium",20230808,850.000,"USD"
452037,2160610,"R1J31QID",20230907203734849000,220,"Renewal Premium",20230908,850.000,"USD"
452037,2160610,"R1J31QID",20231008203549793000,220,"Renewal Premium",20231009,850.000,"USD"
452037,2163188,"YYUAKLEH",20231002203748820000,200,"Initial Premium",20230915,833.000,"USD"
452037,2163188,"YYUAKLEH",20231002203748829000,220,"Renewal Premium",20230915,833.000,"USD"
452037,2163188,"YYUAKLEH",20231002203748837000,220,"Renewal Premium",20230915,0.080,"USD"
452037,2163188,"YYUAKLEH",20231002203748845000,220,"Renewal Premium",20230915,833.000,"USD"
452037,2163188,"YYUAKLEH",20231002203748853000,220,"Renewal Premium",20230915,16.220,"USD"
452037,5239339,"PIC250/07",20221017203836771000,220,"Renewal Premium",20221018,600.000,"USD"
452037,5239339,"PIC250/07",20221115203800348000,220,"Renewal Premium",20221116,600.000,"USD"
452037,5239339,"PIC250/07",20221215203835428000,220,"Renewal Premium",20221216,600.000,"USD"
452037,5239339,"PIC250/07",20230116203821354000,220,"Renewal Premium",20230117,600.000,"USD"
452037,5239339,"PIC250/07",20230215203830279000,220,"Renewal Premium",20230216,600.000,"USD"
452037,5239339,"PIC250/07",20230315203908802000,220,"Renewal Premium",20230316,600.000,"USD"
452037,5239339,"PIC250/07",20230417203610999000,220,"Renewal Premium",20230418,600.000,"USD"
452037,5239339,"PIC250/07",20230515203624553000,220,"Renewal Premium",20230516,600.000,"USD"
452037,5239339,"PIC250/07",20230615203655309000,220,"Renewal Premium",20230616,600.000,"USD"
452037,5239339,"PIC250/07",20230717203645896000,220,"Renewal Premium",20230718,600.000,"USD"
452037,5239339,"PIC250/07",20230815203730092000,220,"Renewal Premium",20230816,600.000,"USD"
452037,5239339,"PIC250/07",20230915203641876000,220,"Renewal Premium",20230916,600.000,"USD"
452037,5239339,"PIC250/07",20231016203637774000,220,"Renewal Premium",20231017,600.000,"USD"
452037,5255602,"PIC307/08",20221031200837650000,220,"Renewal Premium",20221101,2000.000,"USD"
452037,5255602,"PIC307/08",20221206204246420000,220,"Renewal Premium",20221207,2000.000,"USD"
452037,5255602,"PIC307/08",20221208203833153000,302,"Partial Surrender",20221208,-25000.000,"USD"
452037,5255602,"PIC307/08",20221230204006427000,220,"Renewal Premium",20221231,2000.000,"USD"
452037,5255602,"PIC307/08",20230130204002377000,220,"Renewal Premium",20230131,2000.000,"USD"
452037,5255602,"PIC307/08",20230302203943051000,220,"Renewal Premium",20230303,2000.000,"USD"
452037,5255602,"PIC307/08",20230330203916181000,220,"Renewal Premium",20230331,2000.000,"USD"
452037,5255602,"PIC307/08",20230501204439093000,220,"Renewal Premium",20230502,2000.000,"USD"
452037,5255602,"PIC307/08",20230703203837107000,220,"Renewal Premium",20230704,2000.000,"USD"
452037,5255602,"PIC307/08",20230731224343787000,220,"Renewal Premium",20230801,2000.000,"USD"
452037,5255602,"PIC307/08",20230816203703102000,220,"Renewal Premium",20230817,2000.000,"USD"
452037,5255602,"PIC307/08",20230925203726790000,220,"Renewal Premium",20230926,2000.000,"USD"
452037,5255602,"PIC307/08",20231002203751950000,220,"Renewal Premium",20231003,2000.000,"USD"
452037,5255602,"PIC307/08",20231003203827229000,302,"Partial Surrender",20231003,-25000.000,"USD"
452037,5256268,"",20221115203800829000,220,"Renewal Premium",20221116,10000.000,"USD"
452037,5256268,"",20230215203831327000,220,"Renewal Premium",20230216,10000.000,"USD"
452037,5256268,"",20230515203625073000,220,"Renewal Premium",20230516,10000.000,"USD"
452037,5256268,"",20230815203730212000,220,"Renewal Premium",20230816,10000.000,"USD"
452037,5259712,"PIC398/08",20221101205018029000,220,"Renewal Premium",20221102,300.000,"USD"
452037,5259712,"PIC398/08",20221205203840738000,220,"Renewal Premium",20221206,300.000,"USD"
452037,5259712,"PIC398/08",20230102203949647000,220,"Renewal Premium",20230103,300.000,"USD"
452037,5259712,"PIC398/08",20230201204913564000,220,"Renewal Premium",20230202,300.000,"USD"
452037,5259712,"PIC398/08",20230302203943459000,220,"Renewal Premium",20230303,300.000,"USD"
452037,5259712,"PIC398/08",20230403203852086000,220,"Renewal Premium",20230404,300.000,"USD"
452037,5259712,"PIC398/08",20230501204439227000,220,"Renewal Premium",20230502,300.000,"USD"
452037,5259712,"PIC398/08",20230601204512489000,220,"Renewal Premium",20230602,300.000,"USD"
452037,5259712,"PIC398/08",20230703203837813000,220,"Renewal Premium",20230704,300.000,"USD"
452037,5259712,"PIC398/08",20230801204512969000,220,"Renewal Premium",20230802,300.000,"USD"
452037,5259712,"PIC398/08",20230901204635429000,220,"Renewal Premium",20230902,300.000,"USD"
452037,5259712,"PIC398/08",20231004203628080000,220,"Renewal Premium",20231005,300.000,"USD"
452037,5714946,"GIB19/07",20221031175906084000,650,"Bonus Loyalty",20221031,0.000,""
452037,5714946,"GIB19/07",20221116203834292000,220,"Renewal Premium",20221117,256.000,"USD"
452037,5714946,"GIB19/07",20221116203834312000,220,"Renewal Premium",20221117,1.300,"USD"
452037,5714946,"GIB19/07",20221116203834321000,220,"Renewal Premium",20221117,256.000,"USD"
452037,5714946,"GIB19/07",20221116203834330000,220,"Renewal Premium",20221117,1.300,"USD"
452037,5714946,"GIB19/07",20221130205609055000,650,"Bonus Loyalty",20221130,0.000,""
452037,5714946,"GIB19/07",20221206204323045000,220,"Renewal Premium",20221207,256.000,"USD"
452037,5714946,"GIB19/07",20221206204323070000,220,"Renewal Premium",20221207,1.300,"USD"
452037,5714946,"GIB19/07",20221231204800750000,650,"Bonus Loyalty",20221231,0.000,""
452037,5714946,"GIB19/07",20230103203945213000,220,"Renewal Premium",20230104,256.000,"USD"
452037,5714946,"GIB19/07",20230103203945237000,220,"Renewal Premium",20230104,1.300,"USD"
452037,5714946,"GIB19/07",20230131204947625000,650,"Bonus Loyalty",20230131,0.000,""
452037,5714946,"GIB19/07",20230202203908974000,220,"Renewal Premium",20230203,256.000,"USD"
452037,5714946,"GIB19/07",20230202203909010000,220,"Renewal Premium",20230203,0.420,"USD"
452037,5714946,"GIB19/07",20230228204734187000,650,"Bonus Loyalty",20230228,0.000,""
452037,5714946,"GIB19/07",20230302203946974000,220,"Renewal Premium",20230303,256.000,"USD"
452037,5714946,"GIB19/07",20230302203947003000,220,"Renewal Premium",20230303,0.420,"USD"
452037,5714946,"GIB19/07",20230331234611233000,650,"Bonus Loyalty",20230331,0.000,""
452037,5714946,"GIB19/07",20230403203854755000,220,"Renewal Premium",20230404,256.000,"USD"
452037,5714946,"GIB19/07",20230403203854787000,220,"Renewal Premium",20230404,0.420,"USD"
452037,5714946,"GIB19/07",20230430203413075000,650,"Bonus Loyalty",20230430,0.000,""
452037,5714946,"GIB19/07",20230502203747105000,220,"Renewal Premium",20230503,256.000,"USD"
452037,5714946,"GIB19/07",20230502203747128000,220,"Renewal Premium",20230503,0.420,"USD"
452037,5714946,"GIB19/07",20230531223623871000,650,"Bonus Loyalty",20230531,0.000,""
452037,5714946,"GIB19/07",20230602203701927000,220,"Renewal Premium",20230603,256.000,"USD"
452037,5714946,"GIB19/07",20230602203701960000,220,"Renewal Premium",20230603,0.420,"USD"
452037,5714946,"GIB19/07",20230630214301183000,650,"Bonus Loyalty",20230630,0.000,""
452037,5714946,"GIB19/07",20230710203722322000,220,"Renewal Premium",20230711,256.000,"USD"
452037,5714946,"GIB19/07",20230710203722337000,220,"Renewal Premium",20230711,0.420,"USD"
452037,5714946,"GIB19/07",20230731213954154000,650,"Bonus Loyalty",20230731,0.000,""
452037,5714946,"GIB19/07",20230802203657272000,220,"Renewal Premium",20230803,256.000,"USD"
452037,5714946,"GIB19/07",20230802203657290000,220,"Renewal Premium",20230803,0.420,"USD"
452037,5714946,"GIB19/07",20230831214622965000,650,"Bonus Loyalty",20230831,0.000,""
452037,5714946,"GIB19/07",20230905204221153000,220,"Renewal Premium",20230905,256.000,"USD"
452037,5714946,"GIB19/07",20230905204221168000,220,"Renewal Premium",20230905,0.420,"USD"
452037,5714946,"GIB19/07",20230930213802337000,650,"Bonus Loyalty",20230930,0.000,""
452037,5714946,"GIB19/07",20231003203830673000,220,"Renewal Premium",20231004,256.000,"USD"
452037,5714946,"GIB19/07",20231003203830698000,220,"Renewal Premium",20231004,0.420,"USD"
452037,5720632,"F17992",20221031175908915000,650,"Bonus Loyalty",20221031,0.000,""
452037,5720632,"F17992",20221130205611956000,650,"Bonus Loyalty",20221130,0.000,""
452037,5720632,"F17992",20221231204803963000,650,"Bonus Loyalty",20221231,0.000,""
452037,5720632,"F17992",20230131204950949000,650,"Bonus Loyalty",20230131,0.000,""
452037,5720632,"F17992",20230228204737643000,650,"Bonus Loyalty",20230228,0.000,""
452037,5720632,"F17992",20230331234613899000,650,"Bonus Loyalty",20230331,0.000,""
452037,5720632,"F17992",20230430203415545000,650,"Bonus Loyalty",20230430,0.000,""
452037,5720632,"F17992",20230531223625966000,650,"Bonus Loyalty",20230531,0.000,""
452037,5720632,"F17992",20230630214304176000,650,"Bonus Loyalty",20230630,0.000,""
452037,5720632,"F17992",20230731213956994000,650,"Bonus Loyalty",20230731,0.000,""
452037,5720632,"F17992",20230831214626047000,650,"Bonus Loyalty",20230831,0.000,""
452037,5720632,"F17992",20230930213805321000,650,"Bonus Loyalty",20230930,0.000,""
452037,6201993,"",20221020203842773000,220,"Renewal Premium",20221021,522.000,"USD"
452037,6201993,"",20221121203808185000,220,"Renewal Premium",20221122,522.000,"USD"
452037,6201993,"",20221220203900243000,220,"Renewal Premium",20221221,522.000,"USD"
452037,6201993,"",20230120203845945000,220,"Renewal Premium",20230121,522.000,"USD"
452037,6201993,"",20230220203841093000,220,"Renewal Premium",20230221,522.000,"USD"
452037,6201993,"",20230320203751550000,220,"Renewal Premium",20230321,522.000,"USD"
452037,6201993,"",20230425203843570000,220,"Renewal Premium",20230426,522.000,"USD"
452037,6201993,"",20230522203604962000,220,"Renewal Premium",20230523,522.000,"USD"
452037,6201993,"",20230620203641991000,220,"Renewal Premium",20230621,522.000,"USD"
452037,6201993,"",20230720203636659000,220,"Renewal Premium",20230721,522.000,"USD"
452037,6201993,"",20230821203719949000,220,"Renewal Premium",20230822,522.000,"USD"
452037,6201993,"",20230920203623312000,220,"Renewal Premium",20230921,522.000,"USD"
452037,6202553,"",20221028203953427000,220,"Renewal Premium",20221029,150.000,"USD"
452037,6202553,"",20221128204006821000,220,"Renewal Premium",20221129,150.000,"USD"
452037,6202553,"",20221228204009461000,220,"Renewal Premium",20221229,150.000,"USD"
452037,6202553,"",20230130204009870000,220,"Renewal Premium",20230131,150.000,"USD"
452037,6202553,"",20230228220938631000,220,"Renewal Premium",20230301,150.000,"USD"
452037,6202553,"",20230328203937850000,220,"Renewal Premium",20230329,150.000,"USD"
452037,6202553,"",20230529203719540000,220,"Renewal Premium",20230530,150.000,"USD"
452037,6202553,"",20230703203847441000,220,"Renewal Premium",20230704,150.000,"USD"
452037,6202553,"",20230728203701722000,220,"Renewal Premium",20230729,150.000,"USD"
452037,6202553,"",20230828203736291000,220,"Renewal Premium",20230829,150.000,"USD"
452037,6202553,"",20230928212232122000,220,"Renewal Premium",20230929,150.000,"USD"
452037,6202685,"",20221028203953453000,220,"Renewal Premium",20221029,150.000,"USD"
452037,6202685,"",20221128204007055000,220,"Renewal Premium",20221129,150.000,"USD"
452037,6202685,"",20221228204009506000,220,"Renewal Premium",20221229,150.000,"USD"
452037,6202685,"",20230130204010018000,220,"Renewal Premium",20230131,150.000,"USD"
452037,6202685,"",20230228220938780000,220,"Renewal Premium",20230301,150.000,"USD"
452037,6202685,"",20230328203938084000,220,"Renewal Premium",20230329,150.000,"USD"
452037,6202685,"",20230428203739334000,220,"Renewal Premium",20230429,150.000,"USD"
452037,6202685,"",20230529203719600000,220,"Renewal Premium",20230530,150.000,"USD"
452037,6202685,"",20230703203847588000,220,"Renewal Premium",20230704,150.000,"USD"
452037,6202685,"",20230728203701752000,220,"Renewal Premium",20230729,150.000,"USD"
452037,6202685,"",20230828203736362000,220,"Renewal Premium",20230829,150.000,"USD"
452037,6202685,"",20230928212232186000,220,"Renewal Premium",20230929,150.000,"USD"
452037,6203304,"",20221113203820928000,220,"Renewal Premium",20221114,582.160,"USD"
452037,6203304,"",20221213203830156000,220,"Renewal Premium",20221214,582.160,"USD"
452037,6203304,"",20230111203837981000,220,"Renewal Premium",20230112,582.160,"USD"
452037,6203304,"",20230213204130032000,220,"Renewal Premium",20230214,582.160,"USD"
452037,6203304,"",20230313203912032000,220,"Renewal Premium",20230314,582.160,"USD"
452037,6203304,"",20230411203833330000,220,"Renewal Premium",20230412,582.160,"USD"
452037,6203304,"",20230511203629415000,220,"Renewal Premium",20230512,582.160,"USD"
452037,6203304,"",20230613203708650000,220,"Renewal Premium",20230614,582.160,"USD"
452037,6203304,"",20230711203725296000,220,"Renewal Premium",20230712,582.160,"USD"
452037,6203304,"",20230813203625304000,220,"Renewal Premium",20230814,582.160,"USD"
452037,6203304,"",20230912204109652000,220,"Renewal Premium",20230913,582.160,"USD"
452037,6203304,"",20231011203647482000,220,"Renewal Premium",20231012,582.160,"USD"
452037,6203674,"",20221107204208328000,220,"Renewal Premium",20221108,221.000,"USD"
452037,6203674,"",20221205203850758000,220,"Renewal Premium",20221206,221.000,"USD"
452037,6203674,"",20230105203935908000,220,"Renewal Premium",20230106,221.000,"USD"
452037,6203674,"",20230206203955308000,220,"Renewal Premium",20230207,221.000,"USD"
452037,6203674,"",20230306204006469000,220,"Renewal Premium",20230307,221.000,"USD"
452037,6203674,"",20230405203813809000,220,"Renewal Premium",20230406,221.000,"USD"
452037,6203674,"",20230505203645150000,220,"Renewal Premium",20230506,221.000,"USD"
452037,6203674,"",20230605203746681000,220,"Renewal Premium",20230606,221.000,"USD"
452037,6203674,"",20230705203727593000,220,"Renewal Premium",20230706,221.000,"USD"
452037,6203674,"",20230807203659864000,220,"Renewal Premium",20230808,221.000,"USD"
452037,6203674,"",20230905204226195000,220,"Renewal Premium",20230906,221.000,"USD"
452037,6203674,"",20231005203744182000,220,"Renewal Premium",20231006,221.000,"USD"
452037,6203748,"",20221031200843599000,220,"Renewal Premium",20221101,335.000,"USD"
452037,6203748,"",20221130221158743000,220,"Renewal Premium",20221201,335.000,"USD"
452037,6203748,"",20221230204011733000,220,"Renewal Premium",20221231,335.000,"USD"
452037,6203748,"",20230130204011515000,220,"Renewal Premium",20230131,335.000,"USD"
452037,6203748,"",20230302203951525000,220,"Renewal Premium",20230303,335.000,"USD"
452037,6203748,"",20230330203920391000,220,"Renewal Premium",20230331,335.000,"USD"
452037,6203748,"",20230503203651303000,220,"Renewal Premium",20230504,195.000,"USD"
452037,6203748,"",20230530203806031000,220,"Renewal Premium",20230531,195.000,"USD"
452037,6203748,"",20230703203848287000,220,"Renewal Premium",20230704,195.000,"USD"
452037,6203748,"",20230731224347574000,220,"Renewal Premium",20230801,195.000,"USD"
452037,6203748,"",20230830203747283000,220,"Renewal Premium",20230831,195.000,"USD"
452037,6203748,"",20231002203802290000,220,"Renewal Premium",20231003,195.000,"USD"
452037,6205181,"",20221031200844238000,220,"Renewal Premium",20221101,911.000,"USD"
452037,6205181,"",20221130221200404000,220,"Renewal Premium",20221201,911.000,"USD"
452037,6205181,"",20221230204012836000,220,"Renewal Premium",20221231,911.000,"USD"
452037,6205181,"",20230130204013072000,220,"Renewal Premium",20230131,911.000,"USD"
452037,6205181,"",20230302203952230000,220,"Renewal Premium",20230303,911.000,"USD"
452037,6205181,"",20230330203920975000,220,"Renewal Premium",20230331,911.000,"USD"
452037,6205181,"",20230501204448804000,220,"Renewal Premium",20230502,911.000,"USD"
452037,6205181,"",20230530203807009000,220,"Renewal Premium",20230531,911.000,"USD"
452037,6205181,"",20230703203849380000,220,"Renewal Premium",20230704,911.000,"USD"
452037,6205181,"",20230731224348202000,220,"Renewal Premium",20230801,911.000,"USD"
452037,6205181,"",20230830203748219000,220,"Renewal Premium",20230831,911.000,"USD"
452037,6205181,"",20231002203803486000,220,"Renewal Premium",20231003,911.000,"USD"
452037,6206871,"",20221104203952948000,220,"Renewal Premium",20221105,441.000,"USD"
452037,6206871,"",20221205203852180000,220,"Renewal Premium",20221206,441.000,"USD"
452037,6206871,"",20230104203855556000,220,"Renewal Premium",20230105,441.000,"USD"
452037,6206871,"",20230206203956596000,220,"Renewal Premium",20230207,441.000,"USD"
452037,6206871,"",20230306204008288000,220,"Renewal Premium",20230307,441.000,"USD"
452037,6206871,"",20230404203833502000,220,"Renewal Premium",20230405,441.000,"USD"
452037,6206871,"",20230504203700315000,220,"Renewal Premium",20230505,441.000,"USD"
452037,6206871,"",20230605203749036000,220,"Renewal Premium",20230606,441.000,"USD"
452037,6206871,"",20230704203831735000,220,"Renewal Premium",20230705,441.000,"USD"
452037,6206871,"",20230804203715403000,220,"Renewal Premium",20230805,441.000,"USD"
452037,6206871,"",20230905204228793000,220,"Renewal Premium",20230905,441.000,"USD"
452037,6206871,"",20231004203634346000,220,"Renewal Premium",20231005,441.000,"USD"
452037,6207313,"",20221102204245965000,220,"Renewal Premium",20221103,327.070,"GBP"
452037,6207313,"",20221201204837671000,220,"Renewal Premium",20221202,327.070,"GBP"
452037,6207313,"",20230103203951199000,220,"Renewal Premium",20230104,327.070,"GBP"
452037,6207313,"",20230202203912830000,220,"Renewal Premium",20230203,327.070,"GBP"
452037,6207313,"",20230305203846078000,220,"Renewal Premium",20230306,327.070,"GBP"
452037,6207313,"",20230402203850271000,220,"Renewal Premium",20230403,327.070,"GBP"
452037,6207313,"",20230601204516176000,220,"Renewal Premium",20230602,327.070,"GBP"
452037,6207313,"",20230629203739977000,220,"Renewal Premium",20230630,327.070,"GBP"
452037,6207313,"",20230629203740005000,220,"Renewal Premium",20230630,327.070,"GBP"
452037,6207313,"",20230802203659950000,220,"Renewal Premium",20230803,327.070,"GBP"
452037,6207313,"",20230831225854114000,220,"Renewal Premium",20230901,327.070,"GBP"
452037,6207313,"",20231003203837079000,220,"Renewal Premium",20231004,327.070,"GBP"
452037,6207376,"",20221110204230851000,220,"Renewal Premium",20221111,663.000,"USD"
452037,6207376,"",20221226204351170000,220,"Renewal Premium",20221227,663.000,"USD"
452037,6207376,"",20230125203931627000,220,"Renewal Premium",20230126,663.000,"USD"
452037,6207376,"",20230227204016036000,220,"Renewal Premium",20230228,663.000,"USD"
452037,6207376,"",20230327203911878000,220,"Renewal Premium",20230328,663.000,"USD"
452037,6207376,"",20230425203856947000,220,"Renewal Premium",20230426,663.000,"USD"
452037,6207376,"",20230525203750548000,220,"Renewal Premium",20230526,663.000,"USD"
452037,6207376,"",20230626203835905000,220,"Renewal Premium",20230627,663.000,"USD"
452037,6207376,"",20230725203717095000,220,"Renewal Premium",20230726,663.000,"USD"
452037,6207376,"",20230825203747128000,220,"Renewal Premium",20230826,663.000,"USD"
452037,6207376,"",20230925203736416000,220,"Renewal Premium",20230926,663.000,"USD"
452037,6207670,"",20221019203906326000,220,"Renewal Premium",20221020,510.000,"USD"
452037,6207670,"",20221121203810884000,220,"Renewal Premium",20221122,510.000,"USD"
452037,6207670,"",20221219203827510000,220,"Renewal Premium",20221220,510.000,"USD"
452037,6207670,"",20230119203753769000,220,"Renewal Premium",20230120,510.000,"USD"
452037,6207670,"",20230223204003816000,220,"Renewal Premium",20230224,510.000,"USD"
452037,6207670,"",20230320203752917000,220,"Renewal Premium",20230321,510.000,"USD"
452037,6207670,"",20230419203638426000,220,"Renewal Premium",20230420,510.000,"USD"
452037,6207670,"",20230519203559902000,220,"Renewal Premium",20230520,510.000,"USD"
452037,6207670,"",20230619203631237000,220,"Renewal Premium",20230620,510.000,"USD"
