"Run Number","Client Number","Policy Number","Policy Role Code","Policy Role Description","Role Sequence","Retirement Date"
453739,"1000893021",3130896,"OWN","Owner",1,0
453739,"1000893022",3130918,"LFI","Life Insured",1,20380801
453739,"1000893022",3130918,"OWN","Owner",1,0
453739,"1001255597",3131692,"LFI","Life Insured",1,20420501
453739,"1001255597",3131692,"OWN","Owner",1,0
453739,"1001255598",3131692,"LFI","Life Insured",2,20420501
453739,"1001255598",3131692,"OWN","Owner",2,0
453739,"1001115401",3133012,"LFI","Life Insured",1,20340701
453739,"1001115401",3133012,"OWN","Owner",1,0
453739,"1001032632",3139168,"LFI","Life Insured",1,20440901
453739,"1001032632",3139168,"OWN","Owner",1,0
453739,"1000952167",3139271,"LFI","Life Insured",1,20370101
453739,"1000952167",3139271,"OWN","Owner",1,0
453739,"1000929048",3143651,"LFI","Life Insured",1,20350401
453739,"1000929048",3143651,"OWN","Owner",1,0
453739,"1001157427",3144308,"LFI","Life Insured",1,20320301
453739,"1001157427",3144308,"OWN","Owner",1,0
453739,"1000256311",3147070,"LFI","Life Insured",1,20330301
453739,"1000256311",3147070,"OWN","Owner",1,0
453739,"1000621820",3147853,"LFI","Life Insured",1,20450901
453739,"1000621820",3147853,"OWN","Owner",1,0
453739,"1001266218",3148789,"LFI","Life Insured",1,20570801
453739,"1001266218",3148789,"OWN","Owner",1,0
453739,"1001268300",3151030,"LFI","Life Insured",1,20531001
453739,"1001268300",3151030,"OWN","Owner",1,0
453739,"1001268301",3151030,"LFI","Life Insured",2,20531001
453739,"1001268301",3151030,"OWN","Owner",2,0
453739,"1001054655",3151264,"LFI","Life Insured",1,20510201
453739,"1001054655",3151264,"OWN","Owner",1,0
453739,"1000914413",3151999,"LFI","Life Insured",1,20330301
453739,"1000914413",3151999,"OWN","Owner",1,0
453739,"1000879478",3156184,"LFI","Life Insured",1,20470601
453739,"1000879478",3156184,"OWN","Owner",1,0
453739,"1000967895",3156770,"LFI","Life Insured",1,20370401
453739,"1000967895",3156770,"OWN","Owner",1,0
453739,"1000920476",3157130,"LFI","Life Insured",1,20370401
453739,"1000920476",3157130,"OWN","Owner",1,0
453739,"1001206331",3159275,"LFI","Life Insured",1,20330601
453739,"1001206331",3159275,"OWN","Owner",1,0
453739,"1001070983",3160182,"LFI","Life Insured",1,20450401
453739,"1001070983",3160182,"OWN","Owner",1,0
453739,"1001070984",3160786,"LFI","Life Insured",1,20390401
453739,"1001070984",3160786,"OWN","Owner",1,0
453739,"1001207156",3161245,"LFI","Life Insured",1,20470601
453739,"1001207156",3161245,"OWN","Owner",1,0
453739,"1000947916",3161404,"LFI","Life Insured",1,20330601
453739,"1000947916",3161404,"OWN","Owner",1,0
453739,"1001207544",3162004,"LFI","Life Insured",1,20470601
453739,"1001207544",3162004,"OWN","Owner",1,0
453739,"1000973643",3163474,"LFI","Life Insured",1,20370701
453739,"1000973643",3163474,"OWN","Owner",1,0
453739,"1001109146",3163583,"LFI","Life Insured",1,20471201
453739,"1001109146",3163583,"OWN","Owner",1,0
453739,"1001109147",3163583,"LFI","Life Insured",2,20471201
453739,"1001109147",3163583,"OWN","Owner",2,0
453739,"1001208963",3164423,"LFI","Life Insured",1,20440901
453739,"1001208963",3164423,"OWN","Owner",1,0
453739,"1001151851",3167121,"LFI","Life Insured",1,20551201
453739,"1001151851",3167121,"OWN","Owner",1,0
453739,"1000963597",3167130,"LFI","Life Insured",1,20420801
453739,"1000963597",3167130,"OWN","Owner",1,0
453739,"1001211310",3169263,"LFI","Life Insured",1,20371101
453739,"1001211310",3169263,"OWN","Owner",1,0
453739,"1000983033",3173861,"LFI","Life Insured",1,20270801
453739,"1000983033",3173861,"OWN","Owner",1,0
453739,"1001015415",3175857,"LFI","Life Insured",1,20560301
453739,"1001015415",3175857,"OWN","Owner",1,0
453739,"1000613673",3175981,"LFI","Life Insured",1,20560201
453739,"1000613673",3175981,"OWN","Owner",1,0
453739,"1001158125",3176349,"LFI","Life Insured",1,20410201
453739,"1001158125",3176349,"OWN","Owner",1,0
453739,"1000987992",3179249,"LFI","Life Insured",1,20521001
453739,"1000987992",3179249,"OWN","Owner",1,0
453739,"1000835986",3180212,"LFI","Life Insured",1,20371101
453739,"1000835986",3180212,"OWN","Owner",1,0
453739,"1001091041",3182313,"LFI","Life Insured",1,20430801
453739,"1001091041",3182313,"OWN","Owner",1,0
453739,"1001161832",3182323,"LFI","Life Insured",1,20410401
453739,"1001161832",3182323,"OWN","Owner",1,0
453739,"1000229658",3183240,"LFI","Life Insured",1,20360501
453739,"1000229658",3183240,"OWN","Owner",1,0
453739,"1001046556",3183647,"LFI","Life Insured",1,20460701
453739,"1001046556",3183647,"OWN","Owner",1,0
453739,"1001162654",3183753,"LFI","Life Insured",1,20520401
453739,"1001162654",3183753,"OWN","Owner",1,0
453739,"1001162653",3183787,"LFI","Life Insured",1,20510401
453739,"1001162653",3183787,"OWN","Owner",1,0
453739,"1001102935",3185615,"LFI","Life Insured",1,20380401
453739,"1001102935",3185615,"OWN","Owner",1,0
453739,"1001164007",3186010,"LFI","Life Insured",1,20460501
453739,"1001164007",3186010,"OWN","Owner",1,0
453739,"1001164019",3186231,"LFI","Life Insured",1,20560401
453739,"1001164019",3186231,"OWN","Owner",1,0
453739,"1001164052",3186255,"LFI","Life Insured",1,20520501
453739,"1001164052",3186255,"OWN","Owner",1,0
453739,"1001164028",3186272,"LFI","Life Insured",1,20410501
453739,"1001164028",3186272,"OWN","Owner",1,0
453739,"1001164030",3186320,"LFI","Life Insured",1,20410501
453739,"1001164030",3186320,"OWN","Owner",1,0
453739,"1001164057",3186328,"LFI","Life Insured",1,20450501
453739,"1001164057",3186328,"OWN","Owner",1,0
453739,"1000754035",3187023,"LFI","Life Insured",1,20490501
453739,"1000754035",3187023,"OWN","Owner",1,0
453739,"1001164252",3187073,"LFI","Life Insured",1,20390501
453739,"1001164252",3187073,"OWN","Owner",1,0
453739,"1001164341",3187270,"LFI","Life Insured",1,20350501
453739,"1001164341",3187270,"OWN","Owner",1,0
453739,"1001165174",3188313,"LFI","Life Insured",1,20410501
453739,"1001165174",3188313,"OWN","Owner",1,0
453739,"1001224878",3189247,"LFI","Life Insured",1,20521001
453739,"1001224878",3189247,"OWN","Owner",1,0
453739,"1001224877",3189255,"LFI","Life Insured",1,20421101
453739,"1001224877",3189255,"OWN","Owner",1,0
453739,"1001225763",3191004,"LFI","Life Insured",1,20431101
453739,"1001225763",3191004,"OWN","Owner",1,0
453739,"1001225764",3191013,"LFI","Life Insured",1,20491101
453739,"1001225764",3191013,"OWN","Owner",1,0
453739,"1000741171",3191372,"LFI","Life Insured",1,20411001
453739,"1000741171",3191372,"OWN","Owner",1,0
453739,"1001170141",3195769,"LFI","Life Insured",1,20360701
453739,"1001170141",3195769,"OWN","Owner",1,0
453739,"1001014566",3195858,"LFI","Life Insured",1,20490601
453739,"1001014566",3195858,"OWN","Owner",1,0
453739,"1001014566",3197778,"LFI","Life Insured",1,20500201
453739,"1001014566",3197778,"OWN","Owner",1,0
453739,"1000401760",5226083,"LFI","Life Insured",1,20311031
453739,"1000401760",5226083,"OWN","Owner",1,0
453739,"1000439188",5234752,"LFI","Life Insured",1,20320930
453739,"1000439188",5234752,"OWN","Owner",1,0
453739,"1000439189",5234752,"LFI","Life Insured",2,20320930
453739,"1000439189",5234752,"OWN","Owner",2,0
453739,"1000440528",5235198,"LFI","Life Insured",1,20320731
453739,"1000440528",5235198,"OWN","Owner",1,0
453739,"1000454024",5239339,"LFI","Life Insured",1,20320930
453739,"1000454024",5239339,"OWN","Owner",1,0
453739,"1000278086",5252873,"LFI","Life Insured",1,20230601
453739,"1000278086",5252873,"OWN","Owner",1,0
453739,"1000510656",5255602,"LFI","Life Insured",1,20330930
453739,"1000510656",5255602,"OWN","Owner",1,0
453739,"1000513169",5256268,"LFI","Life Insured",1,20331031
453739,"1000513169",5256268,"OWN","Owner",1,0
453739,"1000523057",5259712,"LFI","Life Insured",1,20320131
453739,"1000523057",5259712,"OWN","Owner",1,0
453739,"1000523058",5259712,"LFI","Life Insured",2,20320131
453739,"1000523058",5259712,"OWN","Owner",2,0
453739,"1000531850",5263604,"LFI","Life Insured",1,20340430
453739,"1000531850",5263604,"OWN","Owner",1,0
453739,"1000531853",5263604,"LFI","Life Insured",2,20340430
453739,"1000531853",5263604,"OWN","Owner",2,0
453739,"1000540182",5267197,"LFI","Life Insured",1,20340630
453739,"1000540182",5267197,"OWN","Owner",1,0
453739,"1000229170",5312230,"LFI","Life Insured",1,20191201
453739,"1000229170",5312230,"OWN","Owner",1,0
453739,"1000446557",5710473,"LFI","Life Insured",1,20991231
453739,"1000446557",5710473,"OWN","Owner",1,0
453739,"1000447354",5710473,"LFI","Life Insured",2,20991231
453739,"1000447354",5710473,"OWN","Owner",2,0
453739,"1000430400",5714946,"LFI","Life Insured",1,20991231
453739,"1000430400",5714946,"OWN","Owner",1,0
453739,"1000433792",5716158,"LFI","Life Insured",1,20991231
453739,"1000433792",5716158,"OWN","Owner",1,0
453739,"1000311191",5720632,"LFI","Life Insured",1,20991231
453739,"1000311191",5720632,"OWN","Owner",1,0
453739,"1000311192",5720632,"LFI","Life Insured",2,20991231
453739,"1000311192",5720632,"OWN","Owner",2,0
453739,"1000512167",5724047,"LFI","Life Insured",1,20991231
453739,"1000512167",5724047,"OWN","Owner",1,0
453739,"1000730298",6201993,"LFI","Life Insured",1,20991231
453739,"1000730298",6201993,"OWN","Owner",1,0
453739,"1000893955",6202553,"LFI","Life Insured",1,20991231
453739,"1000893955",6202553,"OWN","Owner",1,0
453739,"1000893954",6202685,"LFI","Life Insured",1,20991231
453739,"1000893954",6202685,"OWN","Owner",1,0
453739,"1000470224",6203044,"LFI","Life Insured",1,20991231
453739,"1000470224",6203044,"OWN","Owner",1,0
453739,"1001168536",6203304,"LFI","Life Insured",1,20991231
453739,"1001168536",6203304,"OWN","Owner",1,0
453739,"1000983032",6203674,"LFI","Life Insured",1,20991231
453739,"1000983032",6203674,"OWN","Owner",1,0
453739,"1001100246",6203748,"LFI","Life Insured",1,20991231
453739,"1001100246",6203748,"OWN","Owner",1,0
453739,"1000975780",6203784,"LFI","Life Insured",1,20991231
453739,"1000975780",6203784,"OWN","Owner",1,0
453739,"1000975781",6203784,"LFI","Life Insured",2,20991231
453739,"1000975781",6203784,"OWN","Owner",2,0
453739,"1000713553",6205181,"LFI","Life Insured",1,20991231
453739,"1000713553",6205181,"OWN","Owner",1,0
453739,"1000729250",6206871,"LFI","Life Insured",1,20991231
453739,"1000729250",6206871,"OWN","Owner",1,0
453739,"1001172017",6207313,"LFI","Life Insured",1,20991231
453739,"1001172017",6207313,"OWN","Owner",1,0
453739,"1000923275",6207376,"LFI","Life Insured",1,20991231
453739,"1000923275",6207376,"OWN","Owner",1,0
453739,"1000923349",6207670,"LFI","Life Insured",1,20991231
453739,"1000923349",6207670,"OWN","Owner",1,0
453739,"1000923351",6207670,"LFI","Life Insured",2,20991231
453739,"1000923351",6207670,"OWN","Owner",2,0
453739,"1000759169",6208135,"LFI","Life Insured",1,20991231
453739,"1000759169",6208135,"OWN","Owner",1,0
453739,"1000628172",6211944,"LFI","Life Insured",1,20991231
453739,"1000628172",6211944,"OWN","Owner",1,0
453739,"1001054210",6212984,"LFI","Life Insured",1,20991231
453739,"1001054210",6212984,"OWN","Owner",1,0
453739,"1000916656",6213198,"LFI","Life Insured",1,20991231
453739,"1000916656",6213198,"OWN","Owner",1,0
453739,"1000928985",6215123,"LFI","Life Insured",1,20991231
453739,"1000928985",6215123,"OWN","Owner",1,0
453739,"1000928986",6215123,"LFI","Life Insured",2,20991231
453739,"1000928986",6215123,"OWN","Owner",2,0
453739,"1001056546",6217031,"LFI","Life Insured",1,20991231
453739,"1001056546",6217031,"OWN","Owner",1,0
453739,"1001181683",6217758,"LFI","Life Insured",1,20991231
453739,"1001181683",6217758,"OWN","Owner",1,0
453739,"1001181684",6217920,"LFI","Life Insured",1,20991231
453739,"1001181684",6217920,"OWN","Owner",1,0
453739,"1000989001",6218913,"LFI","Life Insured",1,20991231
453739,"1000989001",6218913,"OWN","Owner",1,0
453739,"1000931153",6219358,"LFI","Life Insured",1,20991231
453739,"1000931153",6219358,"OWN","Owner",1,0
453739,"1001103583",6219475,"LFI","Life Insured",1,20991231
453739,"1001103583",6219475,"OWN","Owner",1,0
453739,"1000931226",6219528,"LFI","Life Insured",1,20991231
453739,"1000931226",6219528,"OWN","Owner",1,0
453739,"1000931227",6219528,"LFI","Life Insured",2,20991231
453739,"1000931227",6219528,"OWN","Owner",2,0
453739,"1000858963",6220284,"LFI","Life Insured",1,20991231
453739,"1000858963",6220284,"OWN","Owner",1,0
453739,"1000785591",6220879,"LFI","Life Insured",1,20991231
453739,"1000785591",6220879,"OWN","Owner",1,0
453739,"1000934230",6224386,"LFI","Life Insured",1,20991231
453739,"1000934230",6224386,"OWN","Owner",1,0
453739,"1000974102",6225995,"LFI","Life Insured",1,20991231
453739,"1000974102",6225995,"OWN","Owner",1,0
453739,"1000741171",6236343,"LFI","Life Insured",1,20991231
453739,"1000741171",6236343,"OWN","Owner",1,0
453739,"1000741172",6236343,"LFI","Life Insured",2,20991231
453739,"1000741172",6236343,"OWN","Owner",2,0
453739,"1000941879",6236724,"LFI","Life Insured",1,20991231
453739,"1000941879",6236724,"OWN","Owner",1,0
453739,"1000986644",6238478,"LFI","Life Insured",1,20991231
453739,"1000986644",6238478,"OWN","Owner",1,0
453739,"1000943564",6239812,"LFI","Life Insured",1,20991231
453739,"1000943564",6239812,"OWN","Owner",1,0
453739,"1000572913",6242394,"LFI","Life Insured",1,20991231
453739,"1000572913",6242394,"OWN","Owner",1,0
453739,"1001124675",6244576,"LFI","Life Insured",1,20991231
453739,"1001124675",6244576,"OWN","Owner",1,0
453739,"1000909561",6244582,"LFI","Life Insured",1,20991231
453739,"1000909561",6244582,"OWN","Owner",1,0
453739,"1000947507",6246801,"LFI","Life Insured",1,20991231
453739,"1000947507",6246801,"OWN","Owner",1,0
453739,"1000947794",6247637,"LFI","Life Insured",1,20991231
453739,"1000947794",6247637,"OWN","Owner",1,0
453739,"1000948370",6248374,"LFI","Life Insured",1,20991231
453739,"1000948370",6248374,"OWN","Owner",1,0
453739,"1000613673",6248537,"LFI","Life Insured",2,20991231
453739,"1000613673",6248537,"OWN","Owner",2,0
453739,"1001015415",6248537,"LFI","Life Insured",1,20991231
453739,"1001015415",6248537,"OWN","Owner",1,0
453739,"1000679507",6248971,"LFI","Life Insured",1,20991231
453739,"1000679507",6248971,"OWN","Owner",1,0
453739,"1001073381",6249968,"LFI","Life Insured",1,20991231
453739,"1001073381",6249968,"OWN","Owner",1,0
453739,"1001073382",6249968,"LFI","Life Insured",2,20991231
453739,"1001073382",6249968,"OWN","Owner",2,0
453739,"1000923277",6251653,"LFI","Life Insured",1,20991231
453739,"1000923277",6251653,"OWN","Owner",1,0
453739,"1001019801",6253484,"LFI","Life Insured",1,20991231
453739,"1001019801",6253484,"OWN","Owner",1,0
453739,"1000893912",6255256,"LFI","Life Insured",1,20991231
453739,"1000893912",6255256,"OWN","Owner",1,0
453739,"1000897292",6259326,"LFI","Life Insured",1,20991231
453739,"1000897292",6259326,"OWN","Owner",1,0
453739,"1000957903",6261622,"LFI","Life Insured",1,20991231
453739,"1000957903",6261622,"OWN","Owner",1,0
453739,"1000897390",6261825,"LFI","Life Insured",1,20991231
453739,"1000897390",6261825,"OWN","Owner",1,0
453739,"1000897371",6261914,"LFI","Life Insured",1,20991231
453739,"1000897371",6261914,"OWN","Owner",1,0
453739,"1001026131",6264494,"LFI","Life Insured",1,20991231
453739,"1001026131",6264494,"OWN","Owner",1,0
453739,"1000959868",6265121,"LFI","Life Insured",1,20991231
453739,"1000959868",6265121,"OWN","Owner",1,0
453739,"1000916658",6265295,"LFI","Life Insured",1,20991231
453739,"1000916658",6265295,"OWN","Owner",1,0
453739,"1000967087",6266156,"LFI","Life Insured",1,20991231
453739,"1000967087",6266156,"OWN","Owner",1,0
453739,"1000921550",6267582,"LFI","Life Insured",1,20991231
453739,"1000921550",6267582,"OWN","Owner",1,0
453739,"1000921551",6267582,"LFI","Life Insured",2,20991231
453739,"1000921551",6267582,"OWN","Owner",2,0
453739,"1000901581",6267700,"LFI","Life Insured",1,20991231
453739,"1000901581",6267700,"OWN","Owner",1,0
453739,"1000822515",6268773,"LFI","Life Insured",1,20991231
453739,"1000822515",6268773,"OWN","Owner",1,0
453739,"1000902341",6269109,"LFI","Life Insured",1,20991231
453739,"1000902341",6269109,"OWN","Owner",1,0
453739,"1001109491",6270243,"LFI","Life Insured",1,20991231
453739,"1001109491",6270243,"OWN","Owner",1,0
453739,"1001143713",6270518,"LFI","Life Insured",1,20991231
453739,"1001143713",6270518,"OWN","Owner",1,0
453739,"1001143714",6270518,"LFI","Life Insured",2,20991231
453739,"1001143714",6270518,"OWN","Owner",2,0
453739,"1001074415",6274636,"LFI","Life Insured",1,20991231
453739,"1001074415",6274636,"OWN","Owner",1,0
453739,"1000825677",6276946,"LFI","Life Insured",1,20991231
453739,"1000825677",6276946,"OWN","Owner",1,0
453739,"1000683842",6278207,"LFI","Life Insured",1,20991231
453739,"1000683842",6278207,"OWN","Owner",1,0
453739,"1001034624",6278207,"LFI","Life Insured",2,20991231
453739,"1001034624",6278207,"OWN","Owner",2,0
453739,"1000967192",6278389,"LFI","Life Insured",1,20991231
453739,"1000967192",6278389,"OWN","Owner",1,0
