"Run Number","Policy Number","Policy Reference","Regular Premium Currency","Regular Premium Frequency Code","Regular Premium Frequency Desc","Regular Premium Amount","Total Outstanding","Premium Status Description","Oldest Outstanding Premium Dte","Latest Outstanding Premium Dte","Next Due Date","Last Premium Paid Date","Premium Holiday Option","Escalation","Count Of Outstanding Premiums"
453739,3122022,"KDEU7NM8","USD",12,"Monthly",275.93,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3123245,"","USD",12,"Monthly",108.27,0.00,"Paid to Date","202312","","","231023","NO","",0
453739,3123335,"","GBP",12,"Monthly",396.99,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3123592,"238CXOXP","USD",12,"Monthly",141.50,0.00,"Premium Due","202310","","","091023","NO","",0
453739,3123821,"","USD",12,"Monthly",67.53,0.00,"Lapse","","","","240717","N/A","",0
453739,3123928,"","USD",12,"Monthly",270.41,0.00,"Lapse","","","","290422","N/A","",0
453739,3123995,"","USD",12,"Monthly",74.32,0.00,"Lapse","","","","290422","N/A","",0
453739,3124610,"1OS8DY92","USD",12,"Monthly",91.46,0.00,"Premium Due","202310","","","270923","NO","",0
453739,3125289,"","USD",12,"Monthly",109.68,0.00,"Paid to Date","202311","","","041023","NO","",0
453739,3126617,"","USD",12,"Monthly",180.57,0.00,"Lapse","","","","020920","N/A","",0
453739,3129768,"2LJP02RY","USD",12,"Monthly",92.34,0.00,"Paid to Date","202312","","","031023","NO","",0
453739,3130896,"","USD",12,"Monthly",280.00,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3130918,"","USD",12,"Monthly",74.97,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3131692,"GN41IQNQ","USD",12,"Monthly",186.12,0.00,"Paid to Date","202311","","","091023","NO","",0
453739,3133012,"","USD",12,"Monthly",41.26,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3139168,"","USD",12,"Monthly",145.56,0.00,"Lapse","","","","010523","N/A","",0
453739,3139271,"","USD",12,"Monthly",99.89,0.00,"Premium Due","202310","","","161023","NO","",0
453739,3143651,"","USD",12,"Monthly",258.39,0.00,"Lapse","","","","010420","N/A","",0
453739,3144308,"","USD",12,"Monthly",340.32,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,3147070,"","USD",12,"Monthly",1083.71,0.00,"Lapse","","","","161120","N/A","",0
453739,3147853,"","USD",12,"Monthly",81.26,0.00,"Paid to Date","202311","","","091023","NO","",0
453739,3148789,"NZX7P0ZK","USD",12,"Monthly",87.63,87.63,"Outstanding","202309","","","070823","NO","",1
453739,3151030,"2LJ5B82D","GBP",12,"Monthly",95.71,0.00,"Paid to Date","202311","","","211023","NO","",0
453739,3151264,"","USD",12,"Monthly",171.87,0.00,"Paid to Date","202311","","","261023","NO","",0
453739,3151999,"","USD",12,"Monthly",2456.99,0.00,"Lapse","","","","180820","N/A","",0
453739,3156184,"","USD",12,"Monthly",313.88,0.00,"Lapse","","","","040121","N/A","",0
453739,3156770,"","USD",12,"Monthly",174.22,0.00,"Lapse","","","","020922","N/A","",0
453739,3157130,"","GBP",12,"Monthly",143.09,0.00,"Lapse","","","","200417","N/A","",0
453739,3159275,"","USD",12,"Monthly",597.75,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,3160182,"","USD",12,"Monthly",168.78,0.00,"Lapse","","","","240821","N/A","",0
453739,3160786,"","USD",12,"Monthly",199.75,0.00,"Lapse","","","","240821","N/A","",0
453739,3161245,"M98RFZ7N","USD",12,"Monthly",123.66,123.66,"Outstanding","202309","","","290823","NO","",1
453739,3161404,"","USD",12,"Monthly",199.94,0.00,"Lapse","","","","010817","N/A","",0
453739,3162004,"CZNQTIX8","USD",12,"Monthly",95.45,95.45,"Outstanding","202309","","","290823","NO","",1
453739,3163474,"","USD",12,"Monthly",92.00,0.00,"Lapse","","","","070817","N/A","",0
453739,3163583,"","GBP",12,"Monthly",253.97,253.97,"Outstanding","202309","","","180723","NO","",1
453739,3164423,"","USD",12,"Monthly",278.74,0.00,"Paid to Date","","","","230822","NO","",0
453739,3167121,"","USD",12,"Monthly",178.33,0.00,"Paid to Date","202312","","","301023","NO","",0
453739,3167130,"","USD",1,"Annual",822.65,0.00,"Paid to Date","","","","010823","NO","",0
453739,3169263,"","USD",12,"Monthly",107.24,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3173861,"","USD",12,"Monthly",364.25,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3175857,"","USD",12,"Monthly",343.34,0.00,"Paid to Date","202311","","","091023","NO","",0
453739,3175981,"","USD",12,"Monthly",230.12,0.00,"Premium Due","202310","","","041023","NO","",0
453739,3176349,"","USD",12,"Monthly",131.16,0.00,"Paid to Date","202311","","","250923","NO","",0
453739,3179249,"","EUR",12,"Monthly",143.40,0.00,"Paid to Date","202311","","","271023","NO","",0
453739,3180212,"","USD",12,"Monthly",77.87,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,3182313,"","USD",12,"Monthly",135.78,0.00,"Premium Due","202310","","","301023","NO","",0
453739,3182323,"","USD",12,"Monthly",220.04,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,3183240,"","AED",1,"Annual",33039.61,0.00,"Paid to Date","","","","060723","NO","",0
453739,3183647,"","USD",12,"Monthly",116.34,0.00,"Premium Due","202310","","","101023","NO","",0
453739,3183753,"","USD",12,"Monthly",158.60,0.00,"Lapse","","","","300522","N/A","",0
453739,3183787,"","USD",12,"Monthly",67.39,0.00,"Lapse","","","","300522","N/A","",0
453739,3185615,"","EUR",12,"Monthly",65.48,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,3186010,"","USD",12,"Monthly",149.22,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,3186231,"","AED",12,"Monthly",158.85,0.00,"Paid to Date","202311","","","061023","NO","",0
453739,3186255,"","USD",12,"Monthly",116.42,0.00,"Lapse","","","","010921","N/A","",0
453739,3186272,"","GBP",12,"Monthly",103.53,0.00,"Paid to Date","202311","","","101023","NO","",0
453739,3186320,"","GBP",12,"Monthly",252.96,0.00,"Paid to Date","202311","","","101023","NO","",0
453739,3186328,"","USD",12,"Monthly",52.63,0.00,"Lapse","","","","010921","N/A","",0
453739,3187023,"","USD",12,"Monthly",78.43,0.00,"Premium Due","202310","","","051023","NO","",0
453739,3187073,"","USD",12,"Monthly",400.94,0.00,"Paid to Date","202311","","","021023","NO","",0
453739,3187270,"","USD",12,"Monthly",88.18,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,3188313,"","USD",12,"Monthly",292.09,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,3189247,"","USD",12,"Monthly",175.66,0.00,"Paid to Date","","","","171023","NO","",0
453739,3189255,"","USD",12,"Monthly",165.92,165.92,"Outstanding","202309","","","171023","NO","",1
453739,3191004,"","USD",12,"Monthly",108.73,0.00,"Lapse","","","","020323","N/A","",0
453739,3191013,"","USD",12,"Monthly",78.46,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3191372,"","AED",1,"Annual",1953.58,0.00,"Lapse","","","","141021","N/A","",0
453739,3195769,"","USD",12,"Monthly",146.40,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,3195858,"","GBP",12,"Monthly",174.84,0.00,"Paid to Date","202312","","","011123","NO","",0
453739,3197778,"","GBP",12,"Monthly",109.43,0.00,"Lapse","","","","010922","N/A","",0
453739,5226083,"PICAD03/06","USD",12,"Monthly",1000.00,0.00,"Paid to Date","","","","281216","NO","",0
453739,5234752,"GBE154/07","USD",12,"Monthly",500.00,0.00,"Paid to Date","","","","060817","NO","",0
453739,5235198,"PIC198/07","USD",12,"Monthly",300.00,0.00,"Paid to Date","","","","240419","NO","",0
453739,5239339,"PIC250/07","USD",12,"Monthly",600.00,0.00,"Paid to Date","202311","","","161023","NO","",0
453739,5252873,"V30081","USD",12,"Monthly",2000.00,0.00,"Paid to Date","","","","150216","NO","",0
453739,5255602,"PIC307/08","USD",12,"Monthly",2000.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,5256268,"","USD",4,"Quarterly",10000.00,0.00,"Paid to Date","202311","","","150823","NO","",0
453739,5259712,"PIC398/08","USD",12,"Monthly",300.00,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,5263604,"","USD",12,"Monthly",300.00,0.00,"Paid to Date","","","","010321","NO","",0
453739,5267197,"PIC570/09","USD",12,"Monthly",2000.00,0.00,"Paid to Date","","","","050218","NO","",0
453739,5312230,"SEF12320","USD",0,"",0.00,0.00,"Paid to Date","","","","241019","NO","",0
453739,5710473,"","USD",12,"Monthly",710.00,0.00,"Paid to Date","","","","040117","NO","",0
453739,5714946,"GIB19/07","USD",12,"Monthly",256.00,0.00,"Paid to Date","202311","","","031023","NO","",0
453739,5716158,"ACM60/07","USD",12,"Monthly",3662.00,0.00,"Paid to Date","","","","210417","NO","",0
453739,5720632,"F17992","USD",12,"Monthly",200.00,0.00,"Paid to Date","","","","170814","NO","",0
453739,5724047,"8901635","USD",12,"Monthly",654.00,0.00,"Paid to Date","","","","040722","NO","",0
453739,6201993,"","USD",12,"Monthly",522.00,0.00,"Paid to Date","202311","","","201023","NO","",0
453739,6202553,"","USD",12,"Monthly",150.00,0.00,"Premium Due","202310","","","301023","NO","",0
453739,6202685,"","USD",12,"Monthly",150.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6203044,"A020464186","USD",12,"Monthly",593.00,0.00,"Lapse","","","","110517","N/A","",0
453739,6203304,"","USD",12,"Monthly",582.16,0.00,"Paid to Date","202311","","","101023","NO","",0
453739,6203674,"","USD",12,"Monthly",221.00,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,6203748,"","USD",12,"Monthly",195.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6203784,"","USD",12,"Monthly",653.31,0.00,"Paid to Date","","","","260921","NO","",0
453739,6205181,"","USD",12,"Monthly",911.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6206871,"","USD",12,"Monthly",441.00,0.00,"Premium Due","202310","","","041023","NO","",0
453739,6207313,"","GBP",12,"Monthly",327.07,327.07,"Outstanding","202309","","","280923","NO","",1
453739,6207376,"","USD",12,"Monthly",663.00,0.00,"Paid to Date","202311","","","251023","NO","",0
453739,6207670,"","USD",12,"Monthly",510.00,0.00,"Premium Due","202310","","","191023","NO","",0
453739,6208135,"","GBP",12,"Monthly",241.00,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,6211944,"","USD",12,"Monthly",1511.00,0.00,"Paid to Date","202311","","","031023","NO","",0
453739,6212984,"","USD",12,"Monthly",1769.00,0.00,"Lapse","","","","160420","N/A","",0
453739,6213198,"","USD",12,"Monthly",180.00,180.00,"Outstanding","202309","","","271023","NO","",1
453739,6215123,"","USD",12,"Monthly",250.00,0.00,"Paid to Date","202311","","","251023","NO","",0
453739,6217031,"","USD",12,"Monthly",988.00,0.00,"Premium Due","202310","","","121023","NO","",0
453739,6217758,"","AED",12,"Monthly",1359.78,0.00,"Paid to Date","202312","","","311023","NO","",0
453739,6217920,"","AED",12,"Monthly",1808.35,0.00,"Paid to Date","202312","","","311023","NO","",0
453739,6218913,"CIB332-009","USD",12,"Monthly",493.00,0.00,"Paid to Date","","","","020521","NO","",0
453739,6219358,"DVA1385916","USD",12,"Monthly",540.00,0.00,"Lapse","","","","091019","N/A","",0
453739,6219475,"","USD",12,"Monthly",195.00,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,6219528,"N257203","USD",12,"Monthly",419.00,0.00,"Paid to Date","202311","","","051023","NO","",0
453739,6220284,"","USD",12,"Monthly",355.00,0.00,"Paid to Date","202311","","","201023","NO","",0
453739,6220879,"","USD",12,"Monthly",276.00,0.00,"Paid to Date","202312","","","241023","NO","",0
453739,6224386,"","USD",12,"Monthly",500.00,0.00,"Paid-Up","","","","291020","NO","",0
453739,6225995,"","USD",12,"Monthly",851.00,0.00,"Paid-Up","","","","251021","NO","",0
453739,6236343,"","USD",12,"Monthly",476.00,0.00,"Paid to Date","","","","161120","NO","",0
453739,6236724,"","USD",12,"Monthly",218.00,0.00,"Lapse","","","","300519","N/A","",0
453739,6238478,"","USD",12,"Monthly",256.31,0.00,"Premium Due","202310","","","050923","NO","",0
453739,6239812,"DVA13977/1","USD",12,"Monthly",153.00,0.00,"Lapse","","","","160517","N/A","",0
453739,6242394,"","USD",12,"Monthly",279.00,0.00,"Premium Due","202310","","","031023","NO","",0
453739,6244576,"","USD",12,"Monthly",1457.00,0.00,"Lapse","","","","250421","N/A","",0
453739,6244582,"","USD",12,"Monthly",197.00,0.00,"Lapse","","","","311217","N/A","",0
453739,6246801,"","USD",12,"Monthly",500.00,0.00,"Paid to Date","202312","","","021023","NO","",0
453739,6247637,"","USD",12,"Monthly",368.00,0.00,"Paid to Date","","","","010418","NO","",0
453739,6248374,"","USD",12,"Monthly",211.00,0.00,"Lapse","","","","290618","N/A","",0
453739,6248537,"N271527","USD",12,"Monthly",318.00,0.00,"Lapse","","","","191120","N/A","",0
453739,6248971,"A041073818","USD",12,"Monthly",2961.00,0.00,"Lapse","","","","190519","N/A","",0
453739,6249968,"","USD",12,"Monthly",531.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6251653,"","USD",12,"Monthly",1319.00,0.00,"Premium Due","202310","","","251023","NO","",0
453739,6253484,"","USD",12,"Monthly",362.00,0.00,"Lapse","","","","280720","N/A","",0
453739,6255256,"","USD",12,"Monthly",447.00,0.00,"Paid to Date","202311","","","271023","NO","",0
453739,6259326,"","USD",12,"Monthly",227.00,0.00,"Lapse","","","","250618","N/A","",0
453739,6261622,"","USD",12,"Monthly",300.00,0.00,"Lapse","","","","080518","N/A","",0
453739,6261825,"","USD",12,"Monthly",180.00,0.00,"Paid to Date","","","","031119","NO","",0
453739,6261914,"","USD",12,"Monthly",180.00,0.00,"Paid-Up","","","","240919","NO","",0
453739,6264494,"","USD",12,"Monthly",201.00,201.00,"Outstanding","202309","","","010923","NO","",1
453739,6265121,"","USD",12,"Monthly",1968.00,0.00,"Paid to Date","","","","030820","NO","",0
453739,6265295,"","USD",12,"Monthly",267.00,0.00,"Lapse","","","","241017","N/A","",0
453739,6266156,"","USD",12,"Monthly",743.72,0.00,"Paid to Date","202311","","","101023","NO","",0
453739,6267582,"DVA14151/7","GBP",12,"Monthly",375.10,0.00,"Paid to Date","","","","260523","NO","",0
453739,6267700,"","USD",12,"Monthly",200.00,0.00,"Paid to Date","","","","051221","NO","",0
453739,6268773,"","USD",12,"Monthly",186.00,0.00,"Lapse","","","","241017","N/A","",0
453739,6269109,"","USD",12,"Monthly",200.00,0.00,"Lapse","","","","050617","N/A","",0
453739,6270243,"","USD",12,"Monthly",200.00,0.00,"Lapse","","","","280323","N/A","",0
453739,6270518,"","USD",12,"Monthly",4032.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6274636,"","USD",12,"Monthly",343.00,0.00,"Lapse","","","","060621","N/A","",0
453739,6276946,"","USD",12,"Monthly",150.00,0.00,"Lapse","","","","151117","N/A","",0
453739,6278207,"","USD",12,"Monthly",286.00,0.00,"Paid to Date","","","","031218","NO","",0
453739,6278389,"","USD",12,"Monthly",166.00,0.00,"Lapse","","","","240719","N/A","",0
453739,6279848,"","USD",12,"Monthly",286.00,286.00,"Outstanding","202309","","","301023","NO","",1
453739,6279872,"","USD",12,"Monthly",150.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6281648,"N253157","USD",12,"Monthly",346.00,0.00,"Paid to Date","202311","","","261023","NO","",0
453739,6282122,"","USD",12,"Monthly",486.00,0.00,"Paid to Date","202311","","","161023","NO","",0
453739,6282369,"","USD",12,"Monthly",217.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6283390,"","USD",12,"Monthly",565.35,0.00,"Paid to Date","","","","020521","NO","",0
453739,6290419,"","USD",12,"Monthly",916.00,0.00,"Paid to Date","","","","030821","NO","",0
453739,6291549,"","USD",12,"Monthly",150.00,0.00,"Paid to Date","202311","","","171023","NO","",0
453739,6291638,"","USD",12,"Monthly",156.00,0.00,"Paid to Date","202311","","","171023","NO","",0
453739,6296432,"DVA13855","USD",12,"Monthly",272.00,0.00,"Lapse","","","","060119","N/A","",0
453739,6297148,"","USD",12,"Monthly",444.00,0.00,"Paid to Date","202311","","","031023","NO","",0
453739,6299653,"A030268924","USD",12,"Monthly",782.00,0.00,"Paid to Date","","","","301120","NO","",0
453739,6304749,"MON07/374","GBP",12,"Monthly",175.00,0.00,"Lapse","","","","230914","N/A","",0
453739,6306585,"N237137","USD",12,"Monthly",490.00,0.00,"Lapse","","","","200519","N/A","",0
453739,6308574,"CIB388/08","USD",12,"Monthly",302.00,0.00,"Premium Due","202310","","","101023","NO","",0
453739,6310030,"A016F9629","USD",12,"Monthly",200.00,0.00,"Paid-Up","","","","030423","NO","",0
453739,6311781,"ADCB14613","USD",0,"",0.00,0.00,"Paid to Date","","","","210616","NO","",0
453739,6313227,"N229339","USD",12,"Monthly",500.00,0.00,"Paid to Date","","","","011017","NO","",0
453739,6314437,"PIB739/13","USD",12,"Monthly",310.00,0.00,"Paid to Date","","","","240821","NO","",0
453739,6320600,"","USD",12,"Monthly",208.00,0.00,"Lapse","","","","011014","N/A","",0
453739,6322475,"N240204","USD",12,"Monthly",540.00,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,6326133,"MON07/373","GBP",12,"Monthly",101.00,0.00,"Lapse","","","","230914","N/A","",0
453739,6340176,"","USD",12,"Monthly",360.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,6342933,"N200095","USD",12,"Monthly",351.00,0.00,"Paid to Date","","","","210316","NO","",0
453739,6360322,"N212220","USD",12,"Monthly",585.00,0.00,"Paid to Date","","","","170321","NO","",0
453739,6361806,"","USD",12,"Monthly",420.00,0.00,"Paid to Date","","","","100619","NO","",0
453739,6370890,"","USD",12,"Monthly",652.00,0.00,"Paid to Date","","","","040722","NO","",0
453739,6376630,"ADCB25050","USD",12,"Monthly",642.00,0.00,"Paid to Date","","","","041017","NO","",0
453739,6379408,"ADCB23726","USD",0,"",0.00,0.00,"Lapse","","","","230517","N/A","",0
453739,8102333,"","USD",12,"Monthly",2000.00,0.00,"Paid to Date","","","","010714","NO","",0
453739,8104798,"PIC1307414","USD",12,"Monthly",1359.00,0.00,"Paid to Date","","","","020517","NO","",0
453739,8107128,"","GBP",12,"Monthly",1500.00,0.00,"Paid to Date","202311","","","301023","NO","",0
453739,8108224,"","USD",12,"Monthly",300.00,0.00,"Paid to Date","202311","","","011123","NO","",0
453739,8110005,"","USD",12,"Monthly",2440.00,0.00,"Paid to Date","202311","","","201023","NO","",0
453739,8111427,"","USD",12,"Monthly",544.00,0.00,"Paid-Up","","","","271218","NO","",0
453739,8111726,"PIC-ZL468","USD",12,"Monthly",2719.00,0.00,"Paid to Date","","","","240915","NO","",0
453739,8114135,"","EUR",12,"Monthly",1920.00,0.00,"Lapse","","","","060616","N/A","",0
453739,8114942,"","USD",12,"Monthly",1086.00,0.00,"Lapse","","","","050218","N/A","",0
453739,8118359,"","USD",12,"Monthly",2039.00,0.00,"Paid-Up","","","","080519","NO","",0
453739,8118549,"","USD",12,"Monthly",1000.00,0.00,"Paid-Up","","","","300322","NO","",0
453739,8118600,"","USD",12,"Monthly",1750.00,0.00,"Paid to Date","202311","","","021023","NO","",0
453739,8119885,"PICZL-1034","USD",12,"Monthly",1500.00,0.00,"Paid to Date","","","","010317","NO","",0
453739,8120000,"PIC-ZL1033","USD",12,"Monthly",1250.00,0.00,"Paid to Date","","","","070816","NO","",0
453739,8120653,"PIC-ZL-604","USD",12,"Monthly",2000.00,0.00,"Paid to Date","","","","061020","NO","",0
453739,8121482,"","USD",12,"Monthly",750.00,0.00,"Paid to Date","","","","200618","NO","",0
453739,8121524,"","GBP",12,"Monthly",2000.00,0.00,"Paid to Date","","","","021023","NO","",0
453739,8124124,"","USD",12,"Monthly",2700.00,0.00,"Paid to Date","","","","271212","NO","",0
453739,8125626,"","USD",12,"Monthly",1358.00,0.00,"Paid to Date","","","","041018","NO","",0
453739,8125657,"","USD",12,"Monthly",750.00,0.00,"Paid-Up","","","","271117","NO","",0
453739,8125701,"","USD",12,"Monthly",815.00,0.00,"Paid-Up","","","","240718","NO","",0
453739,8126850,"","USD",12,"Monthly",300.00,0.00,"Paid-Up","","","","260918","NO","",0
453739,8127039,"","USD",12,"Monthly",300.00,0.00,"Premium Due","202310","","","021023","NO","",0
453739,8127987,"","USD",12,"Monthly",300.00,0.00,"Paid to Date","","","","290523","NO","",0
453739,8128536,"","USD",12,"Monthly",1150.00,0.00,"Paid-Up","","","","270921","NO","",0
