"Run Number","Policy Number","Policy Reference","Premium Type","Effective Date","Fund Code","Strategy Percentage","Fund Name"
453739,2140098,"","Single",20131003,"BIUSD",5.00,"JPM Global Natural Resources USD A Acc"
453739,2140098,"","Single",20131003,"GDUSD",20.00,"Franklin Templeton MENA USD"
453739,2140098,"","Single",20131003,"NNUSD",10.00,"JP Morgan Asean Fund"
453739,2140098,"","Single",20131003,"PDUSD",20.00,"Templeton Global Total Return Fund Class A Acc"
453739,2140098,"","Single",20131003,"UZGBP",15.00,"Invesco UK Equity High Income Fund (UK) Acc"
453739,2140098,"","Single",20131003,"WCUSD",10.00,"Threadneedle American Select fund USD Class 1"
453739,2140098,"","Single",20131003,"4AUSD",20.00,"Harris Associates Global Equity Fund RE/A"
453739,2144809,"","Regular",20220101,"B0170",40.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,2144809,"","Regular",20220101,"USD6C",30.00,"ZUR Threadneedle (Lux) Global Select"
453739,2144809,"","Regular",20220101,"USD6F",30.00,"ZME US dollar Adventurous"
453739,2144817,"","Regular",20220101,"B0170",40.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,2144817,"","Regular",20220101,"USD6C",30.00,"ZUR Threadneedle (Lux) Global Select"
453739,2144817,"","Regular",20220101,"USD6F",30.00,"ZME US dollar Adventurous"
453739,2144884,"","Regular",20220101,"B0169",30.00,"Zurich Allocated Passive 80% Equity Fund - USD"
453739,2144884,"","Regular",20220101,"USD6F",20.00,"ZME US dollar Adventurous"
453739,2144884,"","Regular",20220101,"USD6G",20.00,"ZME US dollar Blue Chip"
453739,2144884,"","Regular",20220101,"USD6L",30.00,"ZME US dollar Performance"
453739,2145945,"","Regular",20220309,"B0170",40.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,2145945,"","Regular",20220309,"USD6C",30.00,"ZUR Threadneedle (Lux) Global Select"
453739,2145945,"","Regular",20220309,"USD6F",30.00,"ZME US dollar Adventurous"
453739,2148642,"","Regular",20220601,"B0164",30.00,"Zurich Allocated Passive 80% Equity Fund - EUR"
453739,2148642,"","Regular",20220601,"VTEUR",20.00,"ZME Euro Adventurous"
453739,2148642,"","Regular",20220601,"VVEUR",20.00,"ZME Euro Blue Chip"
453739,2148642,"","Regular",20220601,"WAEUR",30.00,"ZME Euro Performance"
453739,2160610,"R1J31QID","Regular",20230601,"B0170",30.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,2160610,"R1J31QID","Regular",20230601,"USD6K",20.00,"ZUR Zurich Blue Balanced"
453739,2160610,"R1J31QID","Regular",20230601,"USD6R",25.00,"ZUR Zurich Blue Performance"
453739,2160610,"R1J31QID","Regular",20230601,"USD6T",25.00,"ZUR Zurich Blue Adventurous"
453739,2163188,"YYUAKLEH","Regular",20230801,"B0170",30.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,2163188,"YYUAKLEH","Regular",20230801,"USD6K",20.00,"ZUR Zurich Blue Balanced"
453739,2163188,"YYUAKLEH","Regular",20230801,"USD6R",25.00,"ZUR Zurich Blue Performance"
453739,2163188,"YYUAKLEH","Regular",20230801,"USD6T",25.00,"ZUR Zurich Blue Adventurous"
453739,2173921,"A026341537","Single",20150625,"FVUSD",100.00,"Franklin Mutual European Fund A Acc"
453739,2173921,"A026341537","Regular",20131216,"X6USD",50.00,"HSBC World Selection Portfolio 4 USD LU0447611228"
453739,2173921,"A026341537","Regular",20131216,"Y6USD",50.00,"HSBC World Selection Portfolio 5 USD LU0447611657"
453739,2174154,"","Single",20220913,"CVUSD",10.00,"Morgan Stanley Sust Emerging Markets Equity Fund"
453739,2174154,"","Single",20220913,"F9GBP",20.00,"JPM Global Equity Income C Hedged"
453739,2174154,"","Single",20220913,"MRUSD",15.00,"Ninety One GSF Globl Strtgic Equity A LU0345770993"
453739,2174154,"","Single",20220913,"Q2USD",20.00,"Franklin Templeton Mutual Global Discovery Fund A"
453739,2174154,"","Single",20220913,"USDYH",23.00,"Threadneedle (Lux) Global Select"
453739,2174154,"","Single",20220913,"VAGBP",12.00,"Invesco Global Smaller Companies Fund (UK) Acc"
453739,2176921,"A021046321","Single",20150409,"USDFK",100.00,"HSBC GIF Managed Solutions Asia Focussed Income"
453739,2177668,"A030205595","Regular",20140508,"W6USD",100.00,"HSBC World Selection Portfolio 3 USD LU0447610923"
453739,2177668,"A030205595","Single",20140501,"W6USD",100.00,"HSBC World Selection Portfolio 3 USD LU0447610923"
453739,2180766,"A011528320","Regular",20140630,"W6USD",100.00,"HSBC World Selection Portfolio 3 USD LU0447610923"
453739,2180774,"A011528320","Regular",20140630,"W6USD",100.00,"HSBC World Selection Portfolio 3 USD LU0447610923"
453739,2180791,"A011528320","Regular",20140630,"W6USD",100.00,"HSBC World Selection Portfolio 3 USD LU0447610923"
453739,5226083,"PICAD03/06","Regular",20111104,"ADUSD",40.00,"Adventurous Fund - Currency US Dollars"
453739,5226083,"PICAD03/06","Regular",20111104,"BCUSD",20.00,"Blue Chip Fund - Currency US Dollars"
453739,5226083,"PICAD03/06","Regular",20111104,"PFUSD",40.00,"Performance Fund - Currency US Dollars"
453739,5234752,"GBE154/07","Regular",20131212,"ADUSD",40.00,"Adventurous Fund - Currency US Dollars"
453739,5234752,"GBE154/07","Regular",20131212,"BCUSD",20.00,"Blue Chip Fund - Currency US Dollars"
453739,5234752,"GBE154/07","Regular",20131212,"PFUSD",40.00,"Performance Fund - Currency US Dollars"
453739,5235198,"PIC198/07","Regular",20171222,"CTUSD",20.00,"Cautious Fund - Currency US Dollar"
453739,5235198,"PIC198/07","Regular",20171222,"I3USD",20.00,"ZI Emirates Global Sukuk A Acc"
453739,5235198,"PIC198/07","Regular",20171222,"USDGW",20.00,"ZI PineBridge Global Strategic Income"
453739,5235198,"PIC198/07","Regular",20171222,"X7USD",20.00,"ZI Loomis Sayles Multisector Income Fund R/E"
453739,5235198,"PIC198/07","Regular",20171222,"6CUSD",5.00,"ZI Franklin Templeton Gold and Precious Metals $"
453739,5235198,"PIC198/07","Regular",20171222,"7TUSD",15.00,"ZI Emirates MENA Fixed Income"
453739,5239339,"PIC250/07","Regular",20210514,"HFUSD",40.00,"ZI HSBC Islamic Global Equity Index AC"
453739,5239339,"PIC250/07","Regular",20210514,"I3USD",15.00,"ZI Emirates Global Sukuk A Acc"
453739,5239339,"PIC250/07","Regular",20210514,"USDFX",15.00,"ZI Franklin Global Sukuk"
453739,5239339,"PIC250/07","Regular",20210514,"7VUSD",30.00,"ZI Emirates Emerging Markets Equity"
453739,5252873,"V30081","Regular",20180115,"USDDJ",10.00,"ZI Canaccord Genuity Balanced Fund"
453739,5252873,"V30081","Regular",20180115,"USDDL",35.00,"ZI Canaccord Genuity Opportunity Fund"
453739,5252873,"V30081","Regular",20180115,"USDFT",30.00,"ZI Fidelity Funds Global Dividend"
453739,5252873,"V30081","Regular",20180115,"USDKV",25.00,"ZI Fidelity World $"
453739,5255602,"PIC307/08","Regular",20210712,"ADUSD",40.00,"Adventurous Fund - Currency US Dollars"
453739,5255602,"PIC307/08","Regular",20210712,"PFUSD",20.00,"Performance Fund - Currency US Dollars"
453739,5255602,"PIC307/08","Regular",20210712,"USDMW",40.00,"ZI Invesco Developed Small and Mid-Cap Equity $"
453739,5256268,"","Regular",20181113,"BPUSD",20.00,"ZI BlackRock GF Global Governnment Bond $A2"
453739,5256268,"","Regular",20181113,"EMUSD",30.00,"ZI Fidelity Pacific Fund A$"
453739,5256268,"","Regular",20181113,"USDGE",30.00,"ZI Jupiter Global Funds European Growth."
453739,5256268,"","Regular",20181113,"USDXU",20.00,"ZI Threadneedle (Lux) American"
453739,5259712,"PIC398/08","Regular",20210928,"BCUSD",30.00,"Blue Chip Fund - Currency US Dollars"
453739,5259712,"PIC398/08","Regular",20210928,"CTUSD",30.00,"Cautious Fund - Currency US Dollar"
453739,5259712,"PIC398/08","Regular",20210928,"DFUSD",20.00,"Defensive Fund - Currency US Dollar"
453739,5259712,"PIC398/08","Regular",20210928,"PFUSD",20.00,"Performance Fund - Currency US Dollars"
453739,5263604,"","Regular",20190603,"BNUSD",15.00,"ZI CT Dollar Bond"
453739,5263604,"","Regular",20190603,"FOUSD",5.00,"ZI FSSA Asian Equity Plus ACC"
453739,5263604,"","Regular",20190603,"GMUSD",8.00,"ZI Ninety One GSF Global Strategic Equity Fund"
453739,5263604,"","Regular",20190603,"USDDK",50.00,"ZI Canaccord Genuity Growth Fund"
453739,5263604,"","Regular",20190603,"USDFT",7.00,"ZI Fidelity Funds Global Dividend"
453739,5263604,"","Regular",20190603,"USDGD",15.00,"ZI Jupiter Global Funds Dynamic Bond"
453739,5267197,"PIC570/09","Regular",20170710,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,5267197,"PIC570/09","Regular",20170710,"BCUSD",20.00,"Blue Chip Fund - Currency US Dollars"
453739,5267197,"PIC570/09","Regular",20170710,"CUUSD",10.00,"ZI Morgan Stanley Sustainable Emerging Mkts Equity"
453739,5267197,"PIC570/09","Regular",20170710,"FIUSD",5.00,"ZI BlackRock Gbl Fnds Systematic Gbl Eqty High Inc"
453739,5267197,"PIC570/09","Regular",20170710,"USDGE",25.00,"ZI Jupiter Global Funds European Growth."
453739,5267197,"PIC570/09","Regular",20170710,"6FUSD",10.00,"ZI Jupiter Global Fund India Select L"
453739,5312230,"SEF12320","Regular",20190718,"SEUSD",10.00,"Money Market Fund - Currency US Dollars"
453739,5312230,"SEF12320","Regular",20190718,"TDUSD",15.00,"ZI Templeton Global Total Return Fund"
453739,5312230,"SEF12320","Regular",20190718,"USDFT",20.00,"ZI Fidelity Funds Global Dividend"
453739,5312230,"SEF12320","Regular",20190718,"USDKV",20.00,"ZI Fidelity World $"
453739,5312230,"SEF12320","Regular",20190718,"USDMF",15.00,"ZI Franklin High Yield $"
453739,5312230,"SEF12320","Regular",20190718,"Z9USD",20.00,"ZI Jupiter Merlin Int. Equities Portfolio USD"
453739,5710473,"","Regular",20120403,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,5714946,"GIB19/07","Regular",20070601,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,5716158,"ACM60/07","Regular",20070901,"GFUSD",100.00,"Guaranteed Fund - Currency US Dollars"
453739,5720632,"F17992","Regular",20040701,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,5724047,"8901635","Regular",20120403,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6201993,"","Regular",20191201,"USDDL",80.00,"ZI Canaccord Genuity Opportunity Fund"
453739,6201993,"","Regular",20191201,"USDKP",20.00,"ZI Pimco GIS Investment Grade Credit $"
453739,6202553,"","Regular",20170901,"ADUSD",70.00,"Adventurous Fund - Currency US Dollars"
453739,6202553,"","Regular",20170901,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6202685,"","Regular",20170701,"ADUSD",70.00,"Adventurous Fund - Currency US Dollars"
453739,6202685,"","Regular",20170701,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6203044,"A020464186","Regular",20170908,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6203304,"","Regular",20210601,"USD6F",35.00,"ZME US dollar Adventurous"
453739,6203304,"","Regular",20210601,"USD6G",35.00,"ZME US dollar Blue Chip"
453739,6203304,"","Regular",20210601,"USD6L",30.00,"ZME US dollar Performance"
453739,6203674,"","Regular",20181001,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6203748,"","Regular",20220425,"B0203",100.00,"SPS Medium Risk Portfolio"
453739,6203784,"","Regular",20210601,"USD6G",100.00,"ZME US dollar Blue Chip"
453739,6205181,"","Regular",20181001,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6206871,"","Regular",20191101,"ADUSD",50.00,"Adventurous Fund - Currency US Dollars"
453739,6206871,"","Regular",20191101,"BCUSD",50.00,"Blue Chip Fund - Currency US Dollars"
453739,6207313,"","Regular",20210801,"B0158",30.00,"Zurich Allocated Passive 60% Equity Fund - GBP"
453739,6207313,"","Regular",20210801,"9GGBP",30.00,"ZME Sterling Blue Chip"
453739,6207313,"","Regular",20210801,"9HGBP",20.00,"ZME Sterling Cautious"
453739,6207313,"","Regular",20210801,"9LGBP",20.00,"ZME Sterling Performance"
453739,6207376,"","Regular",20160901,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6207670,"","Regular",20160701,"BCUSD",30.00,"Blue Chip Fund - Currency US Dollars"
453739,6207670,"","Regular",20160701,"DFUSD",30.00,"Defensive Fund - Currency US Dollar"
453739,6207670,"","Regular",20160701,"TCUSD",20.00,"ZI Franklin US Government fund"
453739,6207670,"","Regular",20160701,"USDFU",20.00,"ZI Fidelity Funds America"
453739,6208135,"","Regular",20230801,"ADGBP",25.00,"Adventurous Fund - Currency Sterling"
453739,6208135,"","Regular",20230801,"BCGBP",20.00,"Blue Chip Fund - Currency Sterling"
453739,6208135,"","Regular",20230801,"CAGBP",15.00,"Cautious Fund - Currency Sterling"
453739,6208135,"","Regular",20230801,"GMGBP",20.00,"ZI CT Global Select."
453739,6208135,"","Regular",20230801,"PFGBP",20.00,"Performance Fund - Currency Sterling"
453739,6211944,"","Regular",20181201,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6212984,"","Regular",20200604,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6213198,"","Regular",20160701,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6213198,"","Regular",20160701,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6213198,"","Regular",20160701,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6215123,"","Regular",20160801,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6215123,"","Regular",20160801,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6215123,"","Regular",20160801,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6217031,"","Regular",20181201,"USDDL",100.00,"ZI Canaccord Genuity Opportunity Fund"
453739,6217758,"","Regular",20211101,"B0169",30.00,"Zurich Allocated Passive 80% Equity Fund - USD"
453739,6217758,"","Regular",20211101,"USD6F",20.00,"ZME US dollar Adventurous"
453739,6217758,"","Regular",20211101,"USD6G",20.00,"ZME US dollar Blue Chip"
453739,6217758,"","Regular",20211101,"USD6L",30.00,"ZME US dollar Performance"
453739,6217920,"","Regular",20211201,"B0169",30.00,"Zurich Allocated Passive 80% Equity Fund - USD"
453739,6217920,"","Regular",20211201,"USD6F",20.00,"ZME US dollar Adventurous"
453739,6217920,"","Regular",20211201,"USD6G",20.00,"ZME US dollar Blue Chip"
453739,6217920,"","Regular",20211201,"USD6L",30.00,"ZME US dollar Performance"
453739,6218913,"CIB332-009","Regular",20191112,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6218913,"CIB332-009","Regular",20191112,"HCUSD",30.00,"ZI HSBC Indian Equity fund"
453739,6218913,"CIB332-009","Regular",20191112,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6219358,"DVA1385916","Regular",20200604,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6219475,"","Regular",20200201,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6219528,"N257203","Regular",20230221,"ADUSD",20.00,"Adventurous Fund - Currency US Dollars"
453739,6219528,"N257203","Regular",20230221,"GMUSD",20.00,"ZI Ninety One GSF Global Strategic Equity Fund"
453739,6219528,"N257203","Regular",20230221,"USDKV",25.00,"ZI Fidelity World $"
453739,6219528,"N257203","Regular",20230221,"USDYJ",20.00,"ZI Threadneedle (Lux) Global Select"
453739,6219528,"N257203","Regular",20230221,"7QUSD",15.00,"ZI Invesco Global Equity Income"
453739,6220284,"","Regular",20200317,"USDDL",70.00,"ZI Canaccord Genuity Opportunity Fund"
453739,6220284,"","Regular",20200317,"USDKP",30.00,"ZI Pimco GIS Investment Grade Credit $"
453739,6220879,"","Regular",20160901,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6220879,"","Regular",20160901,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6220879,"","Regular",20160901,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6224386,"","Regular",20160901,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6225995,"","Regular",20171101,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6236343,"","Regular",20171201,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6236724,"","Regular",20180406,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6238478,"","Regular",20190301,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6239812,"DVA13977/1","Regular",20170804,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6242394,"","Regular",20190401,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6244576,"","Regular",20210806,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6244582,"","Regular",20170222,"USDRV",100.00,"ZI Fidelity Global Multi Asset Tactical Defensive"
453739,6246801,"","Regular",20161201,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6247637,"","Regular",20161201,"PFUSD",100.00,"Performance Fund - Currency US Dollars"
453739,6248374,"","Regular",20180808,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6248537,"N271527","Regular",20210209,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6248971,"A041073818","Regular",20190606,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6249968,"","Regular",20220425,"ADUSD",40.00,"Adventurous Fund - Currency US Dollars"
453739,6249968,"","Regular",20220425,"PFUSD",20.00,"Performance Fund - Currency US Dollars"
453739,6249968,"","Regular",20220425,"USDMW",40.00,"ZI Invesco Developed Small and Mid-Cap Equity $"
453739,6251653,"","Regular",20190601,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6253484,"","Regular",20210707,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6255256,"","Regular",20160101,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6259326,"","Regular",20181106,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6261622,"","Regular",20180806,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6261825,"","Regular",20160201,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6261825,"","Regular",20160201,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6261825,"","Regular",20160201,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6261914,"","Regular",20160201,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6261914,"","Regular",20160201,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6261914,"","Regular",20160201,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6264494,"","Regular",20221018,"BCUSD",30.00,"Blue Chip Fund - Currency US Dollars"
453739,6264494,"","Regular",20221018,"B0168",30.00,"Zurich Allocated Passive 60% Equity Fund - USD"
453739,6264494,"","Regular",20221018,"CTUSD",20.00,"Cautious Fund - Currency US Dollar"
453739,6264494,"","Regular",20221018,"PFUSD",20.00,"Performance Fund - Currency US Dollars"
453739,6265121,"","Regular",20170201,"GAUSD",25.00,"ZI Schroder ISF Global Inflation Linked Bond US$"
453739,6265121,"","Regular",20170201,"G3USD",25.00,"ZI Ninety One GSF Invt Grade Corp Bond A Acc Gross"
453739,6265121,"","Regular",20170201,"USDFU",25.00,"ZI Fidelity Funds America"
453739,6265121,"","Regular",20170201,"6FUSD",25.00,"ZI Jupiter Global Fund India Select L"
453739,6265295,"","Regular",20180206,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6266156,"","Regular",20230401,"B0170",30.00,"Zurich Allocated Passive 100% Equity Fund - USD"
453739,6266156,"","Regular",20230401,"USD6K",20.00,"ZUR Zurich Blue Balanced"
453739,6266156,"","Regular",20230401,"USD6R",25.00,"ZUR Zurich Blue Performance"
453739,6266156,"","Regular",20230401,"USD6T",25.00,"ZUR Zurich Blue Adventurous"
453739,6267582,"DVA14151/7","Regular",20170401,"ATUSD",50.00,"ZI abrdn SICAV I Global Innovation Equity"
453739,6267582,"DVA14151/7","Regular",20170401,"USDDK",50.00,"ZI Canaccord Genuity Growth Fund"
453739,6267700,"","Regular",20160301,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6267700,"","Regular",20160301,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6267700,"","Regular",20160301,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6268773,"","Regular",20180306,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6269109,"","Regular",20170706,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6270243,"","Regular",20230907,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6270518,"","Regular",20221205,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6274636,"","Regular",20211007,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6276946,"","Regular",20160301,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6276946,"","Regular",20160301,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6276946,"","Regular",20160301,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6278207,"","Regular",20180801,"USDFT",20.00,"ZI Fidelity Funds Global Dividend"
453739,6278207,"","Regular",20180801,"USDKV",20.00,"ZI Fidelity World $"
453739,6278207,"","Regular",20180801,"USDNX",10.00,"ZI Templeton Emerging Markets Bond $"
453739,6278207,"","Regular",20180801,"Z9USD",20.00,"ZI Jupiter Merlin Int. Equities Portfolio USD"
453739,6278207,"","Regular",20180801,"6FUSD",30.00,"ZI Jupiter Global Fund India Select L"
453739,6278389,"","Regular",20191205,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6279848,"","Regular",20160601,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6279848,"","Regular",20160601,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6279848,"","Regular",20160601,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6279872,"","Regular",20160601,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6279872,"","Regular",20160601,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6279872,"","Regular",20160601,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6281648,"N253157","Regular",20230926,"GAUSD",20.00,"ZI Schroder ISF Global Inflation Linked Bond US$"
453739,6281648,"N253157","Regular",20230926,"GMUSD",20.00,"ZI Ninety One GSF Global Strategic Equity Fund"
453739,6281648,"N253157","Regular",20230926,"USDKV",25.00,"ZI Fidelity World $"
453739,6281648,"N253157","Regular",20230926,"USDYJ",20.00,"ZI Threadneedle (Lux) Global Select"
453739,6281648,"N253157","Regular",20230926,"7QUSD",15.00,"ZI Invesco Global Equity Income"
453739,6282122,"","Regular",20170401,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6282369,"","Regular",20160601,"ADUSD",30.00,"Adventurous Fund - Currency US Dollars"
453739,6282369,"","Regular",20160601,"BCUSD",40.00,"Blue Chip Fund - Currency US Dollars"
453739,6282369,"","Regular",20160601,"PFUSD",30.00,"Performance Fund - Currency US Dollars"
453739,6283390,"","Regular",20201215,"K2USD",10.00,"ZI BGF World Technology Fund A2 Acc USD"
453739,6283390,"","Regular",20201215,"ONUSD",5.00,"ZI Blackrock Glbl World Health Science A2 -Acc"
453739,6283390,"","Regular",20201215,"SEUSD",35.00,"Money Market Fund - Currency US Dollars"
453739,6283390,"","Regular",20201215,"USDGP",10.00,"ZI PineBridge Japan Small Cap Equity"
453739,6283390,"","Regular",20201215,"USDJP",20.00,"ZI Franklin India $"
453739,6283390,"","Regular",20201215,"6FUSD",20.00,"ZI Jupiter Global Fund India Select L"
453739,6290419,"","Regular",20170601,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6291549,"","Regular",20191001,"USDDL",60.00,"ZI Canaccord Genuity Opportunity Fund"
453739,6291549,"","Regular",20191001,"USDKP",40.00,"ZI Pimco GIS Investment Grade Credit $"
453739,6291638,"","Regular",20191001,"USDDL",60.00,"ZI Canaccord Genuity Opportunity Fund"
453739,6291638,"","Regular",20191001,"USDKP",40.00,"ZI Pimco GIS Investment Grade Credit $"
453739,6296432,"DVA13855","Regular",20210604,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6297148,"","Regular",20191001,"USDDL",70.00,"ZI Canaccord Genuity Opportunity Fund"
453739,6297148,"","Regular",20191001,"USDKP",30.00,"ZI Pimco GIS Investment Grade Credit $"
453739,6299653,"A030268924","Regular",20201008,"SEUSD",100.00,"Money Market Fund - Currency US Dollars"
453739,6304749,"MON07/374","Regular",20190806,"SEGBP",100.00,"Money Market Fund - Currency Sterling"
453739,6306585,"N237137","Regular",20141001,"X7USD",100.00,"ZI Loomis Sayles Multisector Income Fund R/E"
453739,6308574,"CIB388/08","Regular",20100301,"BCUSD",100.00,"Blue Chip Fund - Currency US Dollars"
453739,6310030,"A016F9629","Regular",20230530,"GAUSD",20.00,"ZI Schroder ISF Global Inflation Linked Bond US$"
453739,6310030,"A016F9629","Regular",20230530,"GMUSD",20.00,"ZI Ninety One GSF Global Strategic Equity Fund"
453739,6310030,"A016F9629","Regular",20230530,"USDKV",25.00,"ZI Fidelity World $"
453739,6310030,"A016F9629","Regular",20230530,"USDYJ",20.00,"ZI Threadneedle (Lux) Global Select"
