"Run Number","Policy Number","Policy Reference","Client Number","Benefit Code","Benefit Description","Benefit Status Code","Benefit Status Description","Benefit Basis Code","Benefit Basis Description","Benefit Currency","Benefit Amount"
453739,3058148,"","1000915747","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3058148,"","1000915747","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",2567.52
453739,3060155,"","1000802753","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3060155,"","1000802753","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3060155,"","1000802753","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3060450,"A025761149","1000510656","010","Life Cover","A","In-Force","E","Exclusive","AED",3000000.00
453739,3062382,"","1000893352","010","Life Cover","A","In-Force","E","Exclusive","AED",6809960.00
453739,3062382,"","1000893354","010","Life Cover","A","In-Force","E","Exclusive","AED",6809960.00
453739,3062382,"","1000893352","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",6809960.00
453739,3062382,"","1000893354","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",6809960.00
453739,3062390,"","1000893352","010","Life Cover","A","In-Force","E","Exclusive","AED",2253246.00
453739,3062390,"","1000893354","010","Life Cover","A","In-Force","E","Exclusive","AED",2253246.00
453739,3062701,"","1000909236","010","Life Cover","A","In-Force","E","Exclusive","USD",608204.00
453739,3062825,"","1000835033","010","Life Cover","A","In-Force","E","Exclusive","USD",177000.00
453739,3062825,"","1000835033","020","Critical Illness","A","In-Force","E","Exclusive","USD",177000.00
453739,3062825,"","1000835033","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",177000.00
453739,3063763,"","1000741171","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3063763,"","1000741171","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",568.09
453739,3066832,"","1000869729","010","Life Cover","A","In-Force","E","Exclusive","GBP",450000.00
453739,3069838,"","1000739256","010","Life Cover","A","In-Force","E","Exclusive","USD",1000000.00
453739,3069838,"","1000739256","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
453739,3069838,"","1000739256","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3069879,"","1000278086","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3069879,"","1000278086","020","Critical Illness","A","In-Force","E","Exclusive","USD",375000.00
453739,3100717,"A011673803","1001106519","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3100717,"A011673803","1001106519","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3100717,"A011673803","1001106519","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",300000.00
453739,3100717,"A011673803","1001106519","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",4625.16
453739,3101495,"","1000920199","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3101495,"","1000920199","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
453739,3101657,"","1000726007","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3101657,"","1000726007","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3101657,"","1000726007","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",200000.00
453739,3101878,"","1000920473","010","Life Cover","A","In-Force","E","Exclusive","GBP",200000.00
453739,3101878,"","1000920473","020","Critical Illness","A","In-Force","E","Exclusive","GBP",100000.00
453739,3103855,"","1001021206","010","Life Cover","A","In-Force","E","Exclusive","AED",674990.00
453739,3103855,"","1001021206","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",674990.00
453739,3103938,"","1000766247","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3103938,"","1000766247","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3103938,"","1000766247","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3104789,"","1001022246","010","Life Cover","A","In-Force","E","Exclusive","AED",1193164.00
453739,3104789,"","1001022246","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",1193164.00
453739,3105787,"","1001074413","010","Life Cover","A","In-Force","E","Exclusive","USD",150000.00
453739,3105787,"","1001074413","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3105787,"","1001074413","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3105949,"","1001074415","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3105949,"","1001074415","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3105949,"","1001074415","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",200000.00
453739,3106475,"","1001236704","010","Life Cover","A","In-Force","E","Exclusive","USD",1000000.00
453739,3106475,"","1001236704","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3106611,"","1001176470","010","Life Cover","A","In-Force","E","Exclusive","USD",790191.00
453739,3106611,"","1001176470","020","Critical Illness","A","In-Force","E","Exclusive","USD",408720.00
453739,3106611,"","1001176470","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",408720.00
453739,3106668,"","1001023889","010","Life Cover","A","In-Force","E","Exclusive","AED",2912748.00
453739,3106668,"","1001023889","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",2912748.00
453739,3106856,"","1000962221","010","Life Cover","A","In-Force","E","Exclusive","EUR",150000.00
453739,3106856,"","1000962221","020","Critical Illness","A","In-Force","E","Exclusive","EUR",150000.00
453739,3106856,"","1000962221","080","Permanent Total Disability","A","In-Force","E","Exclusive","EUR",150000.00
453739,3108768,"","1001003847","010","Life Cover","A","In-Force","E","Exclusive","AED",1331866.00
453739,3108768,"","1001003847","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",1331866.00
453739,3110030,"","1001115388","010","Life Cover","A","In-Force","E","Exclusive","USD",400000.00
453739,3112970,"","1001023889","010","Life Cover","A","In-Force","E","Exclusive","AED",2912748.00
453739,3112970,"","1001023889","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",2912748.00
453739,3113353,"","1000898420","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3113353,"","1000898420","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3113561,"","1000975781","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3113561,"","1000975781","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3113561,"","1000975781","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3114059,"","1000934109","010","Life Cover","A","In-Force","E","Exclusive","AED",2433105.00
453739,3114059,"","1000938333","010","Life Cover","A","In-Force","E","Exclusive","AED",2433105.00
453739,3114059,"","1000934109","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",2433105.00
453739,3114059,"","1000938333","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",2433105.00
453739,3115122,"","1000761434","010","Life Cover","A","In-Force","E","Exclusive","USD",110000.00
453739,3115122,"","1000761434","020","Critical Illness","A","In-Force","E","Exclusive","USD",50000.00
453739,3115227,"","1000975780","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3115227,"","1000975780","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3115227,"","1000975780","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3115631,"","1000931660","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3115631,"","1000931660","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3115631,"","1000931660","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",1153.56
453739,3116620,"","1000891223","010","Life Cover","A","In-Force","E","Exclusive","GBP",100000.00
453739,3116620,"","1000891223","020","Critical Illness","E","Expired","E","Exclusive","GBP",0.00
453739,3116620,"","1000891223","080","Permanent Total Disability","A","In-Force","E","Exclusive","GBP",100000.00
453739,3117015,"","1001030310","010","Life Cover","A","In-Force","E","Exclusive","AED",1569041.00
453739,3117015,"","1001030310","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",1569041.00
453739,3119301,"","1000934374","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3119301,"","1000934374","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
453739,3119301,"","1000934374","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3119351,"","1000934933","010","Life Cover","A","In-Force","E","Exclusive","USD",550000.00
453739,3119351,"","1000934935","010","Life Cover","A","In-Force","E","Exclusive","USD",550000.00
453739,3119351,"","1000934933","020","Critical Illness","A","In-Force","E","Exclusive","USD",550000.00
453739,3119351,"","1000934935","020","Critical Illness","A","In-Force","E","Exclusive","USD",550000.00
453739,3120214,"DWMHZ9OB","1001244773","010","Life Cover","A","In-Force","E","Exclusive","USD",810000.00
453739,3121348,"","1000936745","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3121470,"","1000936930","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3121470,"","1000936930","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
453739,3122022,"KDEU7NM8","1001245965","010","Life Cover","A","In-Force","E","Exclusive","USD",1000000.00
453739,3122022,"KDEU7NM8","1001245965","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3123245,"","1001124242","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3123245,"","1001124242","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",1299.24
453739,3123335,"","1000689107","010","Life Cover","A","In-Force","E","Exclusive","GBP",1000000.00
453739,3123335,"","1000689107","020","Critical Illness","A","In-Force","E","Exclusive","GBP",250000.00
453739,3123592,"238CXOXP","1001246854","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3123592,"238CXOXP","1001246854","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3123592,"238CXOXP","1001246854","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3123821,"","1000938823","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3123821,"","1000938823","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3123928,"","1000938958","010","Life Cover","A","In-Force","E","Exclusive","USD",600000.00
453739,3123928,"","1000938958","020","Critical Illness","A","In-Force","E","Exclusive","USD",600000.00
453739,3123928,"","1000938958","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",600000.00
453739,3123995,"","1000938959","010","Life Cover","A","In-Force","E","Exclusive","USD",200000.00
453739,3123995,"","1000938959","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3124610,"1OS8DY92","1001247541","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3124610,"1OS8DY92","1001247541","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3125289,"","1000931667","010","Life Cover","A","In-Force","E","Exclusive","USD",400000.00
453739,3125289,"","1000931667","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3126617,"","1000940591","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3126617,"","1000940591","020","Critical Illness","A","In-Force","E","Exclusive","USD",350000.00
453739,3129768,"2LJP02RY","1001254185","010","Life Cover","A","In-Force","E","Exclusive","USD",200000.00
453739,3129768,"2LJP02RY","1001254185","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3130896,"","1000893021","010","Life Cover","A","In-Force","E","Exclusive","USD",1500000.00
453739,3130896,"","1000893021","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3130896,"","1000893021","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3130918,"","1000893022","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3130918,"","1000893022","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3131692,"GN41IQNQ","1001255597","010","Life Cover","A","In-Force","E","Exclusive","USD",600000.00
453739,3131692,"GN41IQNQ","1001255598","010","Life Cover","A","In-Force","E","Exclusive","USD",600000.00
453739,3131692,"GN41IQNQ","1001255597","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3131692,"GN41IQNQ","1001255598","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3133012,"","1001115401","010","Life Cover","A","In-Force","E","Exclusive","USD",300000.00
453739,3139168,"","1001032632","010","Life Cover","A","In-Force","E","Exclusive","USD",600000.00
453739,3139271,"","1000952167","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3139271,"","1000952167","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3143651,"","1000929048","010","Life Cover","A","In-Force","E","Exclusive","USD",531000.00
453739,3143651,"","1000929048","020","Critical Illness","A","In-Force","E","Exclusive","USD",300000.00
453739,3144308,"","1001157427","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3144308,"","1001157427","020","Critical Illness","A","In-Force","E","Exclusive","USD",500000.00
453739,3144308,"","1001157427","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3147070,"","1000256311","010","Life Cover","A","In-Force","E","Exclusive","USD",1000000.00
453739,3147070,"","1000256311","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3147853,"","1000621820","010","Life Cover","A","In-Force","E","Exclusive","USD",100000.00
453739,3147853,"","1000621820","020","Critical Illness","A","In-Force","E","Exclusive","USD",50000.00
453739,3147853,"","1000621820","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",50000.00
453739,3147853,"","1000621820","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",975.12
453739,3148789,"NZX7P0ZK","1001266218","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3148789,"NZX7P0ZK","1001266218","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3151030,"2LJ5B82D","1001268300","010","Life Cover","A","In-Force","E","Exclusive","GBP",200000.00
453739,3151030,"2LJ5B82D","1001268301","010","Life Cover","A","In-Force","E","Exclusive","GBP",200000.00
453739,3151264,"","1001054655","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3151264,"","1001054655","020","Critical Illness","A","In-Force","E","Exclusive","USD",350000.00
453739,3151264,"","1001054655","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",350000.00
453739,3151999,"","1000914413","010","Life Cover","A","In-Force","E","Exclusive","USD",625000.00
453739,3151999,"","1000914413","020","Critical Illness","A","In-Force","E","Exclusive","USD",625000.00
453739,3151999,"","1000914413","090","Waiver of Premium","A","In-Force","E","Exclusive","USD",29483.88
453739,3156184,"","1000879478","010","Life Cover","A","In-Force","E","Exclusive","USD",600000.00
453739,3156184,"","1000879478","020","Critical Illness","A","In-Force","E","Exclusive","USD",350000.00
453739,3156770,"","1000967895","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3156770,"","1000967895","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3157130,"","1000920476","010","Life Cover","A","In-Force","E","Exclusive","GBP",200000.00
453739,3157130,"","1000920476","020","Critical Illness","A","In-Force","E","Exclusive","GBP",100000.00
453739,3159275,"","1001206331","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3159275,"","1001206331","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3160182,"","1001070983","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3160182,"","1001070983","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3160182,"","1001070983","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3160786,"","1001070984","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3160786,"","1001070984","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3160786,"","1001070984","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",500000.00
453739,3161245,"M98RFZ7N","1001207156","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3161245,"M98RFZ7N","1001207156","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3161404,"","1000947916","010","Life Cover","A","In-Force","E","Exclusive","USD",400000.00
453739,3162004,"CZNQTIX8","1001207544","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3162004,"CZNQTIX8","1001207544","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3163474,"","1000973643","010","Life Cover","A","In-Force","E","Exclusive","USD",351715.00
453739,3163583,"","1001109146","010","Life Cover","A","In-Force","E","Exclusive","GBP",240000.00
453739,3163583,"","1001109147","010","Life Cover","A","In-Force","E","Exclusive","GBP",240000.00
453739,3164423,"","1001208963","010","Life Cover","A","In-Force","E","Exclusive","USD",400000.00
453739,3164423,"","1001208963","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3164423,"","1001208963","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",400000.00
453739,3167121,"","1001151851","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3167121,"","1001151851","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3167130,"","1000963597","010","Life Cover","A","In-Force","E","Exclusive","USD",725000.00
453739,3169263,"","1001211310","240","Funeral Coverage","A","In-Force","E","Exclusive","USD",5000.00
453739,3169263,"","1001211310","246","Child's Critical Illness","A","In-Force","E","Exclusive","USD",15000.00
453739,3169263,"","1001211310","247","Comprehensive Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3173861,"","1000983033","010","Life Cover","A","In-Force","E","Exclusive","USD",350000.00
453739,3173861,"","1000983033","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3175857,"","1001015415","010","Life Cover","A","In-Force","E","Exclusive","USD",571000.00
453739,3175857,"","1001015415","020","Critical Illness","A","In-Force","E","Exclusive","USD",310000.00
453739,3175857,"","1001015415","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",571000.00
453739,3175981,"","1000613673","010","Life Cover","A","In-Force","E","Exclusive","USD",571000.00
453739,3175981,"","1000613673","020","Critical Illness","A","In-Force","E","Exclusive","USD",310000.00
453739,3175981,"","1000613673","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",571000.00
453739,3176349,"","1001158125","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3176349,"","1001158125","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3176349,"","1001158125","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3179249,"","1000987992","010","Life Cover","A","In-Force","E","Exclusive","EUR",1000000.00
453739,3180212,"","1000835986","010","Life Cover","A","In-Force","E","Exclusive","USD",300000.00
453739,3182313,"","1001091041","010","Life Cover","A","In-Force","E","Exclusive","USD",380000.00
453739,3182313,"","1001091041","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3182323,"","1001161832","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3182323,"","1001161832","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3183240,"","1000229658","010","Life Cover","A","In-Force","E","Exclusive","AED",5450000.00
453739,3183240,"","1000229658","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",5450000.00
453739,3183647,"","1001046556","010","Life Cover","A","In-Force","E","Exclusive","USD",650000.00
453739,3183647,"","1001046556","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3183753,"","1001162654","010","Life Cover","A","In-Force","E","Exclusive","USD",300000.00
453739,3183753,"","1001162654","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3183753,"","1001162654","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",150000.00
453739,3183787,"","1001162653","010","Life Cover","A","In-Force","E","Exclusive","USD",150000.00
453739,3183787,"","1001162653","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3183787,"","1001162653","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",150000.00
453739,3185615,"","1001102935","010","Life Cover","A","In-Force","E","Exclusive","EUR",250000.00
453739,3185615,"","1001102935","020","Critical Illness","A","In-Force","E","Exclusive","EUR",37500.00
453739,3185615,"","1001102935","080","Permanent Total Disability","A","In-Force","E","Exclusive","EUR",150000.00
453739,3186010,"","1001164007","010","Life Cover","A","In-Force","E","Exclusive","USD",500000.00
453739,3186010,"","1001164007","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3186231,"","1001164019","010","Life Cover","A","In-Force","E","Exclusive","AED",500000.00
453739,3186231,"","1001164019","020","Critical Illness","A","In-Force","E","Exclusive","AED",500000.00
453739,3186231,"","1001164019","080","Permanent Total Disability","A","In-Force","E","Exclusive","AED",500000.00
453739,3186231,"","1001164019","090","Waiver of Premium","A","In-Force","E","Exclusive","AED",1906.20
453739,3186255,"","1001164052","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3186255,"","1001164052","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3186255,"","1001164052","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3186272,"","1001164028","010","Life Cover","A","In-Force","E","Exclusive","GBP",500000.00
453739,3186272,"","1001164028","020","Critical Illness","A","In-Force","E","Exclusive","GBP",300000.00
453739,3186320,"","1001164030","010","Life Cover","A","In-Force","E","Exclusive","GBP",950000.00
453739,3186320,"","1001164030","020","Critical Illness","A","In-Force","E","Exclusive","GBP",450000.00
453739,3186328,"","1001164057","010","Life Cover","A","In-Force","E","Exclusive","USD",100000.00
453739,3186328,"","1001164057","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3186328,"","1001164057","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3187023,"","1000754035","010","Life Cover","A","In-Force","E","Exclusive","USD",150000.00
453739,3187023,"","1000754035","020","Critical Illness","A","In-Force","E","Exclusive","USD",150000.00
453739,3187023,"","1000754035","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",150000.00
453739,3187073,"","1001164252","010","Life Cover","A","In-Force","E","Exclusive","USD",400000.00
453739,3187073,"","1001164252","020","Critical Illness","A","In-Force","E","Exclusive","USD",200000.00
453739,3187073,"","1001164252","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",200000.00
453739,3187270,"","1001164341","010","Life Cover","A","In-Force","E","Exclusive","USD",100000.00
453739,3187270,"","1001164341","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3187270,"","1001164341","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3188313,"","1001165174","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3188313,"","1001165174","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3189247,"","1001224878","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3189247,"","1001224878","020","Critical Illness","A","In-Force","E","Exclusive","USD",300000.00
453739,3189255,"","1001224877","010","Life Cover","A","In-Force","E","Exclusive","USD",750000.00
453739,3189255,"","1001224877","020","Critical Illness","A","In-Force","E","Exclusive","USD",300000.00
453739,3191004,"","1001225763","010","Life Cover","A","In-Force","E","Exclusive","USD",200000.00
453739,3191004,"","1001225763","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3191004,"","1001225763","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3191013,"","1001225764","010","Life Cover","A","In-Force","E","Exclusive","USD",200000.00
453739,3191013,"","1001225764","020","Critical Illness","A","In-Force","E","Exclusive","USD",100000.00
453739,3191013,"","1001225764","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",100000.00
453739,3191372,"","1000741171","010","Life Cover","A","In-Force","","Blank","AED",790000.00
453739,3195769,"","1001170141","010","Life Cover","A","In-Force","E","Exclusive","USD",250000.00
453739,3195769,"","1001170141","020","Critical Illness","A","In-Force","E","Exclusive","USD",250000.00
453739,3195769,"","1001170141","080","Permanent Total Disability","A","In-Force","E","Exclusive","USD",250000.00
453739,3195858,"","1001014566","010","Life Cover","A","In-Force","E","Exclusive","GBP",500000.00
453739,3195858,"","1001014566","020","Critical Illness","A","In-Force","E","Exclusive","GBP",300000.00
453739,3195858,"","1001014566","080","Permanent Total Disability","A","In-Force","E","Exclusive","GBP",300000.00
453739,3197778,"","1001014566","010","Life Cover","A","In-Force","E","Exclusive","GBP",300000.00
453739,3197778,"","1001014566","020","Critical Illness","A","In-Force","E","Exclusive","GBP",200000.00
453739,5234752,"GBE154/07","1000439188","010","Life Cover","E","Expired","I","Inclusive","USD",0.00
453739,5234752,"GBE154/07","1000439189","010","Life Cover","A","In-Force","I","Inclusive","USD",500000.00
453739,5234752,"GBE154/07","1000439189","020","Critical Illness","A","In-Force","I","Inclusive","USD",100000.00
