"Run Number","Policy Number","Policy Reference","Fund Name","Fund Code","Fund Currency","Plan Currency","Fund Price","Fund Number Of Units Held","Investment Value Fund Currency","Investment Value Plan Currency","Valuation Date","Exchange Rate","Average Purchase Price","Allocation Percentage"
453739,2160610,"R1J31QID","ZUR Zurich Blue Performance","USD6R","USD","USD",1.3149,725.117,953.45,953.45,20231031,1.000000,1.4020,25.01
453739,2160610,"R1J31QID","ZUR Zurich Blue Adventurous","USD6T","USD","USD",1.4025,672.900,943.74,943.74,20231031,1.000000,1.5108,24.75
453739,2163188,"YYUAKLEH","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.5539,430.626,669.14,669.14,20231031,1.000000,1.6768,29.80
453739,2163188,"YYUAKLEH","ZUR Zurich Blue Balanced","USD6K","USD","USD",1.2543,363.959,456.51,456.51,20231031,1.000000,1.3227,20.33
453739,2163188,"YYUAKLEH","ZUR Zurich Blue Performance","USD6R","USD","USD",1.3149,428.202,563.04,563.04,20231031,1.000000,1.4053,25.08
453739,2163188,"YYUAKLEH","ZUR Zurich Blue Adventurous","USD6T","USD","USD",1.4025,396.962,556.73,556.73,20231031,1.000000,1.5159,24.79
453739,2174154,"","Morgan Stanley Sust Emerging Markets Equity Fund","CVUSD","USD","USD",38.3600,205.870,7897.17,7897.17,20231031,1.000000,37.1800,9.66
453739,2174154,"","JPM Global Equity Income C Hedged","F9GBP","GBP","USD",2.7570,4986.611,13748.08,16504.21,20231031,0.833004,2.6290,20.19
453739,2174154,"","Ninety One GSF Globl Strtgic Equity A LU0345770993","MRUSD","USD","USD",188.0900,66.717,12548.80,12548.80,20231031,1.000000,172.0800,15.35
453739,2174154,"","Franklin Templeton Mutual Global Discovery Fund A","Q2USD","USD","USD",22.4200,733.211,16438.59,16438.59,20231031,1.000000,20.8800,20.11
453739,2174154,"","Threadneedle (Lux) Global Select","USDYH","USD","USD",3.8219,5031.622,19230.35,19230.35,20231031,1.000000,3.4991,23.53
453739,2174154,"","Invesco Global Smaller Companies Fund (UK) Acc","VAGBP","GBP","USD",29.1966,260.132,7594.96,9117.55,20231031,0.833004,29.0348,11.15
453739,5239339,"PIC250/07","ZI HSBC Islamic Global Equity Index AC","HFUSD","USD","USD",4.3202,7377.945,31874.19,31874.19,20231031,1.000000,2.6972,45.89
453739,5239339,"PIC250/07","ZI Emirates Global Sukuk A Acc","I3USD","USD","USD",1.4805,7179.174,10628.76,10628.76,20231031,1.000000,1.5600,15.30
453739,5239339,"PIC250/07","ZI Franklin Global Sukuk","USDFX","USD","USD",1.2863,8350.639,10741.42,10741.42,20231031,1.000000,1.3387,15.46
453739,5239339,"PIC250/07","ZI Emirates Emerging Markets Equity","7VUSD","USD","USD",0.8473,19143.741,16220.49,16220.49,20231031,1.000000,1.2166,23.35
453739,5255602,"PIC307/08","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,17952.623,113713.70,113713.70,20231031,1.000000,4.7884,41.19
453739,5255602,"PIC307/08","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,7186.559,59612.50,59612.50,20231031,1.000000,5.9725,21.59
453739,5255602,"PIC307/08","ZI Invesco Developed Small and Mid-Cap Equity $","USDMW","USD","USD",1.5582,65926.182,102726.17,102726.17,20231031,1.000000,2.1120,37.21
453739,5256268,"","ZI BlackRock GF Global Governnment Bond $A2","BPUSD","USD","USD",1.4910,12655.140,18868.81,18868.81,20231031,1.000000,1.6624,11.26
453739,5256268,"","ZI Fidelity Pacific Fund A$","EMUSD","USD","USD",1.4060,18273.660,25692.76,25692.76,20231031,1.000000,1.5175,15.33
453739,5256268,"","ZI Emirates NBD Active Managed Fund B Class","K4USD","USD","USD",1.2657,12789.134,16187.20,16187.20,20231031,1.000000,1.2849,9.66
453739,5256268,"","ZI BlackRock Global Funds World Mining","MGUSD","USD","USD",2.3596,4274.517,10086.15,10086.15,20231031,1.000000,2.6169,6.02
453739,5256268,"","ZI Jupiter Global Funds European Growth.","USDGE","USD","USD",2.4697,12235.691,30218.48,30218.48,20231031,1.000000,1.9240,18.03
453739,5256268,"","ZI Threadneedle (Lux) American","USDXU","USD","USD",1.8629,35744.637,66588.68,66588.68,20231031,1.000000,1.3852,39.72
453739,5259712,"PIC398/08","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,1744.784,13288.62,13288.62,20231031,1.000000,9.0128,30.09
453739,5259712,"PIC398/08","Cautious Fund - Currency US Dollar","CTUSD","USD","USD",2.8338,4661.638,13210.14,13210.14,20231031,1.000000,3.3735,29.91
453739,5259712,"PIC398/08","Defensive Fund - Currency US Dollar","DFUSD","USD","USD",2.0632,4245.366,8759.03,8759.03,20231031,1.000000,2.4696,19.84
453739,5259712,"PIC398/08","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,1073.137,8901.67,8901.67,20231031,1.000000,5.3736,20.16
453739,5714946,"GIB19/07","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,2136.151,16269.35,16269.35,20231031,1.000000,5.4715,100.00
453739,5720632,"F17992","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,969.030,7380.32,7380.32,20231031,1.000000,3.8569,100.00
453739,6201993,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7230,4071.601,7015.36,7015.36,20231031,1.000000,1.7929,79.85
453739,6201993,"","ZI Pimco GIS Investment Grade Credit $","USDKP","USD","USD",1.2334,1435.740,1770.84,1770.84,20231031,1.000000,1.2919,20.15
453739,6202553,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,480.294,3042.23,3042.23,20231031,1.000000,6.4652,69.90
453739,6202553,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,157.938,1310.09,1310.09,20231031,1.000000,8.3904,30.10
453739,6202685,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,519.361,3289.68,3289.68,20231031,1.000000,6.4491,69.78
453739,6202685,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,171.773,1424.85,1424.85,20231031,1.000000,8.3418,30.22
453739,6203304,"","ZME US dollar Adventurous","USD6F","USD","USD",1.4786,1674.724,2476.24,2476.24,20231031,1.000000,1.6071,35.03
453739,6203304,"","ZME US dollar Blue Chip","USD6G","USD","USD",1.3831,1781.965,2464.63,2464.63,20231031,1.000000,1.5064,34.87
453739,6203304,"","ZME US dollar Performance","USD6L","USD","USD",1.4932,1424.708,2127.37,2127.37,20231031,1.000000,1.6140,30.10
453739,6203674,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,-33.618,-256.04,-256.04,20231031,1.000000,8.3913,100.00
453739,6203748,"","SPS Medium Risk Portfolio","B0203","USD","USD",1.4566,2161.019,3147.74,3147.74,20231031,1.000000,1.4896,100.00
453739,6205181,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,3289.474,25053.29,25053.29,20231031,1.000000,8.3539,100.00
453739,6206871,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,398.010,2521.03,2521.03,20231031,1.000000,6.6992,50.11
453739,6206871,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,329.536,2509.81,2509.81,20231031,1.000000,8.1961,49.89
453739,6207313,"","Zurich Allocated Passive 60% Equity Fund - GBP","B0158","GBP","GBP",1.4804,625.434,925.89,925.89,20231031,1.000000,1.5394,30.65
453739,6207313,"","ZME Sterling Blue Chip","9GGBP","GBP","GBP",1.1648,772.199,899.45,899.45,20231031,1.000000,1.2541,29.77
453739,6207313,"","ZME Sterling Cautious","9HGBP","GBP","GBP",1.0440,562.551,587.30,587.30,20231031,1.000000,1.1551,19.44
453739,6207313,"","ZME Sterling Performance","9LGBP","GBP","GBP",1.3135,463.074,608.24,608.24,20231031,1.000000,1.3870,20.13
453739,6207376,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,3177.664,24201.72,24201.72,20231031,1.000000,7.6845,100.00
453739,6207670,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,831.932,6336.16,6336.16,20231031,1.000000,7.6183,30.40
453739,6207670,"","Defensive Fund - Currency US Dollar","DFUSD","USD","USD",2.0632,2883.436,5949.10,5949.10,20231031,1.000000,2.2627,28.55
453739,6207670,"","ZI Franklin US Government fund","TCUSD","USD","USD",1.5233,2523.238,3843.64,3843.64,20231031,1.000000,1.7521,18.44
453739,6207670,"","ZI Fidelity Funds America","USDFU","USD","USD",1.9790,2381.075,4712.14,4712.14,20231031,1.000000,1.7855,22.61
453739,6208135,"","Adventurous Fund - Currency Sterling","ADGBP","GBP","GBP",8.9928,94.590,850.62,850.62,20231031,1.000000,9.6398,24.60
453739,6208135,"","Blue Chip Fund - Currency Sterling","BCGBP","GBP","GBP",6.3015,109.878,692.39,692.39,20231031,1.000000,6.8596,20.02
453739,6208135,"","Cautious Fund - Currency Sterling","CAGBP","GBP","GBP",2.6829,195.443,524.35,524.35,20231031,1.000000,2.7987,15.16
453739,6208135,"","ZI CT Global Select.","GMGBP","GBP","GBP",3.0271,233.381,706.46,706.46,20231031,1.000000,3.1244,20.43
453739,6208135,"","Performance Fund - Currency Sterling","PFGBP","GBP","GBP",8.0952,84.535,684.32,684.32,20231031,1.000000,8.2061,19.79
453739,6211944,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,7190.255,54762.42,54762.42,20231031,1.000000,7.9713,100.00
453739,6213198,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,327.718,2075.79,2075.79,20231031,1.000000,6.1400,30.07
453739,6213198,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,357.451,2722.41,2722.41,20231031,1.000000,7.5964,39.43
453739,6213198,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,253.834,2105.55,2105.55,20231031,1.000000,7.9350,30.50
453739,6215123,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,306.911,1944.00,1944.00,20231031,1.000000,6.1723,30.07
453739,6215123,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,336.476,2562.66,2562.66,20231031,1.000000,7.6336,39.64
453739,6215123,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,236.098,1958.43,1958.43,20231031,1.000000,7.9797,30.29
453739,6217031,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7230,12891.269,22211.65,22211.65,20231031,1.000000,1.8874,100.00
453739,6217758,"","Zurich Allocated Passive 80% Equity Fund - USD","B0169","USD","AED",1.4959,642.022,960.40,3519.88,20231031,0.272850,1.5453,30.56
453739,6217758,"","ZME US dollar Adventurous","USD6F","USD","AED",1.4786,425.052,628.48,2303.39,20231031,0.272850,1.5621,20.00
453739,6217758,"","ZME US dollar Blue Chip","USD6G","USD","AED",1.3831,446.479,617.52,2263.22,20231031,0.272850,1.4862,19.65
453739,6217758,"","ZME US dollar Performance","USD6L","USD","AED",1.4932,626.987,936.21,3431.22,20231031,0.272850,1.5865,29.79
453739,6217920,"","Zurich Allocated Passive 80% Equity Fund - USD","B0169","USD","AED",1.4959,674.704,1009.28,3699.02,20231031,0.272850,1.5499,30.53
453739,6217920,"","ZME US dollar Adventurous","USD6F","USD","AED",1.4786,446.922,660.81,2421.88,20231031,0.272850,1.5672,19.99
453739,6217920,"","ZME US dollar Blue Chip","USD6G","USD","AED",1.3831,470.336,650.52,2384.16,20231031,0.272850,1.4904,19.68
453739,6217920,"","ZME US dollar Performance","USD6L","USD","AED",1.4932,659.729,985.10,3610.40,20231031,0.272850,1.5913,29.80
453739,6219475,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,332.395,2531.58,2531.58,20231031,1.000000,8.0326,100.00
453739,6219528,"N257203","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,455.033,2882.22,2882.22,20231031,1.000000,6.7088,19.39
453739,6219528,"N257203","ZI Ninety One GSF Global Strategic Equity Fund","GMUSD","USD","USD",2.6812,1118.868,2999.90,2999.90,20231031,1.000000,2.7280,20.18
453739,6219528,"N257203","ZI Fidelity World $","USDKV","USD","USD",1.9719,1859.577,3666.89,3666.89,20231031,1.000000,2.0519,24.67
453739,6219528,"N257203","ZI Threadneedle (Lux) Global Select","USDYJ","USD","USD",1.6396,1865.305,3058.35,3058.35,20231031,1.000000,1.6362,20.57
453739,6219528,"N257203","ZI Invesco Global Equity Income","7QUSD","USD","USD",2.5430,888.196,2258.68,2258.68,20231031,1.000000,2.5773,15.19
453739,6220284,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7230,4594.226,7915.85,7915.85,20231031,1.000000,1.8202,70.81
453739,6220284,"","ZI Pimco GIS Investment Grade Credit $","USDKP","USD","USD",1.2334,2645.497,3262.95,3262.95,20231031,1.000000,1.3745,29.19
453739,6220879,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,542.110,3433.77,3433.77,20231031,1.000000,6.1965,30.14
453739,6220879,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,589.011,4486.02,4486.02,20231031,1.000000,7.6644,39.38
453739,6220879,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,418.469,3471.20,3471.20,20231031,1.000000,8.0191,30.47
453739,6224386,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,1008.815,7683.33,7683.33,20231031,1.000000,6.9176,100.00
453739,6225995,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,1502.335,11442.08,11442.08,20231031,1.000000,8.0193,100.00
453739,6238478,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,544.036,4143.48,4143.48,20231031,1.000000,8.3941,100.00
453739,6242394,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,547.937,4173.19,4173.19,20231031,1.000000,8.3700,100.00
453739,6246801,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,2998.174,22834.69,22834.69,20231031,1.000000,7.6425,100.00
453739,6249968,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,552.938,3502.36,3502.36,20231031,1.000000,6.6406,41.38
453739,6249968,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,210.100,1742.77,1742.77,20231031,1.000000,8.6509,20.59
453739,6249968,"","ZI Invesco Developed Small and Mid-Cap Equity $","USDMW","USD","USD",1.5582,2065.518,3218.49,3218.49,20231031,1.000000,1.7824,38.03
453739,6251653,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,3514.359,26766.06,26766.06,20231031,1.000000,8.2877,100.00
453739,6255256,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,2904.703,22122.79,22122.79,20231031,1.000000,7.5306,100.00
453739,6261914,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,-0.395,-2.50,-2.50,20231031,1.000000,5.2491,30.01
453739,6261914,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,-0.428,-3.25,-3.25,20231031,1.000000,6.5328,39.02
453739,6261914,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,-0.312,-2.58,-2.58,20231031,1.000000,6.7033,30.97
453739,6264494,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,160.544,1222.73,1222.73,20231031,1.000000,7.5887,29.52
453739,6264494,"","Zurich Allocated Passive 60% Equity Fund - USD","B0168","USD","USD",1.4374,889.269,1278.23,1278.23,20231031,1.000000,1.3695,30.86
453739,6264494,"","Cautious Fund - Currency US Dollar","CTUSD","USD","USD",2.8338,283.994,804.78,804.78,20231031,1.000000,2.8625,19.43
453739,6264494,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,100.836,836.43,836.43,20231031,1.000000,8.0477,20.19
453739,6266156,"","Zurich Allocated Passive 100% Equity Fund - USD","B0170","USD","USD",1.5539,414.888,644.69,644.69,20231031,1.000000,1.6443,30.05
453739,6266156,"","ZUR Zurich Blue Balanced","USD6K","USD","USD",1.2543,345.703,433.61,433.61,20231031,1.000000,1.3193,20.21
453739,6266156,"","ZUR Zurich Blue Performance","USD6R","USD","USD",1.3149,407.010,535.17,535.17,20231031,1.000000,1.4001,24.95
453739,6266156,"","ZUR Zurich Blue Adventurous","USD6T","USD","USD",1.4025,379.188,531.81,531.81,20231031,1.000000,1.5015,24.79
453739,6270518,"","Money Market Fund - Currency US Dollars","SEUSD","USD","USD",2.1968,13811.086,30340.19,30340.19,20231031,1.000000,2.1533,100.00
453739,6279848,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,460.856,2919.10,2919.10,20231031,1.000000,6.1940,30.12
453739,6279848,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,502.037,3823.61,3823.61,20231031,1.000000,7.6581,39.46
453739,6279848,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,355.375,2947.83,2947.83,20231031,1.000000,8.0124,30.42
453739,6279872,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,331.528,2099.93,2099.93,20231031,1.000000,6.1847,30.19
453739,6279872,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,358.912,2733.54,2733.54,20231031,1.000000,7.6522,39.29
453739,6279872,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,255.948,2123.08,2123.08,20231031,1.000000,8.0056,30.52
453739,6281648,"N253157","ZI Schroder ISF Global Inflation Linked Bond US$","GAUSD","USD","USD",1.6601,1966.964,3265.35,3265.35,20231031,1.000000,1.6937,20.41
453739,6281648,"N253157","ZI Ninety One GSF Global Strategic Equity Fund","GMUSD","USD","USD",2.6812,1194.385,3202.38,3202.38,20231031,1.000000,2.7892,20.02
453739,6281648,"N253157","ZI Fidelity World $","USDKV","USD","USD",1.9719,1997.440,3938.75,3938.75,20231031,1.000000,2.0848,24.62
453739,6281648,"N253157","ZI Threadneedle (Lux) Global Select","USDYJ","USD","USD",1.6396,1957.814,3210.03,3210.03,20231031,1.000000,1.7016,20.06
453739,6281648,"N253157","ZI Invesco Global Equity Income","7QUSD","USD","USD",2.5430,937.070,2382.96,2382.96,20231031,1.000000,2.6663,14.89
453739,6282122,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,2698.471,20552.09,20552.09,20231031,1.000000,7.9203,100.00
453739,6282369,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,471.677,2987.64,2987.64,20231031,1.000000,6.1775,30.18
453739,6282369,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,510.701,3889.60,3889.60,20231031,1.000000,7.6272,39.29
453739,6282369,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,364.502,3023.54,3023.54,20231031,1.000000,7.9795,30.54
453739,6291549,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7230,943.023,1624.82,1624.82,20231031,1.000000,1.8195,59.76
453739,6291549,"","ZI Pimco GIS Investment Grade Credit $","USDKP","USD","USD",1.2334,887.169,1094.23,1094.23,20231031,1.000000,1.3083,40.24
453739,6291638,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7230,984.694,1696.62,1696.62,20231031,1.000000,1.8195,59.72
453739,6291638,"","ZI Pimco GIS Investment Grade Credit $","USDKP","USD","USD",1.2334,927.759,1144.29,1144.29,20231031,1.000000,1.3083,40.28
453739,6297148,"","ZI Canaccord Genuity Opportunity Fund","USDDL","USD","USD",1.7230,3235.754,5575.20,5575.20,20231031,1.000000,1.8292,69.78
453739,6297148,"","ZI Pimco GIS Investment Grade Credit $","USDKP","USD","USD",1.2334,1957.314,2414.15,2414.15,20231031,1.000000,1.3151,30.22
453739,6308574,"CIB388/08","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,2951.402,22478.46,22478.46,20231031,1.000000,6.6300,100.00
453739,6310030,"A016F9629","ZI Schroder ISF Global Inflation Linked Bond US$","GAUSD","USD","USD",1.6601,2428.958,4032.31,4032.31,20231031,1.000000,1.7174,19.94
453739,6310030,"A016F9629","ZI Ninety One GSF Global Strategic Equity Fund","GMUSD","USD","USD",2.6812,1499.775,4021.19,4021.19,20231031,1.000000,2.7814,19.88
453739,6310030,"A016F9629","ZI Fidelity World $","USDKV","USD","USD",1.9719,2541.360,5011.30,5011.30,20231031,1.000000,2.0518,24.78
453739,6310030,"A016F9629","ZI Threadneedle (Lux) Global Select","USDYJ","USD","USD",1.6396,2475.663,4059.09,4059.09,20231031,1.000000,1.6850,20.07
453739,6310030,"A016F9629","ZI Invesco Global Equity Income","7QUSD","USD","USD",2.5430,1219.014,3099.95,3099.95,20231031,1.000000,2.5665,15.33
453739,6322475,"N240204","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,1025.620,6496.37,6496.37,20231031,1.000000,6.1325,25.90
453739,6322475,"N240204","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,1127.715,8588.90,8588.90,20231031,1.000000,7.8144,34.24
453739,6322475,"N240204","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,913.719,7579.29,7579.29,20231031,1.000000,8.2636,30.21
453739,6322475,"N240204","ZI Invesco Developed Small and Mid-Cap Equity $","USDMW","USD","USD",1.5582,1553.605,2420.82,2420.82,20231031,1.000000,1.6193,9.65
453739,6340176,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,1809.770,13783.57,13783.57,20231031,1.000000,8.0262,40.20
453739,6340176,"","Cautious Fund - Currency US Dollar","CTUSD","USD","USD",2.8338,1765.148,5002.07,5002.07,20231031,1.000000,3.3535,14.59
453739,6340176,"","Defensive Fund - Currency US Dollar","DFUSD","USD","USD",2.0632,1607.094,3315.75,3315.75,20231031,1.000000,2.4556,9.67
453739,6340176,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,1469.538,12189.81,12189.81,20231031,1.000000,9.6304,35.55
453739,8107128,"","Blue Chip Fund - Currency Sterling","BCGBP","GBP","GBP",6.3015,2748.038,17316.76,17316.76,20231031,1.000000,7.0611,34.03
453739,8107128,"","ZI Jupiter Ecology fund","GDGBP","GBP","GBP",4.7924,1043.560,5001.15,5001.15,20231031,1.000000,5.3810,9.83
453739,8107128,"","ZI CT Global Select.","GMGBP","GBP","GBP",3.0271,3519.655,10654.34,10654.34,20231031,1.000000,3.2216,20.94
453739,8107128,"","Performance Fund - Currency Sterling","PFGBP","GBP","GBP",8.0952,2213.253,17916.72,17916.72,20231031,1.000000,8.9269,35.21
453739,8108224,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,4553.126,28839.95,28839.95,20231031,1.000000,5.1556,30.14
453739,8108224,"","Blue Chip Fund - Currency US Dollars","BCUSD","USD","USD",7.6162,3620.084,27571.28,27571.28,20231031,1.000000,6.5029,28.82
453739,8108224,"","Performance Fund - Currency US Dollars","PFUSD","USD","USD",8.2950,4733.233,39262.16,39262.16,20231031,1.000000,6.6079,41.04
453739,8110005,"","ZI Templeton Global Bond Fund","TEUSD","USD","USD",1.7562,16088.904,28255.33,28255.33,20231031,1.000000,2.0475,14.13
453739,8110005,"","ZI Fidelity Funds Global Dividend","USDFT","USD","USD",1.7704,28050.587,49660.75,49660.75,20231031,1.000000,1.8787,24.84
453739,8110005,"","ZI Fidelity World $","USDKV","USD","USD",1.9719,22486.154,44340.44,44340.44,20231031,1.000000,2.2472,22.18
453739,8110005,"","ZI Franklin High Yield $","USDMF","USD","USD",1.5507,20240.070,31386.27,31386.27,20231031,1.000000,1.6272,15.70
453739,8110005,"","ZI Jupiter Merlin Int. Equities Portfolio USD","Z9USD","USD","USD",2.1589,21441.317,46289.65,46289.65,20231031,1.000000,2.3563,23.15
453739,8111427,"","Adventurous Fund - Currency US Dollars","ADUSD","USD","USD",6.3341,794.330,5031.36,5031.36,20231031,1.000000,4.7481,38.81
