"Run Number","Policy Number","Policy Reference","Amount Paid","Date Paid","Premium Currency","Premium Type"
453739,2144809,"",325.00,"202307","USD","Regular"
453739,2144809,"",325.00,"202308","USD","Regular"
453739,2144809,"",325.00,"202309","USD","Regular"
453739,2144809,"",325.00,"202310","USD","Regular"
453739,2144817,"",500.00,"202210","USD","Regular"
453739,2144817,"",500.00,"202211","USD","Regular"
453739,2144817,"",485.00,"202212","USD","Regular"
453739,2144817,"",485.00,"202301","USD","Regular"
453739,2144817,"",485.00,"202302","USD","Regular"
453739,2144817,"",490.00,"202303","USD","Regular"
453739,2144817,"",485.00,"202304","USD","Regular"
453739,2144817,"",500.00,"202305","USD","Regular"
453739,2144817,"",500.00,"202306","USD","Regular"
453739,2144817,"",500.00,"202307","USD","Regular"
453739,2144817,"",500.00,"202308","USD","Regular"
453739,2144817,"",500.00,"202309","USD","Regular"
453739,2144817,"",500.00,"202310","USD","Regular"
453739,2144884,"",1000.00,"202210","USD","Regular"
453739,2144884,"",1000.00,"202211","USD","Regular"
453739,2144884,"",1000.00,"202212","USD","Regular"
453739,2144884,"",1000.00,"202301","USD","Regular"
453739,2144884,"",1000.00,"202302","USD","Regular"
453739,2144884,"",1000.00,"202303","USD","Regular"
453739,2144884,"",1000.00,"202304","USD","Regular"
453739,2144884,"",1000.00,"202305","USD","Regular"
453739,2145945,"",655.00,"202210","USD","Regular"
453739,2145945,"",655.00,"202211","USD","Regular"
453739,2145945,"",655.00,"202212","USD","Regular"
453739,2145945,"",655.00,"202301","USD","Regular"
453739,2145945,"",655.00,"202302","USD","Regular"
453739,2145945,"",655.00,"202303","USD","Regular"
453739,2145945,"",655.00,"202304","USD","Regular"
453739,2145945,"",655.00,"202305","USD","Regular"
453739,2145945,"",655.00,"202306","USD","Regular"
453739,2145945,"",655.00,"202307","USD","Regular"
453739,2145945,"",655.00,"202308","USD","Regular"
453739,2145945,"",655.00,"202309","USD","Regular"
453739,2145945,"",655.00,"202310","USD","Regular"
453739,2148642,"",351.00,"202210","EUR","Regular"
453739,2148642,"",351.00,"202211","EUR","Regular"
453739,2148642,"",351.00,"202212","EUR","Regular"
453739,2148642,"",351.00,"202301","EUR","Regular"
453739,2148642,"",351.00,"202302","EUR","Regular"
453739,2148642,"",351.00,"202303","EUR","Regular"
453739,2148642,"",351.00,"202304","EUR","Regular"
453739,2148642,"",351.00,"202305","EUR","Regular"
453739,2148642,"",351.00,"202306","EUR","Regular"
453739,2148642,"",351.00,"202307","EUR","Regular"
453739,2148642,"",351.00,"202308","EUR","Regular"
453739,2148642,"",351.00,"202309","EUR","Regular"
453739,2148642,"",351.00,"202310","EUR","Regular"
453739,2160610,"R1J31QID",850.00,"202306","USD","Regular"
453739,2160610,"R1J31QID",850.00,"202307","USD","Regular"
453739,2160610,"R1J31QID",850.00,"202308","USD","Regular"
453739,2160610,"R1J31QID",850.00,"202309","USD","Regular"
453739,2160610,"R1J31QID",850.00,"202310","USD","Regular"
453739,2163188,"YYUAKLEH",9250.00,"202308","AED","Regular"
453739,2163188,"YYUAKLEH",-9250.00,"202308","AED","Regular"
453739,2163188,"YYUAKLEH",6127.00,"202308","AED","Regular"
453739,2163188,"YYUAKLEH",3123.00,"202310","AED","Regular"
453739,3032740,"",92.77,"202210","USD","Regular"
453739,3032740,"",92.77,"202211","USD","Regular"
453739,3032740,"",92.77,"202212","USD","Regular"
453739,3032740,"",92.77,"202301","USD","Regular"
453739,3032740,"",92.77,"202302","USD","Regular"
453739,3032740,"",92.77,"202303","USD","Regular"
453739,3032740,"",92.77,"202304","USD","Regular"
453739,3032740,"",92.77,"202305","USD","Regular"
453739,3032740,"",92.77,"202306","USD","Regular"
453739,3032740,"",92.77,"202307","USD","Regular"
453739,3032740,"",92.77,"202308","USD","Regular"
453739,3032740,"",92.77,"202309","USD","Regular"
453739,3035594,"",417.28,"202210","USD","Regular"
453739,3035594,"",417.28,"202211","USD","Regular"
453739,3035594,"",417.28,"202212","USD","Regular"
453739,3035594,"",417.28,"202301","USD","Regular"
453739,3035594,"",417.28,"202302","USD","Regular"
453739,3035594,"",417.28,"202303","USD","Regular"
453739,3035594,"",417.28,"202304","USD","Regular"
453739,3035594,"",417.28,"202305","USD","Regular"
453739,3035594,"",417.28,"202306","USD","Regular"
453739,3035594,"",417.28,"202307","USD","Regular"
453739,3035594,"",417.28,"202308","USD","Regular"
453739,3035594,"",417.28,"202309","USD","Regular"
453739,3035594,"",417.28,"202310","USD","Regular"
453739,3053862,"",464.89,"202210","AED","Regular"
453739,3053862,"",464.89,"202211","AED","Regular"
453739,3053862,"",464.89,"202212","AED","Regular"
453739,3053862,"",464.89,"202301","AED","Regular"
453739,3053862,"",464.89,"202302","AED","Regular"
453739,3053862,"",464.89,"202303","AED","Regular"
453739,3053862,"",464.89,"202304","AED","Regular"
453739,3053862,"",464.89,"202305","AED","Regular"
453739,3053862,"",464.89,"202306","AED","Regular"
453739,3053862,"",464.89,"202307","AED","Regular"
453739,3053862,"",464.89,"202308","AED","Regular"
453739,3053862,"",464.89,"202309","AED","Regular"
453739,3053862,"",464.89,"202310","AED","Regular"
453739,3057435,"",156.85,"202210","USD","Regular"
453739,3057435,"",156.85,"202211","USD","Regular"
453739,3057435,"",156.85,"202212","USD","Regular"
453739,3057435,"",156.85,"202301","USD","Regular"
453739,3057435,"",156.85,"202302","USD","Regular"
453739,3057435,"",156.85,"202303","USD","Regular"
453739,3057435,"",156.85,"202304","USD","Regular"
453739,3057435,"",156.85,"202305","USD","Regular"
453739,3057435,"",156.85,"202306","USD","Regular"
453739,3057435,"",156.85,"202307","USD","Regular"
453739,3057435,"",156.85,"202308","USD","Regular"
453739,3057435,"",156.85,"202309","USD","Regular"
453739,3057435,"",156.85,"202310","USD","Regular"
453739,3058148,"",213.96,"202210","USD","Regular"
453739,3058148,"",213.96,"202211","USD","Regular"
453739,3058148,"",213.96,"202212","USD","Regular"
453739,3058148,"",213.96,"202301","USD","Regular"
453739,3058148,"",213.96,"202302","USD","Regular"
453739,3058148,"",213.96,"202303","USD","Regular"
453739,3058148,"",213.96,"202304","USD","Regular"
453739,3058148,"",213.96,"202305","USD","Regular"
453739,3058148,"",213.96,"202306","USD","Regular"
453739,3058148,"",213.96,"202307","USD","Regular"
453739,3058148,"",213.96,"202308","USD","Regular"
453739,3058148,"",213.96,"202309","USD","Regular"
453739,3058148,"",213.96,"202310","USD","Regular"
453739,3060450,"A025761149",898.67,"202210","AED","Regular"
453739,3060450,"A025761149",898.67,"202211","AED","Regular"
453739,3060450,"A025761149",898.67,"202212","AED","Regular"
453739,3060450,"A025761149",898.67,"202301","AED","Regular"
453739,3060450,"A025761149",898.67,"202302","AED","Regular"
453739,3060450,"A025761149",898.67,"202303","AED","Regular"
453739,3062825,"",149.76,"202210","USD","Regular"
453739,3062825,"",149.76,"202211","USD","Regular"
453739,3062825,"",149.76,"202212","USD","Regular"
453739,3062825,"",149.76,"202301","USD","Regular"
453739,3062825,"",149.76,"202302","USD","Regular"
453739,3062825,"",149.76,"202303","USD","Regular"
453739,3062825,"",149.76,"202304","USD","Regular"
453739,3062825,"",149.76,"202305","USD","Regular"
453739,3062825,"",149.76,"202306","USD","Regular"
453739,3062825,"",149.76,"202307","USD","Regular"
453739,3069838,"",348.32,"202210","USD","Regular"
453739,3069838,"",348.32,"202211","USD","Regular"
453739,3069838,"",348.32,"202212","USD","Regular"
453739,3069838,"",348.32,"202301","USD","Regular"
453739,3069838,"",348.32,"202302","USD","Regular"
453739,3069838,"",348.32,"202303","USD","Regular"
453739,3069838,"",348.32,"202304","USD","Regular"
453739,3069838,"",348.32,"202305","USD","Regular"
453739,3069838,"",348.32,"202306","USD","Regular"
453739,3069838,"",348.32,"202307","USD","Regular"
453739,3069838,"",348.32,"202308","USD","Regular"
453739,3069838,"",348.32,"202309","USD","Regular"
453739,3069838,"",348.32,"202310","USD","Regular"
453739,3069879,"",1435.00,"202210","AED","Regular"
453739,3069879,"",1435.00,"202211","AED","Regular"
453739,3069879,"",1435.00,"202212","AED","Regular"
453739,3069879,"",1435.00,"202301","AED","Regular"
453739,3069879,"",1435.00,"202302","AED","Regular"
453739,3069879,"",1435.00,"202303","AED","Regular"
453739,3069879,"",1435.00,"202304","AED","Regular"
453739,3069879,"",1436.05,"202305","AED","Regular"
453739,3069879,"",1436.05,"202306","AED","Regular"
453739,3069879,"",1436.05,"202307","AED","Regular"
453739,3069879,"",1436.05,"202308","AED","Regular"
453739,3069879,"",1436.05,"202309","AED","Regular"
453739,3069879,"",1436.05,"202310","AED","Regular"
453739,3101657,"",146.72,"202210","USD","Regular"
453739,3101657,"",146.72,"202211","USD","Regular"
453739,3101657,"",146.72,"202212","USD","Regular"
453739,3101657,"",146.72,"202301","USD","Regular"
453739,3101657,"",146.72,"202302","USD","Regular"
453739,3101657,"",146.72,"202303","USD","Regular"
453739,3101657,"",146.72,"202304","USD","Regular"
453739,3101657,"",146.72,"202305","USD","Regular"
453739,3101657,"",146.72,"202306","USD","Regular"
453739,3101657,"",146.72,"202307","USD","Regular"
453739,3101657,"",146.72,"202308","USD","Regular"
453739,3101657,"",146.72,"202309","USD","Regular"
453739,3103855,"",118.17,"202210","AED","Regular"
453739,3103855,"",118.17,"202211","AED","Regular"
453739,3103855,"",118.17,"202212","AED","Regular"
453739,3103855,"",118.17,"202301","AED","Regular"
453739,3103855,"",118.17,"202302","AED","Regular"
453739,3103855,"",118.17,"202303","AED","Regular"
453739,3103855,"",118.17,"202304","AED","Regular"
453739,3103855,"",118.17,"202305","AED","Regular"
453739,3103855,"",118.17,"202306","AED","Regular"
453739,3103855,"",118.17,"202307","AED","Regular"
453739,3103855,"",118.17,"202308","AED","Regular"
453739,3103855,"",118.17,"202309","AED","Regular"
453739,3103855,"",118.17,"202310","AED","Regular"
453739,3103938,"",271.74,"202210","USD","Regular"
453739,3103938,"",271.74,"202211","USD","Regular"
453739,3103938,"",271.74,"202212","USD","Regular"
453739,3103938,"",271.74,"202301","USD","Regular"
453739,3103938,"",271.74,"202302","USD","Regular"
453739,3103938,"",271.74,"202303","USD","Regular"
453739,3103938,"",271.74,"202304","USD","Regular"
453739,3103938,"",271.74,"202305","USD","Regular"
453739,3103938,"",271.74,"202306","USD","Regular"
453739,3103938,"",271.74,"202307","USD","Regular"
453739,3103938,"",271.74,"202308","USD","Regular"
453739,3104789,"",153.01,"202210","AED","Regular"
453739,3104789,"",153.01,"202211","AED","Regular"
453739,3104789,"",153.01,"202212","AED","Regular"
453739,3104789,"",153.01,"202301","AED","Regular"
453739,3104789,"",153.01,"202302","AED","Regular"
453739,3104789,"",153.01,"202303","AED","Regular"
453739,3104789,"",153.01,"202304","AED","Regular"
453739,3104789,"",153.01,"202305","AED","Regular"
453739,3104789,"",153.01,"202306","AED","Regular"
453739,3104789,"",153.01,"202307","AED","Regular"
453739,3104789,"",153.01,"202308","AED","Regular"
453739,3104789,"",153.01,"202309","AED","Regular"
453739,3104789,"",153.01,"202310","AED","Regular"
453739,3105949,"",675.00,"202210","AED","Regular"
453739,3105949,"",670.33,"202211","AED","Regular"
453739,3106475,"",592.31,"202302","USD","Regular"
453739,3106475,"",592.31,"202303","USD","Regular"
453739,3106475,"",592.31,"202304","USD","Regular"
453739,3106475,"",592.31,"202305","USD","Regular"
453739,3106475,"",592.31,"202306","USD","Regular"
453739,3106475,"",592.31,"202307","USD","Regular"
453739,3106475,"",592.31,"202308","USD","Regular"
453739,3106475,"",592.31,"202309","USD","Regular"
453739,3106475,"",592.31,"202310","USD","Regular"
453739,3106611,"",506.54,"202210","USD","Regular"
453739,3106611,"",506.54,"202211","USD","Regular"
453739,3106611,"",506.54,"202212","USD","Regular"
453739,3106611,"",506.54,"202301","USD","Regular"
453739,3106611,"",506.54,"202302","USD","Regular"
453739,3106611,"",506.54,"202303","USD","Regular"
453739,3106611,"",506.54,"202304","USD","Regular"
453739,3106611,"",506.54,"202305","USD","Regular"
453739,3106611,"",506.54,"202306","USD","Regular"
453739,3106611,"",506.54,"202307","USD","Regular"
453739,3106611,"",506.54,"202308","USD","Regular"
453739,3106611,"",506.54,"202309","USD","Regular"
453739,3106856,"",66.22,"202210","EUR","Regular"
453739,3106856,"",66.22,"202211","EUR","Regular"
453739,3106856,"",66.22,"202212","EUR","Regular"
453739,3106856,"",66.22,"202301","EUR","Regular"
453739,3106856,"",66.22,"202302","EUR","Regular"
453739,3106856,"",66.22,"202303","EUR","Regular"
453739,3106856,"",66.22,"202304","EUR","Regular"
453739,3106856,"",66.22,"202305","EUR","Regular"
453739,3106856,"",66.22,"202306","EUR","Regular"
453739,3106856,"",66.22,"202307","EUR","Regular"
453739,3106856,"",66.22,"202308","EUR","Regular"
453739,3106856,"",66.22,"202309","EUR","Regular"
453739,3106856,"",66.22,"202310","EUR","Regular"
453739,3110030,"",86.91,"202210","USD","Regular"
453739,3110030,"",86.91,"202211","USD","Regular"
453739,3110030,"",86.91,"202212","USD","Regular"
453739,3110030,"",86.91,"202301","USD","Regular"
453739,3110030,"",86.91,"202302","USD","Regular"
453739,3110030,"",86.91,"202303","USD","Regular"
453739,3110030,"",86.91,"202304","USD","Regular"
453739,3110030,"",86.91,"202305","USD","Regular"
453739,3110030,"",86.91,"202306","USD","Regular"
453739,3110030,"",86.91,"202307","USD","Regular"
453739,3110030,"",86.91,"202308","USD","Regular"
453739,3110030,"",86.91,"202309","USD","Regular"
453739,3110030,"",86.91,"202310","USD","Regular"
453739,3112970,"",716.67,"202210","AED","Regular"
453739,3112970,"",716.67,"202211","AED","Regular"
453739,3112970,"",716.67,"202212","AED","Regular"
453739,3112970,"",716.67,"202301","AED","Regular"
453739,3112970,"",716.67,"202302","AED","Regular"
453739,3112970,"",716.67,"202303","AED","Regular"
453739,3112970,"",716.67,"202304","AED","Regular"
453739,3112970,"",716.67,"202305","AED","Regular"
453739,3112970,"",716.67,"202306","AED","Regular"
453739,3112970,"",716.67,"202307","AED","Regular"
453739,3112970,"",716.67,"202308","AED","Regular"
453739,3112970,"",716.67,"202309","AED","Regular"
453739,3112970,"",716.67,"202310","AED","Regular"
453739,3113561,"",114.45,"202210","USD","Regular"
453739,3113561,"",114.45,"202211","USD","Regular"
453739,3113561,"",114.45,"202212","USD","Regular"
453739,3113561,"",114.45,"202301","USD","Regular"
453739,3113561,"",114.45,"202302","USD","Regular"
453739,3113561,"",114.45,"202303","USD","Regular"
453739,3113561,"",114.45,"202304","USD","Regular"
453739,3113561,"",114.45,"202305","USD","Regular"
453739,3113561,"",114.45,"202306","USD","Regular"
453739,3113561,"",114.45,"202307","USD","Regular"
453739,3113561,"",114.45,"202308","USD","Regular"
453739,3113561,"",114.45,"202309","USD","Regular"
453739,3113561,"",114.45,"202310","USD","Regular"
453739,3114059,"",683.87,"202210","AED","Regular"
453739,3114059,"",683.87,"202211","AED","Regular"
453739,3114059,"",683.87,"202212","AED","Regular"
453739,3114059,"",683.87,"202301","AED","Regular"
453739,3114059,"",683.87,"202302","AED","Regular"
453739,3114059,"",683.87,"202303","AED","Regular"
453739,3114059,"",683.87,"202304","AED","Regular"
453739,3114059,"",683.87,"202305","AED","Regular"
453739,3114059,"",683.87,"202306","AED","Regular"
453739,3114059,"",683.87,"202307","AED","Regular"
453739,3114059,"",683.87,"202308","AED","Regular"
453739,3114059,"",683.87,"202309","AED","Regular"
453739,3114059,"",683.87,"202310","AED","Regular"
453739,3115122,"",36.83,"202210","USD","Regular"
453739,3115122,"",36.83,"202211","USD","Regular"
453739,3115122,"",36.83,"202212","USD","Regular"
453739,3115122,"",36.83,"202301","USD","Regular"
453739,3115122,"",36.83,"202302","USD","Regular"
453739,3115122,"",36.83,"202303","USD","Regular"
453739,3115122,"",36.83,"202304","USD","Regular"
453739,3115122,"",36.83,"202305","USD","Regular"
453739,3115122,"",36.83,"202306","USD","Regular"
453739,3115122,"",36.83,"202307","USD","Regular"
453739,3115122,"",36.83,"202308","USD","Regular"
453739,3115122,"",36.83,"202309","USD","Regular"
453739,3115122,"",36.83,"202310","USD","Regular"
453739,3115227,"",146.71,"202210","USD","Regular"
453739,3115227,"",146.71,"202211","USD","Regular"
453739,3115227,"",146.71,"202212","USD","Regular"
453739,3115227,"",146.71,"202301","USD","Regular"
453739,3115227,"",146.71,"202302","USD","Regular"
453739,3115227,"",146.71,"202303","USD","Regular"
453739,3115227,"",146.71,"202304","USD","Regular"
453739,3115227,"",146.71,"202305","USD","Regular"
453739,3115227,"",146.71,"202306","USD","Regular"
453739,3115227,"",146.71,"202307","USD","Regular"
453739,3115227,"",146.71,"202308","USD","Regular"
453739,3115227,"",146.71,"202309","USD","Regular"
453739,3115227,"",146.71,"202310","USD","Regular"
453739,3115631,"",96.13,"202210","USD","Regular"
453739,3115631,"",96.13,"202211","USD","Regular"
453739,3115631,"",96.13,"202212","USD","Regular"
453739,3115631,"",96.13,"202301","USD","Regular"
453739,3115631,"",96.13,"202302","USD","Regular"
453739,3115631,"",96.13,"202303","USD","Regular"
453739,3115631,"",96.13,"202304","USD","Regular"
453739,3115631,"",96.13,"202305","USD","Regular"
453739,3115631,"",96.13,"202306","USD","Regular"
453739,3115631,"",96.13,"202307","USD","Regular"
453739,3115631,"",96.13,"202308","USD","Regular"
453739,3115631,"",96.13,"202309","USD","Regular"
453739,3115631,"",96.13,"202310","USD","Regular"
453739,3119351,"",307.74,"202210","USD","Regular"
453739,3119351,"",307.74,"202211","USD","Regular"
453739,3119351,"",307.74,"202212","USD","Regular"
453739,3119351,"",307.74,"202301","USD","Regular"
453739,3119351,"",307.74,"202302","USD","Regular"
453739,3119351,"",307.74,"202303","USD","Regular"
453739,3119351,"",307.74,"202304","USD","Regular"
453739,3119351,"",307.74,"202305","USD","Regular"
453739,3119351,"",307.74,"202306","USD","Regular"
453739,3119351,"",307.74,"202307","USD","Regular"
453739,3119351,"",307.74,"202308","USD","Regular"
453739,3119351,"",307.74,"202309","USD","Regular"
453739,3119351,"",307.74,"202310","USD","Regular"
453739,3120214,"DWMHZ9OB",850.90,"202305","AED","Regular"
453739,3120214,"DWMHZ9OB",850.90,"202306","AED","Regular"
453739,3120214,"DWMHZ9OB",850.90,"202307","AED","Regular"
453739,3120214,"DWMHZ9OB",850.90,"202308","AED","Regular"
453739,3120214,"DWMHZ9OB",850.90,"202309","AED","Regular"
453739,3120214,"DWMHZ9OB",850.90,"202310","AED","Regular"
453739,3121348,"",113.58,"202210","USD","Regular"
453739,3121348,"",113.58,"202211","USD","Regular"
453739,3121348,"",113.58,"202212","USD","Regular"
453739,3121348,"",113.58,"202301","USD","Regular"
453739,3121348,"",113.58,"202302","USD","Regular"
453739,3121348,"",113.58,"202303","USD","Regular"
453739,3121348,"",113.58,"202304","USD","Regular"
453739,3121348,"",113.58,"202305","USD","Regular"
453739,3121348,"",113.58,"202306","USD","Regular"
453739,3121348,"",113.58,"202307","USD","Regular"
453739,3121348,"",113.58,"202308","USD","Regular"
453739,3121348,"",113.58,"202309","USD","Regular"
453739,3121348,"",113.58,"202310","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202304","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202305","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202306","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202307","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202308","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202309","USD","Regular"
453739,3122022,"KDEU7NM8",275.93,"202310","USD","Regular"
453739,3123245,"",401.00,"202210","AED","Regular"
453739,3123245,"",401.00,"202211","AED","Regular"
453739,3123245,"",401.00,"202212","AED","Regular"
453739,3123245,"",401.00,"202301","AED","Regular"
453739,3123245,"",401.00,"202302","AED","Regular"
453739,3123245,"",401.00,"202303","AED","Regular"
453739,3123245,"",401.00,"202304","AED","Regular"
453739,3123245,"",401.00,"202305","AED","Regular"
453739,3123245,"",401.00,"202306","AED","Regular"
453739,3123245,"",401.00,"202307","AED","Regular"
453739,3123245,"",401.00,"202308","AED","Regular"
453739,3123245,"",401.00,"202309","AED","Regular"
453739,3123245,"",401.00,"202310","AED","Regular"
453739,3123335,"",396.99,"202210","GBP","Regular"
453739,3123335,"",396.99,"202211","GBP","Regular"
453739,3123335,"",396.99,"202212","GBP","Regular"
453739,3123335,"",396.99,"202301","GBP","Regular"
453739,3123335,"",396.99,"202302","GBP","Regular"
453739,3123335,"",396.99,"202303","GBP","Regular"
453739,3123335,"",396.99,"202304","GBP","Regular"
453739,3123335,"",396.99,"202305","GBP","Regular"
453739,3123335,"",396.99,"202306","GBP","Regular"
453739,3123335,"",396.99,"202307","GBP","Regular"
453739,3123335,"",396.99,"202308","GBP","Regular"
453739,3123335,"",396.99,"202309","GBP","Regular"
453739,3123335,"",396.99,"202310","GBP","Regular"
453739,3123592,"238CXOXP",141.50,"202303","USD","Regular"
453739,3123592,"238CXOXP",141.50,"202304","USD","Regular"
453739,3123592,"238CXOXP",141.50,"202305","USD","Regular"
453739,3123592,"238CXOXP",141.50,"202306","USD","Regular"
453739,3123592,"238CXOXP",141.50,"202307","USD","Regular"
453739,3123592,"238CXOXP",141.50,"202308","USD","Regular"
453739,3123592,"238CXOXP",141.50,"202309","USD","Regular"
453739,3124610,"1OS8DY92",91.46,"202304","USD","Regular"
453739,3124610,"1OS8DY92",91.46,"202305","USD","Regular"
453739,3124610,"1OS8DY92",91.46,"202306","USD","Regular"
453739,3124610,"1OS8DY92",91.46,"202307","USD","Regular"
453739,3124610,"1OS8DY92",91.46,"202308","USD","Regular"
453739,3124610,"1OS8DY92",91.46,"202309","USD","Regular"
453739,3125289,"",109.68,"202210","USD","Regular"
453739,3125289,"",109.68,"202211","USD","Regular"
453739,3125289,"",109.68,"202212","USD","Regular"
453739,3125289,"",109.68,"202301","USD","Regular"
453739,3125289,"",109.68,"202302","USD","Regular"
453739,3125289,"",109.68,"202303","USD","Regular"
453739,3125289,"",109.68,"202304","USD","Regular"
453739,3125289,"",109.68,"202305","USD","Regular"
453739,3125289,"",109.68,"202306","USD","Regular"
453739,3125289,"",109.68,"202307","USD","Regular"
453739,3125289,"",109.68,"202308","USD","Regular"
453739,3125289,"",109.68,"202309","USD","Regular"
453739,3125289,"",109.68,"202310","USD","Regular"
453739,3129768,"2LJP02RY",339.58,"202306","AED","Regular"
453739,3129768,"2LJP02RY",339.58,"202307","AED","Regular"
453739,3129768,"2LJP02RY",339.58,"202308","AED","Regular"
453739,3129768,"2LJP02RY",339.58,"202309","AED","Regular"
453739,3129768,"2LJP02RY",339.58,"202310","AED","Regular"
453739,3130896,"",280.00,"202210","USD","Regular"
453739,3130896,"",280.00,"202211","USD","Regular"
453739,3130896,"",280.00,"202212","USD","Regular"
453739,3130896,"",280.00,"202301","USD","Regular"
453739,3130896,"",280.00,"202302","USD","Regular"
453739,3130896,"",280.00,"202303","USD","Regular"
453739,3130896,"",280.00,"202304","USD","Regular"
453739,3130896,"",280.00,"202305","USD","Regular"
453739,3130896,"",280.00,"202306","USD","Regular"
453739,3130896,"",280.00,"202307","USD","Regular"
453739,3130896,"",280.00,"202308","USD","Regular"
453739,3130896,"",280.00,"202309","USD","Regular"
453739,3130896,"",280.00,"202310","USD","Regular"
453739,3130918,"",74.97,"202210","USD","Regular"
453739,3130918,"",74.97,"202211","USD","Regular"
453739,3130918,"",74.97,"202212","USD","Regular"
453739,3130918,"",74.97,"202301","USD","Regular"
453739,3130918,"",74.97,"202302","USD","Regular"
453739,3130918,"",74.97,"202303","USD","Regular"
453739,3130918,"",74.97,"202304","USD","Regular"
453739,3130918,"",74.97,"202305","USD","Regular"
453739,3130918,"",74.97,"202306","USD","Regular"
453739,3130918,"",74.97,"202307","USD","Regular"
453739,3130918,"",74.97,"202308","USD","Regular"
453739,3130918,"",74.97,"202309","USD","Regular"
453739,3130918,"",74.97,"202310","USD","Regular"
453739,3131692,"GN41IQNQ",186.12,"202305","USD","Regular"
453739,3131692,"GN41IQNQ",186.12,"202306","USD","Regular"
453739,3131692,"GN41IQNQ",186.12,"202307","USD","Regular"
453739,3131692,"GN41IQNQ",186.12,"202308","USD","Regular"
453739,3131692,"GN41IQNQ",186.12,"202309","USD","Regular"
453739,3131692,"GN41IQNQ",186.12,"202310","USD","Regular"
453739,3133012,"",41.26,"202210","USD","Regular"
453739,3133012,"",41.26,"202211","USD","Regular"
453739,3133012,"",41.26,"202212","USD","Regular"
453739,3133012,"",41.26,"202301","USD","Regular"
453739,3133012,"",41.26,"202302","USD","Regular"
453739,3133012,"",41.26,"202303","USD","Regular"
453739,3133012,"",41.26,"202304","USD","Regular"
453739,3133012,"",41.26,"202305","USD","Regular"
453739,3133012,"",41.26,"202306","USD","Regular"
453739,3133012,"",41.26,"202307","USD","Regular"
453739,3133012,"",41.26,"202308","USD","Regular"
453739,3133012,"",41.26,"202309","USD","Regular"
453739,3133012,"",41.26,"202310","USD","Regular"
453739,3139168,"",145.56,"202210","USD","Regular"
453739,3139168,"",145.56,"202211","USD","Regular"
453739,3139168,"",145.56,"202212","USD","Regular"
453739,3139168,"",145.56,"202301","USD","Regular"
