ExtractTime,DatabaseDate,PlanID,PlanNumber,FirstPolicyNumber,PremiumStatus,PremiumCurrencyISO,TotalPremiumPaid,PremiumDueDate
01/11/2023 14:29:30,01/11/2023 06:39:13,146923,Q500001490,14202374,,EUR,55213.02,
01/11/2023 14:29:30,01/11/2023 06:39:13,620156,Q500001563,14216134,Paid Up,EUR,110250,10/11/2005
01/11/2023 14:29:30,01/11/2023 06:39:13,620157,Q500001565,14207446,Surrendered,EUR,25600,26/05/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,620233,Q500001729,14211573,Surrendered,USD,34500,01/01/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,620519,Q500002473,14233064,Surrendered,EUR,139340,10/02/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,Premium Paying,EUR,349762.51,01/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,620630,Q500002658,14241861,Surrendered,EUR,111000,28/01/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,620657,Q500002710,14241587,Surrendered,EUR,26000,01/03/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,620763,Q500002891,14251572,Paid Up,EUR,102120,01/05/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,620765,Q500002893,14251223,Premium Paying,EUR,39751.5,01/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,620802,Q500002946,14247751,Paid Up,EUR,9000,27/05/2007
01/11/2023 14:29:30,01/11/2023 06:39:13,620894,Q500003120,14254998,Surrendered,EUR,111150.55,20/01/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,312803,Q500003385,14281409,,USD,80401.63,
01/11/2023 14:29:30,01/11/2023 06:39:13,152160,Q500003494,14269603,,USD,18006.6,
01/11/2023 14:29:30,01/11/2023 06:39:13,621094,Q500003495,14268241,Paid Up,EUR,30000,01/09/2007
01/11/2023 14:29:30,01/11/2023 06:39:13,621113,Q500003521,14269644,Matured,EUR,60000,01/01/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,152163,Q500003522,14269725,,EUR,29920,
01/11/2023 14:29:30,01/11/2023 06:39:13,621114,Q500003523,14276094,Paid Up,EUR,7350,28/08/2007
01/11/2023 14:29:30,01/11/2023 06:39:13,153131,Q500003997,14285411,,GBP,35319.7,
01/11/2023 14:29:30,01/11/2023 06:39:13,621388,Q500003998,14285266,Premium Paying,EUR,256500,15/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,621708,Q500004541,14300606,Paid Up,EUR,23288.48,30/01/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,621709,Q500004542,14304047,Paid Up,GBP,78002,31/07/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,621951,Q500004960,14314918,Surrendered,EUR,37741.16,28/02/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,621952,Q500004961,14315169,Surrendered,EUR,61400,20/01/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,622051,Q500005233,14327605,Surrendered,EUR,203535.52,16/11/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,622138,Q500005386,14334476,Surrendered,EUR,58200,20/08/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,622140,Q500005388,14334769,Paid Up,EUR,31500,01/12/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,622179,Q500005456,14337799,Paid Up,USD,20250,01/04/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,622316,Q500005700,14347619,Surrendered,EUR,108882.95,25/02/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,622393,Q500005852,14351709,Surrendered,USD,225323.4,26/08/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,622455,Q500005967,14350113,Surrendered,USD,220000,23/04/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,622496,Q500006035,14368138,Premium Paying,USD,98230,01/09/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,622497,Q500006036,14367910,Surrendered,EUR,84000,05/03/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,622498,Q500006037,14367735,Surrendered,EUR,10500,05/12/2007
01/11/2023 14:29:30,01/11/2023 06:39:13,622625,Q500006263,14373342,Surrendered,EUR,93000,15/10/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,622662,Q500006328,14357849,Paid Up,EUR,54700,01/03/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,159891,Q500006426,14379157,,EUR,122998.74,
01/11/2023 14:29:30,01/11/2023 06:39:13,622699,Q500006428,14397749,Surrendered,EUR,18300.07,01/04/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,622962,Q500006905,14400046,Surrendered,GBP,25000,01/07/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,622963,Q500006907,14389311,Paid Up,EUR,3001.5,05/03/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,622964,Q500006908,14403193,Paid Up,EUR,8962.34,05/01/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,622966,Q500006921,14377107,Surrendered,EUR,62036.58,21/09/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,623045,Q500007032,14406408,Premium Paying,GBP,158949.4,01/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,623046,Q500007033,14406386,Surrendered,EUR,16900,01/06/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,623047,Q500007035,14396001,Matured,EUR,76743.56,28/03/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,623048,Q500007037,14403843,Surrendered,EUR,31650,01/04/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,162141,Q500007337,14414229,,EUR,21000,
01/11/2023 14:29:30,01/11/2023 06:39:13,161168,Q500007395,14398786,,USD,42000,
01/11/2023 14:29:30,01/11/2023 06:39:13,623252,Q500007398,14416148,Surrendered,GBP,44000,01/04/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,623444,Q500007730,14429044,Surrendered,EUR,14000,07/08/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,163117,Q500007733,14429662,,EUR,15000,
01/11/2023 14:29:30,01/11/2023 06:39:13,623468,Q500007772,14431642,Surrendered,EUR,60000,01/04/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,623469,Q500007773,14431664,Matured,EUR,30000,01/04/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,623619,Q500008061,14436649,Surrendered,EUR,20000,
01/11/2023 14:29:30,01/11/2023 06:39:13,623712,Q500008216,14448262,Surrendered,EUR,49200.19,05/12/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,623760,Q500008305,14442012,Surrendered,EUR,60000,01/05/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,164793,Q500008483,14451927,,EUR,66000,
01/11/2023 14:29:30,01/11/2023 06:39:13,623869,Q500008484,14451969,Premium Paying,EUR,92100,01/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,623870,Q500008485,14454838,Surrendered,EUR,30000,02/05/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,623872,Q500008487,14455532,Paid Up,EUR,39100,21/09/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,623873,Q500008489,14452013,Paid Up,EUR,32500,20/10/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,623874,Q500008490,14451739,Surrendered,EUR,20893.71,03/04/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,624009,Q500008716,14463307,Surrendered,USD,47000,07/08/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,624011,Q500008718,14463447,Surrendered,EUR,164500,21/04/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,624013,Q500008720,14464541,Paid Up,EUR,52500,29/01/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,624072,Q500008825,14440464,Paid Up,EUR,79976.24,02/07/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,165393,Q500009022,14476551,,EUR,26005,
01/11/2023 14:29:30,01/11/2023 06:39:13,624598,Q500009925,14518884,Surrendered,EUR,60600,01/04/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,624680,Q500010066,14537375,Matured,EUR,72000,01/06/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,624681,Q500010067,14533953,Surrendered,USD,237084.97,01/06/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,624684,Q500010077,14540339,Surrendered,USD,31026.4,03/01/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,625199,Q500010976,14541217,Surrendered,GBP,32010,08/08/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,625272,Q500011124,14563168,Surrendered,USD,9092,01/05/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,625308,Q500011220,14573797,Surrendered,EUR,4502.89,01/01/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,625332,Q500011272,14574485,Matured,EUR,21750.05,02/01/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,625454,Q500011469,14575488,Paid Up,USD,82400,07/11/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,625455,Q500011470,14575445,Surrendered,USD,60000,21/06/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,625505,Q500011555,14576097,Surrendered,EUR,17942.73,28/06/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,625531,Q500011595,14576987,Matured,EUR,43000,29/04/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,625597,Q500011715,14573123,Surrendered,EUR,21000,01/06/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,625691,Q500011885,14580251,Surrendered,EUR,30900,26/10/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,625733,Q500011959,14586651,Surrendered,EUR,126300,01/08/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,625734,Q500011960,14580723,Matured,EUR,31400.05,01/01/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,170524,Q500012103,14581690,,USD,5000,
01/11/2023 14:29:30,01/11/2023 06:39:13,625853,Q500012188,14583558,Surrendered,GBP,104499.9,03/01/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,625854,Q500012189,14583587,Premium Paying,GBP,37900,01/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,625898,Q500012247,14584420,Surrendered,EUR,12000.05,01/07/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,626033,Q500012462,14593800,Surrendered,EUR,41600,15/07/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,626034,Q500012463,14593921,Premium Paying,USD,122960,04/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,626035,Q500012465,14593791,Paid Up,USD,14200,19/04/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,626061,Q500012509,14596563,Paid Up,USD,85929,15/03/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,450115,Q500012533,14632414,Unknown,USD,66189.98,
01/11/2023 14:29:30,01/11/2023 06:39:13,626110,Q500012584,14598811,Paid Up,EUR,24000,15/07/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,626280,Q500012871,14615268,Matured,EUR,42000,01/05/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,626281,Q500012872,14613358,Surrendered,EUR,58000,01/04/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,626335,Q500012983,14623481,Surrendered,GBP,40700,20/07/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,626364,Q500013042,14625351,Surrendered,USD,128852,03/02/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,626994,Q500014022,14665336,Surrendered,EUR,9000,06/03/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,626995,Q500014023,14665785,Surrendered,EUR,88683.68,01/07/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,174365,Q500014081,14669316,,USD,49700,
01/11/2023 14:29:30,01/11/2023 06:39:13,174498,Q500014195,14673457,,GBP,48500,
01/11/2023 14:29:30,01/11/2023 06:39:13,175791,Q500014906,14714933,Surrendered,EUR,75584.8,19/09/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,367702,Q500015014,14729710,,GBP,38500,
01/11/2023 14:29:30,01/11/2023 06:39:13,176756,Q500015925,14747035,Surrendered,EUR,67500,31/07/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,177538,Q500016019,14766773,Unknown,EUR,26000,25/07/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,177775,Q500016105,14772329,Surrendered,USD,107634.49,01/04/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,178108,Q500016275,14780800,Surrendered,USD,31600.22,02/03/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,178109,Q500016276,14780653,Surrendered,GBP,58800,31/10/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,177546,Q500016277,14764584,Surrendered,EUR,51609,14/05/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,178033,Q500016278,14778846,Surrendered,USD,45750,11/02/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,627979,Q500017139,14821139,Surrendered,USD,484000,15/12/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,179367,Q500017377,14821280,Premium Paying,EUR,101937.82,03/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,627981,Q500017720,14853214,Surrendered,USD,64800,11/08/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,627982,Q500017812,14839656,Surrendered,USD,105000,02/09/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,180279,Q500017927,14848644,Paid Up,EUR,13750.07,02/07/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,489288,Q500018092,14851515,Surrendered,GBP,6000,05/04/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,181206,Q500018479,14869512,Surrendered,EUR,13500,28/04/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,181388,Q500018595,14874621,Surrendered,EUR,18000,15/06/2008
01/11/2023 14:29:30,01/11/2023 06:39:13,627984,Q500018677,14885613,Surrendered,USD,38975.37,08/07/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,181662,Q500018725,14884091,Surrendered,EUR,70687.74,02/12/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,627985,Q500018829,14937468,Surrendered,GBP,37300,10/04/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,627986,Q500019378,14926205,Premium Paying,USD,211400,01/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,367787,Q500019427,14911608,Premium Paying,EUR,340650,05/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,183003,Q500019455,14913578,Surrendered,EUR,28500,28/10/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,183507,Q500019697,14929022,Surrendered,EUR,20790,01/09/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,183711,Q500019874,14935315,Surrendered,USD,106518.8,09/09/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,186771,Q500021172,15002257,Surrendered,EUR,11905,02/04/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,189715,Q500023031,15079885,Surrendered,USD,10000,15/02/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,190703,Q500023810,15109496,Surrendered,EUR,101250,01/02/2022
01/11/2023 14:29:30,01/11/2023 06:39:13,627992,Q500026718,15189349,Surrendered,USD,116300,10/03/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,486205,Q500029890,15240957,Paid Up,USD,19200,02/11/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,198606,Q500030046,15236315,Paid Up,EUR,18000,23/01/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,198607,Q500030047,15236114,,GBP,14875,
01/11/2023 14:29:30,01/11/2023 06:39:13,483166,Q500030843,15249473,Surrendered,USD,21600,01/11/2009
01/11/2023 14:29:30,01/11/2023 06:39:13,201023,Q500031920,15269933,Surrendered,EUR,27000,05/04/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,627996,Q500032977,15314585,Surrendered,USD,70478.88,06/03/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,432086,Q500035105,15334219,Surrendered,USD,24464.5,29/08/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,419990,Q500035869,15346224,Surrendered,USD,48600,05/07/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,377644,Q500038379,15397989,Paid Up,USD,129505,30/06/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,628000,Q500038381,15406303,Surrendered,USD,117000,01/04/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,628001,Q500038709,15406106,Premium Paying,USD,154700,06/09/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,628002,Q500038722,15416431,Surrendered,USD,302400,18/12/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,363689,Q500039174,15415986,Surrendered,USD,85300,09/03/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,456684,Q500039190,15423939,Surrendered,USD,158000,12/10/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,628004,Q500039644,15432418,Paid Up,USD,77000,16/10/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,628005,Q500039950,15442398,Paid Up,USD,69897.33,15/04/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,628006,Q500041394,15463753,Surrendered,USD,254000,05/05/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,628007,Q500041413,15463443,Surrendered,USD,24800,05/12/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,306022,Q500041982,15463518,Surrendered,USD,41400,01/06/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,281207,Q500044728,15498714,,USD,56000,
01/11/2023 14:29:30,01/11/2023 06:39:13,628014,Q500044817,15508492,Surrendered,USD,39000.05,03/04/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,628019,Q500048618,15553978,Premium Paying,USD,140500,06/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,628020,Q500048619,15553932,Surrendered,USD,67500,18/05/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,293717,Q500049391,15568246,Surrendered,USD,68412,01/10/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,282285,Q500050486,15575575,Surrendered,USD,106100,22/12/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,628022,Q500050487,15575485,Surrendered,USD,31000,21/09/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,351558,Q500051169,15580455,,EUR,79004.24,
01/11/2023 14:29:30,01/11/2023 06:39:13,292576,Q500052468,15595701,Surrendered,USD,66760,04/10/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,628024,Q500052471,15594497,Surrendered,USD,53500,17/02/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,628028,Q500053761,15615881,Paid Up,USD,26360,11/11/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,628029,Q500055742,15627573,Surrendered,USD,120000,20/03/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,628030,Q500056616,15638162,Surrendered,USD,50500,01/03/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,628033,Q500057667,15642880,Surrendered,USD,43701.55,01/04/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,628034,Q500057668,15642766,Surrendered,USD,43703,01/04/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,628035,Q500057670,15643236,Surrendered,USD,190925,07/12/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,628036,Q500057671,15642716,Surrendered,USD,284185,14/04/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,292199,Q500058818,15654244,Surrendered,USD,95000,14/07/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,296749,Q500059633,15657335,Surrendered,USD,28600,01/01/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,628039,Q500059634,15657732,Paid Up,USD,158715,10/02/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,628040,Q500059642,15666253,Paid Up,USD,210875.4,16/10/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,469857,Q500059828,15660856,Surrendered,USD,85003.3,05/05/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,628044,Q500064056,15712424,Surrendered,USD,27450,01/03/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,292581,Q500064091,15728859,Surrendered,USD,37030,28/05/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,628046,Q500066432,15712394,Surrendered,USD,38701,04/01/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,628047,Q500066442,15721526,Surrendered,USD,129005.04,04/06/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,628049,Q500067253,15721847,Premium Paying,USD,93000,23/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,628053,Q500068845,15739016,Surrendered,USD,27747,04/06/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,628056,Q500069478,15742419,Surrendered,USD,142000,10/01/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,628058,Q500073266,15770260,Surrendered,USD,91505,01/06/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,373372,Q500076074,15791794,Surrendered,EUR,26650,14/12/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,628062,Q500079468,15826702,Surrendered,USD,38950,15/07/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,305477,Q500079476,15806766,Paid Up,USD,66000,29/04/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,300513,Q500079477,15809154,Paid Up,USD,12500.04,29/08/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,320958,Q500080455,15830820,,USD,9500,
01/11/2023 14:29:30,01/11/2023 06:39:13,628067,Q500081381,15834743,Surrendered,USD,147000,20/10/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,450561,Q500082499,15833748,,USD,86000,
01/11/2023 14:29:30,01/11/2023 06:39:13,628068,Q500086056,15871801,Surrendered,USD,76280.05,01/12/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,281214,Q500086078,15872291,Surrendered,USD,107010,01/09/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,628071,Q500087329,15879816,Surrendered,USD,23900,02/06/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,628072,Q500088997,15896317,Premium Paying,USD,93000,01/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,628074,Q500090206,15901008,Paid Up,USD,89505,01/06/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,628077,Q500091698,15939771,Paid Up,USD,124000,25/01/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,297232,Q500091967,15951404,Paid Up,USD,18500,12/01/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,628080,Q500092653,15961967,Surrendered,USD,93000,15/09/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,628081,Q500092872,15948899,Surrendered,USD,24500,05/07/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,279991,Q500096238,16007957,Paid Up,USD,41980,09/11/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,628084,Q500098411,16023902,Paid Up,USD,46700,02/03/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,408868,Q500099647,16028182,Paid Up,USD,78000,15/04/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,628085,Q500100399,16032635,Surrendered,USD,46500,04/12/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,628089,Q500103275,16057546,Surrendered,GBP,36000,02/04/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,297182,Q500104299,16063143,Surrendered,GBP,198000,06/04/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,628090,Q500104690,16067698,Surrendered,GBP,110100,22/10/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,298020,Q500104691,16065245,Surrendered,USD,53840,06/07/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,628091,Q500106880,16084709,Surrendered,USD,7750,27/11/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,628092,Q500106882,16084795,Surrendered,USD,9500,01/12/2010
01/11/2023 14:29:30,01/11/2023 06:39:13,628096,Q500110008,16131488,Surrendered,USD,72800,04/10/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,628098,Q500110246,16123125,Surrendered,USD,90000,02/12/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,628100,Q500111936,16131506,Surrendered,GBP,56967,25/09/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,373960,Q500112229,16148281,Paid Up,USD,22010,02/05/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,903284,Q500112406,16134992,Surrendered,EUR,80950,29/04/2022
01/11/2023 14:29:30,01/11/2023 06:39:13,308634,Q500112889,16142412,Surrendered,USD,6000.06,13/07/2011
01/11/2023 14:29:30,01/11/2023 06:39:13,308635,Q500112890,16142496,Surrendered,USD,27700,25/08/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,628101,Q500113912,16194364,Premium Paying,GBP,99000,08/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,327995,Q500113913,16290670,Surrendered,EUR,59000,12/10/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,628103,Q500115550,16149054,Surrendered,USD,55500,02/08/2012
01/11/2023 14:29:30,01/11/2023 06:39:13,311389,Q500116029,16155806,Premium Paying,EUR,172000,03/11/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,474683,Q500116302,16158465,Premium Paying,EUR,289792.46,14/01/2024
