ExtractTime,DatabaseDate,PlanID,PlanNumber,PolicyNumber,RiderNumber,SumAssured,CoverageType,BenefitStatus,PremiumStatus,BenefitRiskCessationDate,BenefitPremiumCessationDate
01/11/2023 14:29:30,01/11/2023 06:39:13,627862,PN000079004,79004,0,0,,In Force,Premium Paying,10/12/2039,10/12/2039
01/11/2023 14:29:30,01/11/2023 06:39:13,901759,PN100001850,100001851,0,250000,,In Force,Premium Paying,29/04/2052,29/04/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,901759,PN100001850,100001852,0,120000,,In Force,Premium Paying,29/04/2052,29/04/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,827744,PN100003369,100003371,0,122000,Life,Lapsed,Lapsed,12/07/2027,12/06/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,828294,PN100003650,100003651,0,215000,,Lapsed,Lapsed,16/07/2045,16/07/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,828294,PN100003650,100003651,1,215000,,Lapsed,Lapsed,16/07/2045,16/07/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,828907,PN100003917,100003918,0,300000,,In Force,Premium Paying,06/08/2037,06/08/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,828907,PN100003917,100003918,1,300000,,In Force,Premium Paying,06/02/2037,06/02/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,929233,PN100009951,100009951,0,0,,In Force,Premium Paying,08/05/2028,08/05/2028
01/11/2023 14:29:30,01/11/2023 06:39:13,893016,PN100012554,100012554,0,0,,In Force,Premium Paying,01/08/2043,01/08/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,893370,PN100026637,100026642,0,400000,,Lapsed,Lapsed,08/02/2040,08/02/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,893370,PN100026637,100026643,0,300000,,Lapsed,Lapsed,08/02/2040,08/02/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,893370,PN100026637,100026643,1,300000,,Lapsed,Lapsed,08/02/2040,08/02/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,893374,PN100026645,100026646,0,100000,,Lapsed,Lapsed,19/01/2042,19/01/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,893374,PN100026645,100026647,0,150000,,Lapsed,Lapsed,19/01/2042,19/01/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,893374,PN100026645,100026647,1,150000,,Lapsed,Lapsed,19/01/2042,19/01/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,894257,PN100026875,100026876,0,941606,,In Force,Premium Paying,03/06/2041,03/06/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,894911,PN100027073,100027074,0,200000,,In Force,Premium Paying,01/03/2046,01/03/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,894911,PN100027073,100027074,1,200000,,In Force,Premium Paying,01/03/2046,01/03/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,894914,PN100027080,100027081,0,100000,,In Force,Premium Paying,01/03/2046,01/03/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,894914,PN100027080,100027081,1,100000,,In Force,Premium Paying,01/03/2046,01/03/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,895686,PN100027275,100027276,0,240000,,Lapsed,Lapsed,01/05/2052,01/05/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,895686,PN100027275,100027276,1,240000,,Lapsed,Lapsed,01/05/2052,01/05/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,895964,PN100027387,100027388,0,750000,,In Force,Premium Paying,29/04/2048,29/04/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,895964,PN100027387,100027388,1,750000,,In Force,Premium Paying,29/08/2047,29/08/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,897882,PN100027845,100027846,0,250000,,In Force,Premium Paying,22/06/2043,22/06/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,897882,PN100027845,100027847,0,200000,,In Force,Premium Paying,22/06/2043,22/06/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,897882,PN100027845,100027847,1,200000,,In Force,Premium Paying,22/06/2043,22/06/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,897914,PN100027872,100027873,0,150000,,In Force,Premium Paying,01/07/2037,01/07/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,897914,PN100027872,100027873,1,150000,,In Force,Premium Paying,01/07/2037,01/07/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,900454,PN100028500,100028501,0,500000,,In Force,Premium Paying,05/10/2048,05/10/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,900454,PN100028500,100028574,0,250000,,In Force,Premium Paying,05/10/2045,05/10/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,901092,PN100028701,100028702,0,600000,,In Force,Premium Paying,25/02/2042,25/02/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,901851,PN100028856,100028857,0,360000,,In Force,Premium Paying,08/04/2043,08/04/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,901851,PN100028856,100028857,1,360000,,In Force,Premium Paying,08/04/2043,08/04/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,902371,PN100028909,100028910,0,450000,,In Force,Premium Paying,01/02/2049,01/02/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,902371,PN100028909,100028911,0,150000,,In Force,Premium Paying,01/02/2049,01/02/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,902371,PN100028909,100028911,1,150000,,In Force,Premium Paying,01/02/2049,01/02/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,903064,PN100028992,100028993,0,300000,,In Force,Premium Paying,18/02/2052,18/02/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,903064,PN100028992,100028993,1,300000,,In Force,Premium Paying,18/02/2052,18/02/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,927326,PN100029248,100029249,0,1000000,,In Force,Premium Paying,09/05/2050,09/05/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,927326,PN100029248,100029249,1,1000000,,In Force,Premium Paying,09/05/2049,09/05/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,927553,PN100029330,100029331,0,150000,,Lapsed,Lapsed,10/04/2049,10/04/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,927553,PN100029330,100029331,1,150000,,Lapsed,Lapsed,10/04/2049,10/04/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,928173,PN100029417,100029418,0,288180,,In Force,Premium Paying,01/07/2043,01/07/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,928173,PN100029417,100029418,1,288180,,In Force,Premium Paying,01/07/2043,01/07/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,928220,PN100029422,100029423,0,71417,,Lapsed,Lapsed,01/06/2027,01/06/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,928220,PN100029422,100029423,1,71417,,Lapsed,Lapsed,01/06/2027,01/06/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,928266,PN100029428,100029429,0,500000,,In Force,Premium Paying,17/06/2032,17/06/2032
01/11/2023 14:29:30,01/11/2023 06:39:13,928266,PN100029428,100029429,1,500000,,In Force,Premium Paying,17/06/2032,17/06/2032
01/11/2023 14:29:30,01/11/2023 06:39:13,929483,PN100029611,100029612,0,627000,,In Force,Premium Paying,27/07/2037,27/07/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,929483,PN100029611,100029612,1,627000,,In Force,Premium Paying,27/07/2037,27/07/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,934001,PN100030691,100030692,0,500000,,In Force,Premium Paying,24/05/2047,24/05/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,934001,PN100030691,100030693,0,300000,,In Force,Premium Paying,24/05/2047,24/05/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,934001,PN100030691,100030693,1,300000,,In Force,Premium Paying,24/05/2047,24/05/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,934489,PN100030810,100030811,0,150000,,In Force,Premium Paying,02/05/2044,02/05/2044
01/11/2023 14:29:30,01/11/2023 06:39:13,934489,PN100030810,100030812,0,50000,,In Force,Premium Paying,02/05/2034,02/05/2034
01/11/2023 14:29:30,01/11/2023 06:39:13,627863,PN900000399,900000400,0,180000,,In Force,Premium Paying,22/02/2041,22/02/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,627863,PN900000399,900000401,0,180000,,In Force,Premium Paying,22/02/2041,22/02/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,627863,PN900000399,900000401,1,180000,,In Force,Premium Paying,22/02/2041,22/02/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,627864,PN900000435,900000436,0,180000,,In Force,Premium Paying,05/03/2041,05/03/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,627864,PN900000435,900000437,0,180000,,In Force,Premium Paying,05/03/2041,05/03/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,627864,PN900000435,900000437,1,180000,,In Force,Premium Paying,05/03/2041,05/03/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,627885,PN900070833,900070834,0,339909,,In Force,Premium Paying,01/04/2040,01/04/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,627885,PN900070833,900070834,1,339909,,In Force,Premium Paying,01/04/2040,01/04/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,627890,PN900128860,900128861,0,273050.86,,In Force,Premium Paying,03/08/2040,03/08/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,627890,PN900128860,900128861,1,273050.86,Total and Permanent Disability,In Force,Premium Paying,03/08/2037,03/08/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,627891,PN900132851,900134846,0,150000,,In Force,Premium Paying,14/06/2038,14/06/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,627891,PN900132851,900134846,1,150000,,In Force,Premium Paying,14/06/2038,14/06/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,627892,PN900132854,900132855,0,150000,,In Force,Premium Paying,23/08/2038,23/08/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,627892,PN900132854,900132855,1,150000,,In Force,Premium Paying,23/08/2038,23/08/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,835535,PN901538832,901540832,0,620000,,In Force,Premium Paying,25/11/2042,25/11/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,835535,PN901538832,901540832,1,620000,,In Force,Premium Paying,25/11/2038,25/11/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,835535,PN901538832,901540833,0,155000,,In Force,Premium Paying,25/11/2042,25/11/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,835535,PN901538832,901540833,1,155000,,In Force,Premium Paying,25/11/2042,25/11/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,780309,PN907086997,904528894,0,100000,,In Force,Premium Paying,21/01/2042,21/01/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,780309,PN907086997,904528894,1,100000,,In Force,Premium Paying,21/01/2042,21/01/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,780309,PN907086997,907087033,0,187450,,In Force,Premium Paying,21/01/2042,21/01/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,616032,Q003173189,14468507,0,0,Main Coverage,Surrendered,Surrendered,07/06/2031,07/05/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,616116,Q003230210,14600433,0,0,Main Coverage,Surrendered,Surrendered,01/07/2018,01/06/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,616890,Q003749804,15834608,0,0,Main Coverage,Surrendered,Surrendered,29/05/2031,29/04/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,617129,Q003922245,16281255,0,0,,In Force,Premium Paying,01/12/2033,01/12/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,627936,Q004450289,17373955,0,192971,Life or Earlier Critical Illness,Lapsed,Lapsed,17/03/2042,18/02/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,627937,Q004609491,17617368,0,200000,Life or Earlier Critical Illness,Lapsed,Lapsed,28/12/2043,29/11/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,627938,Q004609506,17617392,0,65000,,In Force,Premium Paying,25/11/2040,25/11/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,627938,Q004609506,17617392,1,65000,,In Force,Premium Paying,24/11/2040,24/11/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,627939,Q004609890,17617911,0,99999.99,Life or Earlier Critical Illness,Lapsed,Lapsed,14/12/2031,15/11/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,627940,Q004720941,17783986,0,665000,,In Force,Premium Paying,29/04/2034,29/04/2034
01/11/2023 14:29:30,01/11/2023 06:39:13,627940,Q004720941,17783986,1,665000,,In Force,Premium Paying,28/04/2034,28/04/2034
01/11/2023 14:29:30,01/11/2023 06:39:13,618763,Q004865359,18011836,0,0,Main Coverage,Surrendered,Surrendered,27/11/2039,27/10/2039
01/11/2023 14:29:30,01/11/2023 06:39:13,627943,Q050041451,18011813,0,200379,,In Force,Premium Paying,01/05/2040,01/05/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,627943,Q050041451,18011813,1,200379,,In Force,Premium Paying,30/04/2040,30/04/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,751475,Q410632935,17372090,0,0,Life,Lapsed,Lapsed,27/04/2023,28/03/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,751475,Q410632935,17372090,1,0,Total and Permanent Disability,Lapsed,Lapsed,27/04/2023,28/03/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,751475,Q410632935,17372091,0,0,Life or Earlier Critical Illness,Lapsed,Lapsed,27/04/2023,28/03/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,619433,Q500000346,14145307,0,0,Main Coverage,Surrendered,Surrendered,01/10/2015,01/09/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,619513,Q500000471,14146290,0,0,Main Coverage,Surrendered,Surrendered,15/10/2020,15/09/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,142987,Q500000473,14146015,0,0,Main Coverage,Surrendered,,05/10/2015,
01/11/2023 14:29:30,01/11/2023 06:39:13,619538,Q500000523,14151134,0,0,Main Coverage,Surrendered,Surrendered,03/10/2049,03/07/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,619579,Q500000602,14167312,0,0,,In Force,Premium Paying,09/05/2041,09/05/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,619659,Q500000732,14164073,0,0,,In Force,Premium Paying,18/10/2030,18/10/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,145333,Q500000830,14177006,0,0,Main Coverage,Surrendered,,01/11/2020,01/08/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,145529,Q500000918,14179975,0,0,Main Coverage,Surrendered,,26/09/2012,
01/11/2023 14:29:30,01/11/2023 06:39:13,619774,Q500000938,14181293,0,0,Main Coverage,Surrendered,Surrendered,25/11/2025,25/10/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,146923,Q500001490,14202374,0,0,Main Coverage,Surrendered,,24/11/2015,24/10/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,620156,Q500001563,14216134,0,0,,In Force,Premium Paying,24/09/2033,24/09/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,620157,Q500001565,14207446,0,0,Main Coverage,Surrendered,Surrendered,26/10/2020,26/09/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,620233,Q500001729,14211573,0,0,Main Coverage,Surrendered,Surrendered,01/02/2031,01/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,620519,Q500002473,14233064,0,0,Main Coverage,Surrendered,Surrendered,16/10/2032,10/01/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,620629,Q500002657,14249327,0,0,,In Force,Premium Paying,01/12/2030,01/12/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,620630,Q500002658,14241861,0,0,Main Coverage,Surrendered,Surrendered,28/11/2030,28/10/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,620657,Q500002710,14241587,0,0,Main Coverage,Surrendered,Surrendered,01/12/2030,01/09/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,620763,Q500002891,14251572,0,0,,In Force,Premium Paying,01/01/2031,01/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,620765,Q500002893,14251223,0,0,,In Force,Premium Paying,01/03/2031,01/03/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,620802,Q500002946,14247751,0,0,,In Force,Premium Paying,27/11/2030,27/11/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,620894,Q500003120,14254998,0,0,Main Coverage,Surrendered,Surrendered,11/12/2036,20/12/2022
01/11/2023 14:29:30,01/11/2023 06:39:13,312803,Q500003385,14281409,0,0,Main Coverage,Surrendered,,27/04/2030,
01/11/2023 14:29:30,01/11/2023 06:39:13,152160,Q500003494,14269603,0,0,Main Coverage,Matured,,25/12/2012,
01/11/2023 14:29:30,01/11/2023 06:39:13,621094,Q500003495,14268241,0,0,,In Force,Premium Paying,01/01/2031,01/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,621113,Q500003521,14269644,0,0,Main Coverage,Matured,Matured,01/01/2016,01/12/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,152163,Q500003522,14269725,0,0,Main Coverage,Surrendered,,01/01/2031,01/12/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,621114,Q500003523,14276094,0,0,,In Force,Premium Paying,28/02/2027,28/02/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,153131,Q500003997,14285411,0,0,Main Coverage,Surrendered,,01/01/2023,
01/11/2023 14:29:30,01/11/2023 06:39:13,621388,Q500003998,14285266,0,0,,In Force,Premium Paying,15/01/2031,15/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,621708,Q500004541,14300606,0,0,,In Force,Premium Paying,30/01/2031,30/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,621709,Q500004542,14304047,0,0,,In Force,Premium Paying,31/01/2031,31/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,621951,Q500004960,14314918,0,0,Main Coverage,Surrendered,Surrendered,28/03/2021,28/02/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,621952,Q500004961,14315169,0,0,Main Coverage,Surrendered,Surrendered,20/01/2021,20/12/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,622051,Q500005233,14327605,0,0,Main Coverage,Surrendered,Surrendered,16/02/2031,16/11/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,622138,Q500005386,14334476,0,0,Main Coverage,Surrendered,Surrendered,20/02/2024,20/01/2024
01/11/2023 14:29:30,01/11/2023 06:39:13,622140,Q500005388,14334769,0,0,,In Force,Premium Paying,01/03/2031,01/03/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,622179,Q500005456,14337799,0,0,,In Force,Premium Paying,03/03/2047,03/03/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,622316,Q500005700,14347619,0,0,Main Coverage,Surrendered,Surrendered,11/10/2031,11/09/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,622393,Q500005852,14351709,0,0,Main Coverage,Surrendered,Surrendered,26/02/2031,26/01/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,622455,Q500005967,14350113,0,0,Main Coverage,Surrendered,Surrendered,23/02/2021,23/01/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,622496,Q500006035,14368138,0,0,,In Force,Premium Paying,01/03/2026,01/03/2026
01/11/2023 14:29:30,01/11/2023 06:39:13,622497,Q500006036,14367910,0,0,Main Coverage,Surrendered,Surrendered,06/06/2043,06/05/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,622498,Q500006037,14367735,0,0,Main Coverage,Surrendered,Surrendered,25/12/2036,05/02/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,622625,Q500006263,14373342,0,0,Main Coverage,Surrendered,Surrendered,15/03/2024,15/02/2024
01/11/2023 14:29:30,01/11/2023 06:39:13,622662,Q500006328,14357849,0,0,,In Force,Premium Paying,01/01/2024,01/01/2024
01/11/2023 14:29:30,01/11/2023 06:39:13,159891,Q500006426,14379157,0,0,Main Coverage,Surrendered,,23/06/2021,23/05/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,622699,Q500006428,14397749,0,0,Main Coverage,Surrendered,Surrendered,01/03/2016,01/02/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,622962,Q500006905,14400046,0,0,Main Coverage,Surrendered,Surrendered,01/05/2028,01/04/2028
01/11/2023 14:29:30,01/11/2023 06:39:13,622963,Q500006907,14389311,0,0,,In Force,Premium Paying,05/07/2031,05/07/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,622964,Q500006908,14403193,0,0,,In Force,Premium Paying,05/07/2026,05/07/2026
01/11/2023 14:29:30,01/11/2023 06:39:13,622966,Q500006921,14377107,0,0,Main Coverage,Surrendered,Surrendered,24/02/2024,21/02/2024
01/11/2023 14:29:30,01/11/2023 06:39:13,623045,Q500007032,14406408,0,0,,In Force,Premium Paying,01/04/2026,01/04/2026
01/11/2023 14:29:30,01/11/2023 06:39:13,623046,Q500007033,14406386,0,0,Main Coverage,Surrendered,Surrendered,01/04/2018,01/03/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,623047,Q500007035,14396001,0,0,Main Coverage,Matured,Matured,15/01/2016,28/12/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,623048,Q500007037,14403843,0,0,Main Coverage,Surrendered,Surrendered,12/04/2036,12/01/2036
01/11/2023 14:29:30,01/11/2023 06:39:13,162141,Q500007337,14414229,0,0,Main Coverage,Matured,,06/04/2013,06/03/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,161168,Q500007395,14398786,0,0,Main Coverage,Matured,,23/02/2012,
01/11/2023 14:29:30,01/11/2023 06:39:13,623252,Q500007398,14416148,0,0,Main Coverage,Surrendered,Surrendered,01/04/2018,01/03/2018
01/11/2023 14:29:30,01/11/2023 06:39:13,623444,Q500007730,14429044,0,0,Main Coverage,Surrendered,Surrendered,01/12/2034,31/10/2034
01/11/2023 14:29:30,01/11/2023 06:39:13,163117,Q500007733,14429662,0,0,Main Coverage,Matured,,05/04/2011,
01/11/2023 14:29:30,01/11/2023 06:39:13,623468,Q500007772,14431642,0,0,Main Coverage,Surrendered,Surrendered,26/02/2041,26/01/2041
01/11/2023 14:29:30,01/11/2023 06:39:13,623469,Q500007773,14431664,0,0,Main Coverage,Matured,Matured,01/04/2016,01/03/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,623619,Q500008061,14436649,0,0,Main Coverage,Surrendered,Surrendered,,
01/11/2023 14:29:30,01/11/2023 06:39:13,623712,Q500008216,14448262,0,0,Main Coverage,Surrendered,Surrendered,05/04/2016,05/03/2016
01/11/2023 14:29:30,01/11/2023 06:39:13,623760,Q500008305,14442012,0,0,Main Coverage,Surrendered,Surrendered,21/09/2052,22/08/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,164793,Q500008483,14451927,0,0,Main Coverage,Surrendered,,17/08/2022,17/05/2022
01/11/2023 14:29:30,01/11/2023 06:39:13,623869,Q500008484,14451969,0,0,,In Force,Premium Paying,01/05/2026,01/05/2026
01/11/2023 14:29:30,01/11/2023 06:39:13,623870,Q500008485,14454838,0,0,Main Coverage,Surrendered,Surrendered,05/10/2046,05/09/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,623872,Q500008487,14455532,0,0,,In Force,Premium Paying,08/01/2047,08/01/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,623873,Q500008489,14452013,0,0,,In Force,Premium Paying,20/04/2031,20/04/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,623874,Q500008490,14451739,0,0,Main Coverage,Surrendered,Surrendered,03/07/2021,03/04/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,624009,Q500008716,14463307,0,0,Main Coverage,Surrendered,Surrendered,07/04/2023,07/03/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,624011,Q500008718,14463447,0,0,Main Coverage,Surrendered,Surrendered,14/07/2045,21/03/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,624013,Q500008720,14464541,0,0,,In Force,Premium Paying,29/04/2031,29/04/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,624072,Q500008825,14440464,0,0,,In Force,Premium Paying,02/04/2031,02/04/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,165393,Q500009022,14476551,0,0,Main Coverage,Surrendered,,01/05/2024,
01/11/2023 14:29:30,01/11/2023 06:39:13,624598,Q500009925,14518884,0,0,Main Coverage,Surrendered,Surrendered,29/06/2048,29/05/2048
